"","DateTime","II.JTS.00.BHZ.M"
"152",2010-01-12 21:25:10,2035.395
"153",2010-01-12 21:25:20,1718.86
"154",2010-01-12 21:25:30,2170.03
"155",2010-01-12 21:25:40,1647.88
"156",2010-01-12 21:25:50,1319.795
"157",2010-01-12 21:26:00,2506.765
"158",2010-01-12 21:26:10,1224.11
"159",2010-01-12 21:26:20,2213.145
"160",2010-01-12 21:26:30,1260.165
"161",2010-01-12 21:26:40,1993.73
"162",2010-01-12 21:26:50,2359.345
"163",2010-01-12 21:27:00,1213.29
"164",2010-01-12 21:27:10,1760.2
"165",2010-01-12 21:27:20,2194.535
"166",2010-01-12 21:27:30,1710.215
"167",2010-01-12 21:27:40,1645.01
"168",2010-01-12 21:27:50,1704.53
"169",2010-01-12 21:28:00,1331.01
"170",2010-01-12 21:28:10,2362.53
"171",2010-01-12 21:28:20,1628.975
"172",2010-01-12 21:28:30,1830.495
"173",2010-01-12 21:28:40,2195.23
"174",2010-01-12 21:28:50,1433.595
"175",2010-01-12 21:29:00,1988.095
"176",2010-01-12 21:29:10,1556.81
"177",2010-01-12 21:29:20,2299.73
"178",2010-01-12 21:29:30,1294.725
"179",2010-01-12 21:29:40,2041.635
"180",2010-01-12 21:29:50,1823.53
"181",2010-01-12 21:30:00,1672.8
"182",2010-01-12 21:30:10,2079.245
"183",2010-01-12 21:30:20,959.12
"184",2010-01-12 21:30:30,2902.895
"185",2010-01-12 21:30:40,939.325
"186",2010-01-12 21:30:50,2133.975
"187",2010-01-12 21:31:00,1510.15
"188",2010-01-12 21:31:10,1651.54
"189",2010-01-12 21:31:20,2211.235
"190",2010-01-12 21:31:30,1041.525
"191",2010-01-12 21:31:40,2245.57
"192",2010-01-12 21:31:50,1264.92
"193",2010-01-12 21:32:00,2148.385
"194",2010-01-12 21:32:10,1427.97
"195",2010-01-12 21:32:20,1630.945
"196",2010-01-12 21:32:30,1848.49
"197",2010-01-12 21:32:40,1599.78
"198",2010-01-12 21:32:50,1901.425
"199",2010-01-12 21:33:00,1705.35
"200",2010-01-12 21:33:10,1762.865
"201",2010-01-12 21:33:20,1345.955
"202",2010-01-12 21:33:30,1783.205
"203",2010-01-12 21:33:40,1546.83
"204",2010-01-12 21:33:50,1778.705
"205",2010-01-12 21:34:00,1346.015
"206",2010-01-12 21:34:10,2050.885
"207",2010-01-12 21:34:20,1503.2
"208",2010-01-12 21:34:30,1701.105
"209",2010-01-12 21:34:40,1303.985
"210",2010-01-12 21:34:50,2067.705
"211",2010-01-12 21:35:00,982.625
"212",2010-01-12 21:35:10,2503.21
"213",2010-01-12 21:35:20,1280.01
"214",2010-01-12 21:35:30,1488.55
"215",2010-01-12 21:35:40,1684.435
"216",2010-01-12 21:35:50,1965.795
"217",2010-01-12 21:36:00,1031.49
"218",2010-01-12 21:36:10,2099.33
"219",2010-01-12 21:36:20,1194.555
"220",2010-01-12 21:36:30,2227.43
"221",2010-01-12 21:36:40,965.48
"222",2010-01-12 21:36:50,1949.195
"223",2010-01-12 21:37:00,1620.065
"224",2010-01-12 21:37:10,1473.995
"225",2010-01-12 21:37:20,1564.235
"226",2010-01-12 21:37:30,1643.195
"227",2010-01-12 21:37:40,1721.945
"228",2010-01-12 21:37:50,1693.795
"229",2010-01-12 21:38:00,938.65
"230",2010-01-12 21:38:10,2126.785
"231",2010-01-12 21:38:20,1262.555
"232",2010-01-12 21:38:30,1561.445
"233",2010-01-12 21:38:40,1889.85
"234",2010-01-12 21:38:50,1154.86
"235",2010-01-12 21:39:00,1582.45
"236",2010-01-12 21:39:10,2032.7
"237",2010-01-12 21:39:20,1344.76
"238",2010-01-12 21:39:30,1539.22
"239",2010-01-12 21:39:40,1359.91
"240",2010-01-12 21:39:50,1491.185
"241",2010-01-12 21:40:00,1980.96
"242",2010-01-12 21:40:10,1263.22
"243",2010-01-12 21:40:20,2042.15
"244",2010-01-12 21:40:30,1134.43
"245",2010-01-12 21:40:40,1790.715
"246",2010-01-12 21:40:50,1627.445
"247",2010-01-12 21:41:00,1403.465
"248",2010-01-12 21:41:10,2164.545
"249",2010-01-12 21:41:20,1128.41
"250",2010-01-12 21:41:30,1331.98
"251",2010-01-12 21:41:40,1904.685
"252",2010-01-12 21:41:50,1465.21
"253",2010-01-12 21:42:00,1537.795
"254",2010-01-12 21:42:10,1575.89
"255",2010-01-12 21:42:20,1516.39
"256",2010-01-12 21:42:30,1578.6
"257",2010-01-12 21:42:40,1480.83
"258",2010-01-12 21:42:50,1554.97
"259",2010-01-12 21:43:00,1491.15
"260",2010-01-12 21:43:10,1847.39
"261",2010-01-12 21:43:20,1428.76
"262",2010-01-12 21:43:30,1095.245
"263",2010-01-12 21:43:40,2096.66
"264",2010-01-12 21:43:50,1187.975
"265",2010-01-12 21:44:00,1764.975
"266",2010-01-12 21:44:10,1301.905
"267",2010-01-12 21:44:20,1731.63
"268",2010-01-12 21:44:30,1312.3
"269",2010-01-12 21:44:40,1405.52
"270",2010-01-12 21:44:50,1613.09
"271",2010-01-12 21:45:00,1672.835
"272",2010-01-12 21:45:10,1479.63
"273",2010-01-12 21:45:20,1243.99
"274",2010-01-12 21:45:30,1256.86
"275",2010-01-12 21:45:40,2099.515
"276",2010-01-12 21:45:50,586.79
"277",2010-01-12 21:46:00,2141.945
"278",2010-01-12 21:46:10,909.495
"279",2010-01-12 21:46:20,1941.225
"280",2010-01-12 21:46:30,750.635
"281",2010-01-12 21:46:40,2042.375
"282",2010-01-12 21:46:50,995.115
"283",2010-01-12 21:47:00,1267.545
"284",2010-01-12 21:47:10,1109.365
"285",2010-01-12 21:47:20,2010.735
"286",2010-01-12 21:47:30,1276.9
"287",2010-01-12 21:47:40,1557.695
"288",2010-01-12 21:47:50,1055.515
"289",2010-01-12 21:48:00,1739.57
"290",2010-01-12 21:48:10,1328.41
"291",2010-01-12 21:48:20,1468.77
"292",2010-01-12 21:48:30,1523.05
"293",2010-01-12 21:48:40,963.05
"294",2010-01-12 21:48:50,1817.11
"295",2010-01-12 21:49:00,1137.87
"296",2010-01-12 21:49:10,1367.74
"297",2010-01-12 21:49:20,1521.855
"298",2010-01-12 21:49:30,1222.365
"299",2010-01-12 21:49:40,1375.885
"300",2010-01-12 21:49:50,2156.13
"301",2010-01-12 21:50:00,954.05
"302",2010-01-12 21:50:10,1451.11
"303",2010-01-12 21:50:20,1344.16
"304",2010-01-12 21:50:30,1218.07
"305",2010-01-12 21:50:40,1675.975
"306",2010-01-12 21:50:50,1177.985
"307",2010-01-12 21:51:00,1579.99
"308",2010-01-12 21:51:10,1428.335
"309",2010-01-12 21:51:20,1086.68
"310",2010-01-12 21:51:30,1681.785
"311",2010-01-12 21:51:40,914.78
"312",2010-01-12 21:51:50,1551.27
"313",2010-01-12 21:52:00,855.855
"314",2010-01-12 21:52:10,2116.02
"315",2010-01-12 21:52:20,539.31
"316",2010-01-12 21:52:30,1729.475
"317",2010-01-12 21:52:40,846.39
"318",2010-01-12 21:52:50,2237.15
"319",2010-01-12 21:53:00,241.355
"320",2010-01-12 21:53:10,2113.845
"321",2010-01-12 21:53:20,602.96
"322",2010-01-12 21:53:30,1982.54
"323",2010-01-12 21:53:40,830.89
"324",2010-01-12 21:53:50,1104.845
"325",2010-01-12 21:54:00,1713.25
"326",2010-01-12 21:54:10,834.85
"327",2010-01-12 21:54:20,1154.515
"328",2010-01-12 21:54:30,1845.215
"329",2010-01-12 21:54:40,913
"330",2010-01-12 21:54:50,1422.815
"331",2010-01-12 21:55:00,1113.755
"332",2010-01-12 21:55:10,1566.785
"333",2010-01-12 21:55:20,1366.85
"334",2010-01-12 21:55:30,997.075
"335",2010-01-12 21:55:40,1550.485
"336",2010-01-12 21:55:50,985.345
"337",2010-01-12 21:56:00,1385.505
"338",2010-01-12 21:56:10,1360.93
"339",2010-01-12 21:56:20,1387.89
"340",2010-01-12 21:56:30,-54778.245
"341",2010-01-12 21:56:40,14904.865
"342",2010-01-12 21:56:50,172111.325
"343",2010-01-12 21:57:00,-57669.905
"344",2010-01-12 21:57:10,-156234.08
"345",2010-01-12 21:57:20,34190.05
"346",2010-01-12 21:57:30,94227.025
"347",2010-01-12 21:57:40,-61649.655
"348",2010-01-12 21:57:50,29300.495
"349",2010-01-12 21:58:00,20606.115
"350",2010-01-12 21:58:10,-5444.03
"351",2010-01-12 21:58:20,-19708.655
"352",2010-01-12 21:58:30,-1055.145
"353",2010-01-12 21:58:40,10211.345
"354",2010-01-12 21:58:50,11049.94
"355",2010-01-12 21:59:00,-49273
"356",2010-01-12 21:59:10,61344.12
"357",2010-01-12 21:59:20,51487.865
"358",2010-01-12 21:59:30,-35640.365
"359",2010-01-12 21:59:40,-175848.7
"360",2010-01-12 21:59:50,402759.03
"361",2010-01-12 22:00:00,103663.92
"362",2010-01-12 22:00:10,-928182.075
"363",2010-01-12 22:00:20,-119109.295
"364",2010-01-12 22:00:30,1202043.285
"365",2010-01-12 22:00:40,-292456.485
"366",2010-01-12 22:00:50,-626848.275
"367",2010-01-12 22:01:00,1004930.4
"368",2010-01-12 22:01:10,-844876.1
"369",2010-01-12 22:01:20,590431.34
"370",2010-01-12 22:01:30,-459105.59
"371",2010-01-12 22:01:40,292003.605
"372",2010-01-12 22:01:50,-475161.27
"373",2010-01-12 22:02:00,634808.37
"374",2010-01-12 22:02:10,-619846.7
"375",2010-01-12 22:02:20,582125.66
"376",2010-01-12 22:02:30,-299761.13
"377",2010-01-12 22:02:40,-675109.12
"378",2010-01-12 22:02:50,1044212.65
"379",2010-01-12 22:03:00,87903.245
"380",2010-01-12 22:03:10,-791198.265
"381",2010-01-12 22:03:20,460935.085
"382",2010-01-12 22:03:30,-401505.785
"383",2010-01-12 22:03:40,689662.04
"384",2010-01-12 22:03:50,-673691.825
"385",2010-01-12 22:04:00,488510.07
"386",2010-01-12 22:04:10,-200962.74
"387",2010-01-12 22:04:20,-35006.48
"388",2010-01-12 22:04:30,-293873.835
"389",2010-01-12 22:04:40,605237.695
"390",2010-01-12 22:04:50,-435352.33
"391",2010-01-12 22:05:00,366400.09
"392",2010-01-12 22:05:10,-227765.155
"393",2010-01-12 22:05:20,95649.785
"394",2010-01-12 22:05:30,-8179.39
"395",2010-01-12 22:05:40,-418775.585
"396",2010-01-12 22:05:50,54895.755
"397",2010-01-12 22:06:00,546510.015
"398",2010-01-12 22:06:10,-214192.68
"399",2010-01-12 22:06:20,-43632.695
"400",2010-01-12 22:06:30,-109784.705
"401",2010-01-12 22:06:40,-47265.645
"402",2010-01-12 22:06:50,518028.69
"403",2010-01-12 22:07:00,-90743.075
"404",2010-01-12 22:07:10,-79341.135
"405",2010-01-12 22:07:20,-53263.04
"406",2010-01-12 22:07:30,20833.405
"407",2010-01-12 22:07:40,-85892.535
"408",2010-01-12 22:07:50,-146076.42
"409",2010-01-12 22:08:00,261182.365
"410",2010-01-12 22:08:10,-106786.53
"411",2010-01-12 22:08:20,-178425.07
"412",2010-01-12 22:08:30,428150.705
"413",2010-01-12 22:08:40,-148262.925
"414",2010-01-12 22:08:50,-123166.075
"415",2010-01-12 22:09:00,-151912.03
"416",2010-01-12 22:09:10,-44088.195
"417",2010-01-12 22:09:20,67765.005
"418",2010-01-12 22:09:30,270322.13
"419",2010-01-12 22:09:40,-65729.365
"420",2010-01-12 22:09:50,-123087.78
"421",2010-01-12 22:10:00,155989.115
"422",2010-01-12 22:10:10,-109498.685
"423",2010-01-12 22:10:20,289.61
"424",2010-01-12 22:10:30,-12710.425
"425",2010-01-12 22:10:40,-64394.995
"426",2010-01-12 22:10:50,33464.5
"427",2010-01-12 22:11:00,-77234.415
"428",2010-01-12 22:11:10,-91350.185
"429",2010-01-12 22:11:20,209661.05
"430",2010-01-12 22:11:30,-1596.755
"431",2010-01-12 22:11:40,-86422.095
"432",2010-01-12 22:11:50,-40791.245
"433",2010-01-12 22:12:00,213779.02
"434",2010-01-12 22:12:10,-8038.48
"435",2010-01-12 22:12:20,-63956.875
"436",2010-01-12 22:12:30,91734.805
"437",2010-01-12 22:12:40,-2651.455
"438",2010-01-12 22:12:50,128246.555
"439",2010-01-12 22:13:00,-163945.055
"440",2010-01-12 22:13:10,-155130.105
"441",2010-01-12 22:13:20,52682.735
"442",2010-01-12 22:13:30,127347.14
"443",2010-01-12 22:13:40,-119467.42
"444",2010-01-12 22:13:50,904.2
"445",2010-01-12 22:14:00,162604.655
"446",2010-01-12 22:14:10,-189497.335
"447",2010-01-12 22:14:20,-37744.755
"448",2010-01-12 22:14:30,87714.035
"449",2010-01-12 22:14:40,-11384.37
"450",2010-01-12 22:14:50,84038.955
"451",2010-01-12 22:15:00,39936.82
"452",2010-01-12 22:15:10,-108065.68
"453",2010-01-12 22:15:20,118762.2
"454",2010-01-12 22:15:30,-112964.07
"455",2010-01-12 22:15:40,47429.305
"456",2010-01-12 22:15:50,-18865.19
"457",2010-01-12 22:16:00,-26529.475
"458",2010-01-12 22:16:10,132145.14
"459",2010-01-12 22:16:20,-161234.815
"460",2010-01-12 22:16:30,7641.86
"461",2010-01-12 22:16:40,-10428.17
"462",2010-01-12 22:16:50,91851.17
"463",2010-01-12 22:17:00,-95218.32
"464",2010-01-12 22:17:10,-2494.435
"465",2010-01-12 22:17:20,71792.955
"466",2010-01-12 22:17:30,-51929.18
"467",2010-01-12 22:17:40,23530.685
"468",2010-01-12 22:17:50,-78044.2
"469",2010-01-12 22:18:00,77022.675
"470",2010-01-12 22:18:10,21584.3
"471",2010-01-12 22:18:20,-10520.385
"472",2010-01-12 22:18:30,-5139.715
"473",2010-01-12 22:18:40,12622.925
"474",2010-01-12 22:18:50,-69563.49
"475",2010-01-12 22:19:00,83503.855
"476",2010-01-12 22:19:10,-14044.685
"477",2010-01-12 22:19:20,-22577.555
"478",2010-01-12 22:19:30,8175.68
"479",2010-01-12 22:19:40,47436.515
"480",2010-01-12 22:19:50,-14792.46
"481",2010-01-12 22:20:00,11911.49
"482",2010-01-12 22:20:10,-30947
"483",2010-01-12 22:20:20,78711.51
"484",2010-01-12 22:20:30,26377.015
"485",2010-01-12 22:20:40,-53299.185
"486",2010-01-12 22:20:50,-45003.425
"487",2010-01-12 22:21:00,-19647.21
"488",2010-01-12 22:21:10,44175.495
"489",2010-01-12 22:21:20,14606.41
"490",2010-01-12 22:21:30,-37874.65
"491",2010-01-12 22:21:40,14639.9
"492",2010-01-12 22:21:50,16132.765
"493",2010-01-12 22:22:00,-19905.86
"494",2010-01-12 22:22:10,-14709.455
"495",2010-01-12 22:22:20,45763.54
"496",2010-01-12 22:22:30,-4153.91
"497",2010-01-12 22:22:40,-74330.875
"498",2010-01-12 22:22:50,98077.485
"499",2010-01-12 22:23:00,-12629.935
"500",2010-01-12 22:23:10,-29754.74
"501",2010-01-12 22:23:20,-49897.83
"502",2010-01-12 22:23:30,59827.79
"503",2010-01-12 22:23:40,1614.2
"504",2010-01-12 22:23:50,9774.445
"505",2010-01-12 22:24:00,32419.32
"506",2010-01-12 22:24:10,-97069.365
"507",2010-01-12 22:24:20,45970.16
"508",2010-01-12 22:24:30,26972.665
"509",2010-01-12 22:24:40,-47245.41
"510",2010-01-12 22:24:50,19496.42
"511",2010-01-12 22:25:00,43840.19
"512",2010-01-12 22:25:10,-50119.63
"513",2010-01-12 22:25:20,5758.735
"514",2010-01-12 22:25:30,32323.49
"515",2010-01-12 22:25:40,-19627.27
"516",2010-01-12 22:25:50,8299.86
"517",2010-01-12 22:26:00,4296.45
"518",2010-01-12 22:26:10,-23430.015
"519",2010-01-12 22:26:20,43958.1
"520",2010-01-12 22:26:30,-56946.04
"521",2010-01-12 22:26:40,50538.46
"522",2010-01-12 22:26:50,-34405.36
"523",2010-01-12 22:27:00,5898.76
"524",2010-01-12 22:27:10,-14232.49
"525",2010-01-12 22:27:20,-7030.835
"526",2010-01-12 22:27:30,-5342.07
"527",2010-01-12 22:27:40,41289.815
"528",2010-01-12 22:27:50,1743.44
"529",2010-01-12 22:28:00,-24741.405
"530",2010-01-12 22:28:10,26821.695
"531",2010-01-12 22:28:20,-3706.225
"532",2010-01-12 22:28:30,-6279.745
"533",2010-01-12 22:28:40,-13339.9
"534",2010-01-12 22:28:50,5682.3
"535",2010-01-12 22:29:00,7114.255
"536",2010-01-12 22:29:10,7509.645
"537",2010-01-12 22:29:20,1540.42
"538",2010-01-12 22:29:30,-7218.865
"539",2010-01-12 22:29:40,-23718.415
"540",2010-01-12 22:29:50,54397.77
"541",2010-01-12 22:30:00,-70002.12
"542",2010-01-12 22:30:10,36660.98
"543",2010-01-12 22:30:20,14336.02
"544",2010-01-12 22:30:30,-14924.895
"545",2010-01-12 22:30:40,2484.32
"546",2010-01-12 22:30:50,22443.475
"547",2010-01-12 22:31:00,-53247.575
"548",2010-01-12 22:31:10,27528.705
"549",2010-01-12 22:31:20,27690.575
"550",2010-01-12 22:31:30,-33555.38
"551",2010-01-12 22:31:40,20198.61
"552",2010-01-12 22:31:50,-25879.46
"553",2010-01-12 22:32:00,32900.865
"554",2010-01-12 22:32:10,-11325.49
"555",2010-01-12 22:32:20,9108.13
"556",2010-01-12 22:32:30,13750.675
"557",2010-01-12 22:32:40,-22970.18
"558",2010-01-12 22:32:50,5280.5
"559",2010-01-12 22:33:00,-12064.125
"560",2010-01-12 22:33:10,42943.435
"561",2010-01-12 22:33:20,-57902.675
"562",2010-01-12 22:33:30,29661.79
"563",2010-01-12 22:33:40,-22604.9
"564",2010-01-12 22:33:50,56103.91
"565",2010-01-12 22:34:00,-35676.78
"566",2010-01-12 22:34:10,6098.255
"567",2010-01-12 22:34:20,-1229.26
"568",2010-01-12 22:34:30,5308.485
"569",2010-01-12 22:34:40,-12932.86
"570",2010-01-12 22:34:50,-10365.14
"571",2010-01-12 22:35:00,18093.47
"572",2010-01-12 22:35:10,6938.995
"573",2010-01-12 22:35:20,-9370.47
"574",2010-01-12 22:35:30,-7556.095
"575",2010-01-12 22:35:40,5116.71
"576",2010-01-12 22:35:50,11241.735
"577",2010-01-12 22:36:00,14000.915
"578",2010-01-12 22:36:10,-36942.665
"579",2010-01-12 22:36:20,37792.4
"580",2010-01-12 22:36:30,-26190.15
"581",2010-01-12 22:36:40,17798.035
"582",2010-01-12 22:36:50,-14583.68
"583",2010-01-12 22:37:00,28922.635
"584",2010-01-12 22:37:10,-27671.565
"585",2010-01-12 22:37:20,-8984.59
"586",2010-01-12 22:37:30,16951.21
"587",2010-01-12 22:37:40,-7157.895
"588",2010-01-12 22:37:50,14987.41
"589",2010-01-12 22:38:00,-3836.57
"590",2010-01-12 22:38:10,2670.825
"591",2010-01-12 22:38:20,-12320.015
"592",2010-01-12 22:38:30,19753.255
"593",2010-01-12 22:38:40,-17313.125
"594",2010-01-12 22:38:50,9877.655
"595",2010-01-12 22:39:00,-3840.37
"596",2010-01-12 22:39:10,10688.82
"597",2010-01-12 22:39:20,-3697.735
"598",2010-01-12 22:39:30,-3044.765
"599",2010-01-12 22:39:40,-131.08
"600",2010-01-12 22:39:50,-1649.665
"601",2010-01-12 22:40:00,15388.49
"602",2010-01-12 22:40:10,-19142.77
"603",2010-01-12 22:40:20,2690.55
"604",2010-01-12 22:40:30,-8474.11
"605",2010-01-12 22:40:40,29011.45
"606",2010-01-12 22:40:50,-34391.74
"607",2010-01-12 22:41:00,50450.565
"608",2010-01-12 22:41:10,-41134.575
"609",2010-01-12 22:41:20,-1005.815
"610",2010-01-12 22:41:30,16164.16
"611",2010-01-12 22:41:40,-10846.995
"612",2010-01-12 22:41:50,2164.14
"613",2010-01-12 22:42:00,-5619.215
"614",2010-01-12 22:42:10,6103.39
"615",2010-01-12 22:42:20,2138.665
"616",2010-01-12 22:42:30,6667.59
"617",2010-01-12 22:42:40,-13381.98
"618",2010-01-12 22:42:50,3707.435
"619",2010-01-12 22:43:00,13561.26
"620",2010-01-12 22:43:10,-1029.125
"621",2010-01-12 22:43:20,3117.115
"622",2010-01-12 22:43:30,-19288.915
"623",2010-01-12 22:43:40,10096.955
"624",2010-01-12 22:43:50,-9163.205
"625",2010-01-12 22:44:00,30581.225
"626",2010-01-12 22:44:10,-18546.04
"627",2010-01-12 22:44:20,-842.485
"628",2010-01-12 22:44:30,-6383.865
"629",2010-01-12 22:44:40,-4983.49
"630",2010-01-12 22:44:50,19742.77
"631",2010-01-12 22:45:00,-18754.085
"632",2010-01-12 22:45:10,791.11
"633",2010-01-12 22:45:20,25301.89
"634",2010-01-12 22:45:30,-31079.275
"635",2010-01-12 22:45:40,22085.935
"636",2010-01-12 22:45:50,-9473.42
"637",2010-01-12 22:46:00,7217.59
"638",2010-01-12 22:46:10,-5968.335
"639",2010-01-12 22:46:20,1903.92
"640",2010-01-12 22:46:30,-9077.035
"641",2010-01-12 22:46:40,14740.27
"642",2010-01-12 22:46:50,-14862.005
"643",2010-01-12 22:47:00,7683.12
"644",2010-01-12 22:47:10,2171.8
"645",2010-01-12 22:47:20,7861.055
"646",2010-01-12 22:47:30,-19636.03
"647",2010-01-12 22:47:40,15481.37
"648",2010-01-12 22:47:50,-6055.985
"649",2010-01-12 22:48:00,8240.85
"650",2010-01-12 22:48:10,-4005.515
"651",2010-01-12 22:48:20,1589.665
"652",2010-01-12 22:48:30,4191.19
"653",2010-01-12 22:48:40,-4682.71
"654",2010-01-12 22:48:50,1505.795
"655",2010-01-12 22:49:00,4996.185
"656",2010-01-12 22:49:10,-214.25
"657",2010-01-12 22:49:20,-9724.47
"658",2010-01-12 22:49:30,11475.105
