"","DateTime","CU.GRGR..BHZ.M"
"149",2010-01-12 21:24:40,1136.77
"150",2010-01-12 21:24:50,1151.0675
"151",2010-01-12 21:25:00,910.9975
"152",2010-01-12 21:25:10,1285.0825
"153",2010-01-12 21:25:20,969.545
"154",2010-01-12 21:25:30,1227.5325
"155",2010-01-12 21:25:40,1031.95
"156",2010-01-12 21:25:50,1155.6125
"157",2010-01-12 21:26:00,1160.4775
"158",2010-01-12 21:26:10,1077.245
"159",2010-01-12 21:26:20,1066
"160",2010-01-12 21:26:30,1150.0775
"161",2010-01-12 21:26:40,1184.29
"162",2010-01-12 21:26:50,1078.6075
"163",2010-01-12 21:27:00,1066.2275
"164",2010-01-12 21:27:10,1197.71
"165",2010-01-12 21:27:20,1055.1175
"166",2010-01-12 21:27:30,1042.0625
"167",2010-01-12 21:27:40,1118.6225
"168",2010-01-12 21:27:50,1113.5475
"169",2010-01-12 21:28:00,1143.2025
"170",2010-01-12 21:28:10,1082.775
"171",2010-01-12 21:28:20,1126.1225
"172",2010-01-12 21:28:30,1128.5825
"173",2010-01-12 21:28:40,1169.3275
"174",2010-01-12 21:28:50,1046.6825
"175",2010-01-12 21:29:00,1153.375
"176",2010-01-12 21:29:10,1081.83
"177",2010-01-12 21:29:20,1104.86
"178",2010-01-12 21:29:30,1147.1225
"179",2010-01-12 21:29:40,996.41
"180",2010-01-12 21:29:50,1216.09
"181",2010-01-12 21:30:00,942.8175
"182",2010-01-12 21:30:10,1143.07
"183",2010-01-12 21:30:20,1203.74
"184",2010-01-12 21:30:30,1160.94
"185",2010-01-12 21:30:40,942.6325
"186",2010-01-12 21:30:50,1242.94
"187",2010-01-12 21:31:00,1176.825
"188",2010-01-12 21:31:10,1003.75
"189",2010-01-12 21:31:20,1200.3325
"190",2010-01-12 21:31:30,967.5925
"191",2010-01-12 21:31:40,1078.795
"192",2010-01-12 21:31:50,1154.6525
"193",2010-01-12 21:32:00,1104.66
"194",2010-01-12 21:32:10,1112.055
"195",2010-01-12 21:32:20,1072.6875
"196",2010-01-12 21:32:30,1127.3775
"197",2010-01-12 21:32:40,1048.2725
"198",2010-01-12 21:32:50,1306.5
"199",2010-01-12 21:33:00,949.4875
"200",2010-01-12 21:33:10,1025.475
"201",2010-01-12 21:33:20,1305.4475
"202",2010-01-12 21:33:30,1015.1675
"203",2010-01-12 21:33:40,1069.4225
"204",2010-01-12 21:33:50,1187.6375
"205",2010-01-12 21:34:00,1024.235
"206",2010-01-12 21:34:10,1098.85
"207",2010-01-12 21:34:20,1190.34
"208",2010-01-12 21:34:30,1104.0425
"209",2010-01-12 21:34:40,927.9125
"210",2010-01-12 21:34:50,1261.4125
"211",2010-01-12 21:35:00,1065.325
"212",2010-01-12 21:35:10,1102.8825
"213",2010-01-12 21:35:20,1113.37
"214",2010-01-12 21:35:30,1010.8875
"215",2010-01-12 21:35:40,1100.6925
"216",2010-01-12 21:35:50,1192.71
"217",2010-01-12 21:36:00,1102.815
"218",2010-01-12 21:36:10,1127.5425
"219",2010-01-12 21:36:20,1224.1625
"220",2010-01-12 21:36:30,831.7225
"221",2010-01-12 21:36:40,1164.6675
"222",2010-01-12 21:36:50,1141.32
"223",2010-01-12 21:37:00,1171.085
"224",2010-01-12 21:37:10,1070.175
"225",2010-01-12 21:37:20,1027.97
"226",2010-01-12 21:37:30,1265.79
"227",2010-01-12 21:37:40,962.875
"228",2010-01-12 21:37:50,1108.7975
"229",2010-01-12 21:38:00,1179.885
"230",2010-01-12 21:38:10,1119.9
"231",2010-01-12 21:38:20,891.18
"232",2010-01-12 21:38:30,1294.3375
"233",2010-01-12 21:38:40,1103.34
"234",2010-01-12 21:38:50,1072.31
"235",2010-01-12 21:39:00,1015.175
"236",2010-01-12 21:39:10,1037.7225
"237",2010-01-12 21:39:20,1193.44
"238",2010-01-12 21:39:30,1209.6125
"239",2010-01-12 21:39:40,972.2625
"240",2010-01-12 21:39:50,1068.8575
"241",2010-01-12 21:40:00,1092.4825
"242",2010-01-12 21:40:10,1259.3425
"243",2010-01-12 21:40:20,961.605
"244",2010-01-12 21:40:30,1093.1875
"245",2010-01-12 21:40:40,1249.9275
"246",2010-01-12 21:40:50,966.99
"247",2010-01-12 21:41:00,1082.1075
"248",2010-01-12 21:41:10,1234.05
"249",2010-01-12 21:41:20,1001.3825
"250",2010-01-12 21:41:30,1084.7675
"251",2010-01-12 21:41:40,1122.4725
"252",2010-01-12 21:41:50,1104.9925
"253",2010-01-12 21:42:00,1020.7125
"254",2010-01-12 21:42:10,1167.7875
"255",2010-01-12 21:42:20,1145.1325
"256",2010-01-12 21:42:30,1016.15
"257",2010-01-12 21:42:40,1194.85
"258",2010-01-12 21:42:50,1013.375
"259",2010-01-12 21:43:00,1137.4425
"260",2010-01-12 21:43:10,987.8775
"261",2010-01-12 21:43:20,1092.12
"262",2010-01-12 21:43:30,1081.1325
"263",2010-01-12 21:43:40,1196.1
"264",2010-01-12 21:43:50,1063.57
"265",2010-01-12 21:44:00,1193.235
"266",2010-01-12 21:44:10,1117.9075
"267",2010-01-12 21:44:20,1017.685
"268",2010-01-12 21:44:30,1129.74
"269",2010-01-12 21:44:40,1071.435
"270",2010-01-12 21:44:50,1058.01
"271",2010-01-12 21:45:00,1047.01
"272",2010-01-12 21:45:10,1190.5575
"273",2010-01-12 21:45:20,1027.37
"274",2010-01-12 21:45:30,1189.695
"275",2010-01-12 21:45:40,1095.41
"276",2010-01-12 21:45:50,972.08
"277",2010-01-12 21:46:00,1108.4775
"278",2010-01-12 21:46:10,1138.895
"279",2010-01-12 21:46:20,1084.265
"280",2010-01-12 21:46:30,1036.6525
"281",2010-01-12 21:46:40,1248.3975
"282",2010-01-12 21:46:50,989.2525
"283",2010-01-12 21:47:00,1232.43
"284",2010-01-12 21:47:10,852.3175
"285",2010-01-12 21:47:20,1178.075
"286",2010-01-12 21:47:30,1133.095
"287",2010-01-12 21:47:40,1141.3775
"288",2010-01-12 21:47:50,1004.145
"289",2010-01-12 21:48:00,1124.8475
"290",2010-01-12 21:48:10,1159.83
"291",2010-01-12 21:48:20,1022.5125
"292",2010-01-12 21:48:30,1163.6475
"293",2010-01-12 21:48:40,972.3325
"294",2010-01-12 21:48:50,1150.4525
"295",2010-01-12 21:49:00,1107.1775
"296",2010-01-12 21:49:10,1094.7625
"297",2010-01-12 21:49:20,1018.855
"298",2010-01-12 21:49:30,1111.5425
"299",2010-01-12 21:49:40,1185.74
"300",2010-01-12 21:49:50,1172.1575
"301",2010-01-12 21:50:00,1061.8775
"302",2010-01-12 21:50:10,975.585
"303",2010-01-12 21:50:20,1172.665
"304",2010-01-12 21:50:30,1018.445
"305",2010-01-12 21:50:40,1098.59
"306",2010-01-12 21:50:50,1028.48
"307",2010-01-12 21:51:00,1084.2575
"308",2010-01-12 21:51:10,1207.36
"309",2010-01-12 21:51:20,1216.19
"310",2010-01-12 21:51:30,966.175
"311",2010-01-12 21:51:40,1027.575
"312",2010-01-12 21:51:50,1084.455
"313",2010-01-12 21:52:00,1080.555
"314",2010-01-12 21:52:10,1165.8125
"315",2010-01-12 21:52:20,923.6625
"316",2010-01-12 21:52:30,1180.8275
"317",2010-01-12 21:52:40,1118.1175
"318",2010-01-12 21:52:50,1135.9775
"319",2010-01-12 21:53:00,1024.29
"320",2010-01-12 21:53:10,972.475
"321",2010-01-12 21:53:20,1172.905
"322",2010-01-12 21:53:30,955.205
"323",2010-01-12 21:53:40,1263.2375
"324",2010-01-12 21:53:50,1135.775
"325",2010-01-12 21:54:00,924.0325
"326",2010-01-12 21:54:10,1154.3525
"327",2010-01-12 21:54:20,1064.8075
"328",2010-01-12 21:54:30,1008.995
"329",2010-01-12 21:54:40,1154.9225
"330",2010-01-12 21:54:50,1035.0625
"331",2010-01-12 21:55:00,1210.485
"332",2010-01-12 21:55:10,1164.5675
"333",2010-01-12 21:55:20,1001.035
"334",2010-01-12 21:55:30,1076.56
"335",2010-01-12 21:55:40,1190.395
"336",2010-01-12 21:55:50,1087.175
"337",2010-01-12 21:56:00,27412.4575
"338",2010-01-12 21:56:10,-20376.565
"339",2010-01-12 21:56:20,-20992.6025
"340",2010-01-12 21:56:30,18466.9125
"341",2010-01-12 21:56:40,-13291.895
"342",2010-01-12 21:56:50,31844.21
"343",2010-01-12 21:57:00,-33104.32
"344",2010-01-12 21:57:10,29902.605
"345",2010-01-12 21:57:20,-323.2275
"346",2010-01-12 21:57:30,-3088.1375
"347",2010-01-12 21:57:40,6514.9825
"348",2010-01-12 21:57:50,-19147.055
"349",2010-01-12 21:58:00,17665.105
"350",2010-01-12 21:58:10,-2949.515
"351",2010-01-12 21:58:20,-13893.2125
"352",2010-01-12 21:58:30,33052.6325
"353",2010-01-12 21:58:40,-65390.255
"354",2010-01-12 21:58:50,-28797.475
"355",2010-01-12 21:59:00,148309.035
"356",2010-01-12 21:59:10,246614.85
"357",2010-01-12 21:59:20,-441334.245
"358",2010-01-12 21:59:30,-68324.565
"359",2010-01-12 21:59:40,235047.0425
"360",2010-01-12 21:59:50,-211191.25
"361",2010-01-12 22:00:00,473181.06
"362",2010-01-12 22:00:10,-703165.7025
"363",2010-01-12 22:00:20,721377.8375
"364",2010-01-12 22:00:30,-511647.45
"365",2010-01-12 22:00:40,278990.4125
"366",2010-01-12 22:00:50,12412.1675
"367",2010-01-12 22:01:00,-237955.64
"368",2010-01-12 22:01:10,269570.1675
"369",2010-01-12 22:01:20,-204065.315
"370",2010-01-12 22:01:30,11958.22
"371",2010-01-12 22:01:40,163806.5525
"372",2010-01-12 22:01:50,-148406.505
"373",2010-01-12 22:02:00,63155.7725
"374",2010-01-12 22:02:10,112557.0725
"375",2010-01-12 22:02:20,-216180.865
"376",2010-01-12 22:02:30,-54242.315
"377",2010-01-12 22:02:40,390158.8175
"378",2010-01-12 22:02:50,-350279.4475
"379",2010-01-12 22:03:00,209360.1575
"380",2010-01-12 22:03:10,-78441.3175
"381",2010-01-12 22:03:20,-48371.2675
"382",2010-01-12 22:03:30,-91670.115
"383",2010-01-12 22:03:40,117855.435
