"","DateTime","IU.BBSR.00.BHZ.M"
"148",2010-01-12 21:24:30,28513.595
"149",2010-01-12 21:24:40,23518.555
"150",2010-01-12 21:24:50,30260.31
"151",2010-01-12 21:25:00,22495.785
"152",2010-01-12 21:25:10,27777.675
"153",2010-01-12 21:25:20,27194.92
"154",2010-01-12 21:25:30,30954.515
"155",2010-01-12 21:25:40,25812.0175
"156",2010-01-12 21:25:50,24296.3125
"157",2010-01-12 21:26:00,26429.47
"158",2010-01-12 21:26:10,26891.7675
"159",2010-01-12 21:26:20,31447.94
"160",2010-01-12 21:26:30,22875.4875
"161",2010-01-12 21:26:40,26820.8775
"162",2010-01-12 21:26:50,27094.3375
"163",2010-01-12 21:27:00,28142.62
"164",2010-01-12 21:27:10,27253.9425
"165",2010-01-12 21:27:20,26914.1125
"166",2010-01-12 21:27:30,28468.3525
"167",2010-01-12 21:27:40,24218.41
"168",2010-01-12 21:27:50,29408.045
"169",2010-01-12 21:28:00,24315.165
"170",2010-01-12 21:28:10,29253.8025
"171",2010-01-12 21:28:20,26040.96
"172",2010-01-12 21:28:30,25220.3175
"173",2010-01-12 21:28:40,27099.925
"174",2010-01-12 21:28:50,27404.9
"175",2010-01-12 21:29:00,26170.045
"176",2010-01-12 21:29:10,26797.18
"177",2010-01-12 21:29:20,28695.755
"178",2010-01-12 21:29:30,26775.73
"179",2010-01-12 21:29:40,31396.8725
"180",2010-01-12 21:29:50,20298.9325
"181",2010-01-12 21:30:00,27037.15
"182",2010-01-12 21:30:10,27530.505
"183",2010-01-12 21:30:20,27432.645
"184",2010-01-12 21:30:30,25764.8675
"185",2010-01-12 21:30:40,30428.345
"186",2010-01-12 21:30:50,22606.17
"187",2010-01-12 21:31:00,27983.585
"188",2010-01-12 21:31:10,29116.7575
"189",2010-01-12 21:31:20,26300.1475
"190",2010-01-12 21:31:30,27502.395
"191",2010-01-12 21:31:40,23034.3175
"192",2010-01-12 21:31:50,29501.8575
"193",2010-01-12 21:32:00,25187.275
