"","DateTime","CU.ANWB..BHZ.M"
"1",2010-01-12 21:00:00,2786.225
"2",2010-01-12 21:00:01,2115.05
"3",2010-01-12 21:00:02,-82.45
"4",2010-01-12 21:00:03,-238.3
"5",2010-01-12 21:00:04,835.7
"6",2010-01-12 21:00:05,3642.875
"7",2010-01-12 21:00:06,139.775
"8",2010-01-12 21:00:07,-1691.6
"9",2010-01-12 21:00:08,2257.475
"10",2010-01-12 21:00:09,4065.125
"11",2010-01-12 21:00:10,595.65
"12",2010-01-12 21:00:11,-2488.6
"13",2010-01-12 21:00:12,581.25
"14",2010-01-12 21:00:13,4613.775
"15",2010-01-12 21:00:14,1455.56097560976
"16",2010-01-12 21:00:15,-1897.15
"17",2010-01-12 21:00:16,495.825
"18",2010-01-12 21:00:17,3918.25
"19",2010-01-12 21:00:18,1095.025
"20",2010-01-12 21:00:19,-923.625
"21",2010-01-12 21:00:20,136.875
"22",2010-01-12 21:00:21,3250.825
"23",2010-01-12 21:00:22,1079.3
"24",2010-01-12 21:00:23,-104.725
"25",2010-01-12 21:00:24,1718.725
"26",2010-01-12 21:00:25,810.425
"27",2010-01-12 21:00:26,550
"28",2010-01-12 21:00:27,1083.85
"29",2010-01-12 21:00:28,1940.55
"30",2010-01-12 21:00:29,121.975
"31",2010-01-12 21:00:30,1296.4
"32",2010-01-12 21:00:31,819.375
"33",2010-01-12 21:00:32,1441.85
"34",2010-01-12 21:00:33,786.05
"35",2010-01-12 21:00:34,731.775
"36",2010-01-12 21:00:35,1721.55
"37",2010-01-12 21:00:36,765.85
"38",2010-01-12 21:00:37,982.75
"39",2010-01-12 21:00:38,816.625
"40",2010-01-12 21:00:39,1224.7
"41",2010-01-12 21:00:40,1097.325
"42",2010-01-12 21:00:41,1202.65
"43",2010-01-12 21:00:42,1112.05
"44",2010-01-12 21:00:43,212.975
"45",2010-01-12 21:00:44,2244
"46",2010-01-12 21:00:45,132
"47",2010-01-12 21:00:46,408.7
"48",2010-01-12 21:00:47,1055.4
"49",2010-01-12 21:00:48,2935.3
"50",2010-01-12 21:00:49,703.6
"51",2010-01-12 21:00:50,-1694.275
"52",2010-01-12 21:00:51,1627.275
"53",2010-01-12 21:00:52,3989.075
"54",2010-01-12 21:00:53,344.85
"55",2010-01-12 21:00:54,-2324.475
"56",2010-01-12 21:00:55,1435.1
"57",2010-01-12 21:00:56,4823.425
"58",2010-01-12 21:00:57,992.85
"59",2010-01-12 21:00:58,-2453.425
"60",2010-01-12 21:00:59,766.75
"61",2010-01-12 21:01:00,3123.45
"62",2010-01-12 21:01:01,2157.5
"63",2010-01-12 21:01:02,-1351.525
"64",2010-01-12 21:01:03,216.475
"65",2010-01-12 21:01:04,3803.65
"66",2010-01-12 21:01:05,1745.05
