"","DateTime","PR.CRPR..BHZ.M"
"1",2010-01-12 21:00:00,2907.225
"2",2010-01-12 21:00:10,2880.56
"3",2010-01-12 21:00:20,2915.63
"4",2010-01-12 21:00:30,2890.32
"5",2010-01-12 21:00:40,2931.12
"6",2010-01-12 21:00:50,2918.58
"7",2010-01-12 21:01:00,2825.655
"8",2010-01-12 21:01:10,2859.225
"9",2010-01-12 21:01:20,2838.155
"10",2010-01-12 21:01:30,2965.995
"11",2010-01-12 21:01:40,2881.895
"12",2010-01-12 21:01:50,2926.13
"13",2010-01-12 21:02:00,2873.8
"14",2010-01-12 21:02:10,2882.72
"15",2010-01-12 21:02:20,2892.64
"16",2010-01-12 21:02:30,2905.3
"17",2010-01-12 21:02:40,2893.91
"18",2010-01-12 21:02:50,2815.27
"19",2010-01-12 21:03:00,2933.84
"20",2010-01-12 21:03:10,2830.06
"21",2010-01-12 21:03:20,2944.875
"22",2010-01-12 21:03:30,2867.79
"23",2010-01-12 21:03:40,2863.72
"24",2010-01-12 21:03:50,2897.475
"25",2010-01-12 21:04:00,2856.76
"26",2010-01-12 21:04:10,2923.01
"27",2010-01-12 21:04:20,2878.17
"28",2010-01-12 21:04:30,2897.51
"29",2010-01-12 21:04:40,2872.05
"30",2010-01-12 21:04:50,2877.805
"31",2010-01-12 21:05:00,2877.445
"32",2010-01-12 21:05:10,2969.495
"33",2010-01-12 21:05:20,2856.54
"34",2010-01-12 21:05:30,2853.59
"35",2010-01-12 21:05:40,2881.775
"36",2010-01-12 21:05:50,2836.175
"37",2010-01-12 21:06:00,2912.255
"38",2010-01-12 21:06:10,2887.45
"39",2010-01-12 21:06:20,2905.435
"40",2010-01-12 21:06:30,2890.65
"41",2010-01-12 21:06:40,2841.835
"42",2010-01-12 21:06:50,2897.73
"43",2010-01-12 21:07:00,2871.635
"44",2010-01-12 21:07:10,2839.17
"45",2010-01-12 21:07:20,2888.54
"46",2010-01-12 21:07:30,2864.875
"47",2010-01-12 21:07:40,2849.16
"48",2010-01-12 21:07:50,2918.525
"49",2010-01-12 21:08:00,2913.78
"50",2010-01-12 21:08:10,2870.81
"51",2010-01-12 21:08:20,2873.17
"52",2010-01-12 21:08:30,2844.205
"53",2010-01-12 21:08:40,2960.865
"54",2010-01-12 21:08:50,2845.965
"55",2010-01-12 21:09:00,2860.095
"56",2010-01-12 21:09:10,2886.94
"57",2010-01-12 21:09:20,2856.125
"58",2010-01-12 21:09:30,2912.24
"59",2010-01-12 21:09:40,2875.395
"60",2010-01-12 21:09:50,2872.145
"61",2010-01-12 21:10:00,2827.67
"62",2010-01-12 21:10:10,2842.555
"63",2010-01-12 21:10:20,2953.685
"64",2010-01-12 21:10:30,2873.01
"65",2010-01-12 21:10:40,2852.14
"66",2010-01-12 21:10:50,2855.845
"67",2010-01-12 21:11:00,2878.495
"68",2010-01-12 21:11:10,2900.475
"69",2010-01-12 21:11:20,2856.03
"70",2010-01-12 21:11:30,2854.37810945274
"71",2010-01-12 21:11:40,2873.895
"72",2010-01-12 21:11:50,2914.66
"73",2010-01-12 21:12:00,2892.505
"74",2010-01-12 21:12:10,2863.9
"75",2010-01-12 21:12:20,2849.79
"76",2010-01-12 21:12:30,2837.25
"77",2010-01-12 21:12:40,2903.215
"78",2010-01-12 21:12:50,2871.815
"79",2010-01-12 21:13:00,2842.99
"80",2010-01-12 21:13:10,2854.305
"81",2010-01-12 21:13:20,2886.72
"82",2010-01-12 21:13:30,2917.51
"83",2010-01-12 21:13:40,2814.04
"84",2010-01-12 21:13:50,2922.23287671233
