"","DateTime","CU.SDDR..BHZ.M"
"148",2010-01-12 21:24:30,3207.535
"149",2010-01-12 21:24:40,3039.8675
"150",2010-01-12 21:24:50,3133.165
"151",2010-01-12 21:25:00,3157.77
"152",2010-01-12 21:25:10,3171.4
"153",2010-01-12 21:25:20,3194.2175
"154",2010-01-12 21:25:30,3091.635
"155",2010-01-12 21:25:40,3048.2075
"156",2010-01-12 21:25:50,3183.4825
"157",2010-01-12 21:26:00,3155.7275
"158",2010-01-12 21:26:10,3148.815
"159",2010-01-12 21:26:20,3103.995
"160",2010-01-12 21:26:30,3186.9825
"161",2010-01-12 21:26:40,3036.9975
"162",2010-01-12 21:26:50,3144.7025
"163",2010-01-12 21:27:00,3143.45
"164",2010-01-12 21:27:10,3198.195
"165",2010-01-12 21:27:20,3106.7625
"166",2010-01-12 21:27:30,3263.7025
"167",2010-01-12 21:27:40,3091.03
"168",2010-01-12 21:27:50,3150.5575
"169",2010-01-12 21:28:00,3115.0575
"170",2010-01-12 21:28:10,3077.91
"171",2010-01-12 21:28:20,3222.4625
"172",2010-01-12 21:28:30,3045.39
"173",2010-01-12 21:28:40,3182.2525
"174",2010-01-12 21:28:50,3074.03
"175",2010-01-12 21:29:00,3274.7575
"176",2010-01-12 21:29:10,2986.4325
"177",2010-01-12 21:29:20,3174.53
"178",2010-01-12 21:29:30,3170.2525
"179",2010-01-12 21:29:40,3141.6325
"180",2010-01-12 21:29:50,3087.9
"181",2010-01-12 21:30:00,3157.91
"182",2010-01-12 21:30:10,3192.9075
"183",2010-01-12 21:30:20,3121.7975
"184",2010-01-12 21:30:30,3017.6
"185",2010-01-12 21:30:40,3260.6525
"186",2010-01-12 21:30:50,3119.96
"187",2010-01-12 21:31:00,3052.135
"188",2010-01-12 21:31:10,3266.105
"189",2010-01-12 21:31:20,2995.86
"190",2010-01-12 21:31:30,3191.855
"191",2010-01-12 21:31:40,3180.3075
"192",2010-01-12 21:31:50,3173.9675
"193",2010-01-12 21:32:00,3136.7275
"194",2010-01-12 21:32:10,3032.365
"195",2010-01-12 21:32:20,3150.2425
"196",2010-01-12 21:32:30,3126.4025
"197",2010-01-12 21:32:40,2962.555
"198",2010-01-12 21:32:50,3241.0025
"199",2010-01-12 21:33:00,3262.9875
"200",2010-01-12 21:33:10,3045.7775
"201",2010-01-12 21:33:20,3156.1725
"202",2010-01-12 21:33:30,3087.335
"203",2010-01-12 21:33:40,3209.365
"204",2010-01-12 21:33:50,3164.6675
"205",2010-01-12 21:34:00,3148.915
"206",2010-01-12 21:34:10,3000.665
"207",2010-01-12 21:34:20,3080.44
"208",2010-01-12 21:34:30,3154.1925
"209",2010-01-12 21:34:40,3146.8425
"210",2010-01-12 21:34:50,3138.12
"211",2010-01-12 21:35:00,3111.885
"212",2010-01-12 21:35:10,3221.3175
"213",2010-01-12 21:35:20,3034.77
"214",2010-01-12 21:35:30,3122.6275
"215",2010-01-12 21:35:40,3203.7375
"216",2010-01-12 21:35:50,3121.225
"217",2010-01-12 21:36:00,3086.76
"218",2010-01-12 21:36:10,3134.21
"219",2010-01-12 21:36:20,3062.5725
"220",2010-01-12 21:36:30,3359.665
"221",2010-01-12 21:36:40,3055.6975
"222",2010-01-12 21:36:50,3013.995
"223",2010-01-12 21:37:00,3312.4925
"224",2010-01-12 21:37:10,3009.7125
"225",2010-01-12 21:37:20,3110.12
"226",2010-01-12 21:37:30,3038.365
"227",2010-01-12 21:37:40,3071.775
"228",2010-01-12 21:37:50,3318.6925
"229",2010-01-12 21:38:00,2969.96
"230",2010-01-12 21:38:10,3150.06
"231",2010-01-12 21:38:20,3242.175
"232",2010-01-12 21:38:30,3037.025
"233",2010-01-12 21:38:40,3119.88
"234",2010-01-12 21:38:50,3066.715
"235",2010-01-12 21:39:00,3129.5975
"236",2010-01-12 21:39:10,3184.565
"237",2010-01-12 21:39:20,2992.5125
"238",2010-01-12 21:39:30,3230.6375
"239",2010-01-12 21:39:40,3110.3325
"240",2010-01-12 21:39:50,3099.5675
"241",2010-01-12 21:40:00,3242.53
"242",2010-01-12 21:40:10,3140.2125
"243",2010-01-12 21:40:20,3104.12
"244",2010-01-12 21:40:30,3082.46
"245",2010-01-12 21:40:40,3142.205
"246",2010-01-12 21:40:50,3086.0425
"247",2010-01-12 21:41:00,3082.9675
"248",2010-01-12 21:41:10,3188.285
"249",2010-01-12 21:41:20,3016.515
"250",2010-01-12 21:41:30,3223.345
"251",2010-01-12 21:41:40,3078.865
"252",2010-01-12 21:41:50,3110.195
"253",2010-01-12 21:42:00,3229.48
"254",2010-01-12 21:42:10,3027.6875
"255",2010-01-12 21:42:20,3084.52
"256",2010-01-12 21:42:30,3257.64
"257",2010-01-12 21:42:40,3027.2375
"258",2010-01-12 21:42:50,3070.425
