"","DateTime","DR.SDD..BHZ.M"
"1",2010-01-12 21:00:00,868.8
"2",2010-01-12 21:00:01,993.32
"3",2010-01-12 21:00:02,837.52
"4",2010-01-12 21:00:03,1089.98
"5",2010-01-12 21:00:04,1147.96
"6",2010-01-12 21:00:05,961.04
"7",2010-01-12 21:00:06,1148.28
"8",2010-01-12 21:00:07,949.56
"9",2010-01-12 21:00:08,753.46
"10",2010-01-12 21:00:09,651.56
"11",2010-01-12 21:00:10,718.58
"12",2010-01-12 21:00:11,616.02
"13",2010-01-12 21:00:12,367.1
"14",2010-01-12 21:00:13,230.78
"15",2010-01-12 21:00:14,221.94
"16",2010-01-12 21:00:15,333.88
"17",2010-01-12 21:00:16,327.6
"18",2010-01-12 21:00:17,211.98
"19",2010-01-12 21:00:18,455.82
"20",2010-01-12 21:00:19,141.42
"21",2010-01-12 21:00:20,84.72
"22",2010-01-12 21:00:21,465.28
"23",2010-01-12 21:00:22,49.66
"24",2010-01-12 21:00:23,66.26
"25",2010-01-12 21:00:24,289.26
"26",2010-01-12 21:00:25,140.94
"27",2010-01-12 21:00:26,122.6
"28",2010-01-12 21:00:27,377.62
"29",2010-01-12 21:00:28,80.94
"30",2010-01-12 21:00:29,-74.1
"31",2010-01-12 21:00:30,797.48
"32",2010-01-12 21:00:31,468.02
"33",2010-01-12 21:00:32,273.46
"34",2010-01-12 21:00:33,276.72
"35",2010-01-12 21:00:34,250.2
"36",2010-01-12 21:00:35,347.86
"37",2010-01-12 21:00:36,469.4
"38",2010-01-12 21:00:37,22.06
"39",2010-01-12 21:00:38,-337.02
"40",2010-01-12 21:00:39,199.94
"41",2010-01-12 21:00:40,-26
"42",2010-01-12 21:00:41,-358.12
"43",2010-01-12 21:00:42,260.88
"44",2010-01-12 21:00:43,-125.02
"45",2010-01-12 21:00:44,-258.6
"46",2010-01-12 21:00:45,81.62
"47",2010-01-12 21:00:46,37.48
"48",2010-01-12 21:00:47,-18
"49",2010-01-12 21:00:48,-123.78
"50",2010-01-12 21:00:49,34.58
"51",2010-01-12 21:00:50,-350.46
"52",2010-01-12 21:00:51,-450.12
"53",2010-01-12 21:00:52,-39.48
"54",2010-01-12 21:00:53,-416.28
"55",2010-01-12 21:00:54,-614.4
"56",2010-01-12 21:00:55,-582.8
"57",2010-01-12 21:00:56,-284.9
"58",2010-01-12 21:00:57,-426.4
"59",2010-01-12 21:00:58,-122.08
"60",2010-01-12 21:00:59,-227.14
"61",2010-01-12 21:01:00,-598.16
"62",2010-01-12 21:01:01,-260.66
