"","DateTime","CU.GRTK..BHZ.M"
"1",2010-01-12 21:00:00,257.05
"2",2010-01-12 21:00:10,573.075
"3",2010-01-12 21:00:20,142.4775
"4",2010-01-12 21:00:30,282.94
"5",2010-01-12 21:00:40,694.3125
"6",2010-01-12 21:00:50,383.145
"7",2010-01-12 21:01:00,433.7525
"8",2010-01-12 21:01:10,-125.225
"9",2010-01-12 21:01:20,830.6675
"10",2010-01-12 21:01:30,332.5375
"11",2010-01-12 21:01:40,725.055
"12",2010-01-12 21:01:50,195.7125
"13",2010-01-12 21:02:00,222.33
"14",2010-01-12 21:02:10,783.61
"15",2010-01-12 21:02:20,80.03
"16",2010-01-12 21:02:30,280.375
"17",2010-01-12 21:02:40,701.5675
"18",2010-01-12 21:02:50,462.455
"19",2010-01-12 21:03:00,-25.5475
"20",2010-01-12 21:03:10,965.2875
"21",2010-01-12 21:03:20,530.275
"22",2010-01-12 21:03:30,333.0375
"23",2010-01-12 21:03:40,381.05
"24",2010-01-12 21:03:50,70.1675
"25",2010-01-12 21:04:00,289.54
"26",2010-01-12 21:04:10,416.31
"27",2010-01-12 21:04:20,418.99
"28",2010-01-12 21:04:30,368.81
"29",2010-01-12 21:04:40,302.14
"30",2010-01-12 21:04:50,354.8675
"31",2010-01-12 21:05:00,257.6325
"32",2010-01-12 21:05:10,495.645
"33",2010-01-12 21:05:20,678.8575
"34",2010-01-12 21:05:30,204.9175
"35",2010-01-12 21:05:40,-16.7775
"36",2010-01-12 21:05:50,265.045
"37",2010-01-12 21:06:00,397.005
"38",2010-01-12 21:06:10,643.1875
"39",2010-01-12 21:06:20,439.9775
"40",2010-01-12 21:06:30,850.2175
"41",2010-01-12 21:06:40,778.435
"42",2010-01-12 21:06:50,167.0875
"43",2010-01-12 21:07:00,718.8175
"44",2010-01-12 21:07:10,732.7775
"45",2010-01-12 21:07:20,215.6875
"46",2010-01-12 21:07:30,169.7225
"47",2010-01-12 21:07:40,125.9625
"48",2010-01-12 21:07:50,639.6925
"49",2010-01-12 21:08:00,93.2225
"50",2010-01-12 21:08:10,282.28
"51",2010-01-12 21:08:20,553.42
"52",2010-01-12 21:08:30,467.3375
"53",2010-01-12 21:08:40,268.5325
"54",2010-01-12 21:08:50,315.5825
"55",2010-01-12 21:09:00,138.865
"56",2010-01-12 21:09:10,-14.9275
"57",2010-01-12 21:09:20,613.3175
"58",2010-01-12 21:09:30,349.2075
"59",2010-01-12 21:09:40,138.8425
"60",2010-01-12 21:09:50,862.85
"61",2010-01-12 21:10:00,225.705
"62",2010-01-12 21:10:10,774.25
"63",2010-01-12 21:10:20,379.54
"64",2010-01-12 21:10:30,26.1275
"65",2010-01-12 21:10:40,461.745
"66",2010-01-12 21:10:50,570.1225
"67",2010-01-12 21:11:00,708.48
"68",2010-01-12 21:11:10,848.64
"69",2010-01-12 21:11:20,467.575
"70",2010-01-12 21:11:30,259.8625
"71",2010-01-12 21:11:40,415.605
"72",2010-01-12 21:11:50,273
"73",2010-01-12 21:12:00,336.1925
"74",2010-01-12 21:12:10,468.3375
"75",2010-01-12 21:12:20,220.8175
"76",2010-01-12 21:12:30,214.285
"77",2010-01-12 21:12:40,612.9575
"78",2010-01-12 21:12:50,-46.565
"79",2010-01-12 21:13:00,335.64
"80",2010-01-12 21:13:10,409.7375
"81",2010-01-12 21:13:20,581.1275
"82",2010-01-12 21:13:30,201.3
"83",2010-01-12 21:13:40,505.985
"84",2010-01-12 21:13:50,197.51
"85",2010-01-12 21:14:00,300.2275
"86",2010-01-12 21:14:10,488.2925
"87",2010-01-12 21:14:20,772.985
"88",2010-01-12 21:14:30,505.6225
"89",2010-01-12 21:14:40,54.6475
"90",2010-01-12 21:14:50,546.55
"91",2010-01-12 21:15:00,166.6525
"92",2010-01-12 21:15:10,291.43
"93",2010-01-12 21:15:20,745.54
"94",2010-01-12 21:15:30,50.9525
"95",2010-01-12 21:15:40,715.7225
