"","DateTime","G.FDF.00.BHZ.M"
"152",2010-01-12 21:25:10,-222.305
"153",2010-01-12 21:25:20,-86.135
"154",2010-01-12 21:25:30,-230.255
"155",2010-01-12 21:25:40,-168.455
"156",2010-01-12 21:25:50,-189.485
"157",2010-01-12 21:26:00,-152.555
"158",2010-01-12 21:26:10,-52.61
"159",2010-01-12 21:26:20,-375.125
"160",2010-01-12 21:26:30,-60.95
"161",2010-01-12 21:26:40,-284.295
"162",2010-01-12 21:26:50,-112.465
"163",2010-01-12 21:27:00,-120.26
"164",2010-01-12 21:27:10,-220.86
"165",2010-01-12 21:27:20,-126.56
"166",2010-01-12 21:27:30,-127.865
"167",2010-01-12 21:27:40,-209.625
"168",2010-01-12 21:27:50,-95.17
"169",2010-01-12 21:28:00,-242.98
"170",2010-01-12 21:28:10,-207.25
"171",2010-01-12 21:28:20,-161.005
"172",2010-01-12 21:28:30,-307.41
"173",2010-01-12 21:28:40,52.99
"174",2010-01-12 21:28:50,-232.595
"175",2010-01-12 21:29:00,-151.44
"176",2010-01-12 21:29:10,-170.295
"177",2010-01-12 21:29:20,-208.015
"178",2010-01-12 21:29:30,-262.125
"179",2010-01-12 21:29:40,-154.62
"180",2010-01-12 21:29:50,-144.99
"181",2010-01-12 21:30:00,-46.925
"182",2010-01-12 21:30:10,-224.43
"183",2010-01-12 21:30:20,-335.02
"184",2010-01-12 21:30:30,-87.645
"185",2010-01-12 21:30:40,-175.265
"186",2010-01-12 21:30:50,-206.945
"187",2010-01-12 21:31:00,-175.905
"188",2010-01-12 21:31:10,-84.69
"189",2010-01-12 21:31:20,-247.095
"190",2010-01-12 21:31:30,-237.595
"191",2010-01-12 21:31:40,-132.395
"192",2010-01-12 21:31:50,-147.355
"193",2010-01-12 21:32:00,-137.245
"194",2010-01-12 21:32:10,-204.685
"195",2010-01-12 21:32:20,-159.935
"196",2010-01-12 21:32:30,-288.755
"197",2010-01-12 21:32:40,-140.06
"198",2010-01-12 21:32:50,-224.56
"199",2010-01-12 21:33:00,-114.8
"200",2010-01-12 21:33:10,-128.55
"201",2010-01-12 21:33:20,-181.7
"202",2010-01-12 21:33:30,-204.975
"203",2010-01-12 21:33:40,-207.11
"204",2010-01-12 21:33:50,-229.03
"205",2010-01-12 21:34:00,-118.41
"206",2010-01-12 21:34:10,-166.65
"207",2010-01-12 21:34:20,-219.235
"208",2010-01-12 21:34:30,-109.47
"209",2010-01-12 21:34:40,-185.31
"210",2010-01-12 21:34:50,-238.125
"211",2010-01-12 21:35:00,-189.45
"212",2010-01-12 21:35:10,-186.46
"213",2010-01-12 21:35:20,-96.7
"214",2010-01-12 21:35:30,-265.06
"215",2010-01-12 21:35:40,-209.71
"216",2010-01-12 21:35:50,-85.04
"217",2010-01-12 21:36:00,-242.01
"218",2010-01-12 21:36:10,-122.925
"219",2010-01-12 21:36:20,-238.745
"220",2010-01-12 21:36:30,-64.785
"221",2010-01-12 21:36:40,-255.795
"222",2010-01-12 21:36:50,-213.96
"223",2010-01-12 21:37:00,-255.655
"224",2010-01-12 21:37:10,-193.815
"225",2010-01-12 21:37:20,-170.64
"226",2010-01-12 21:37:30,-157.08
"227",2010-01-12 21:37:40,-137.77
"228",2010-01-12 21:37:50,-185.27
"229",2010-01-12 21:38:00,-206.53
"230",2010-01-12 21:38:10,-211.88
"231",2010-01-12 21:38:20,-140.315
"232",2010-01-12 21:38:30,-163.895
"233",2010-01-12 21:38:40,-94.075
"234",2010-01-12 21:38:50,-347.01
"235",2010-01-12 21:39:00,-217.465
"236",2010-01-12 21:39:10,-118.83
"237",2010-01-12 21:39:20,-129.535
"238",2010-01-12 21:39:30,-238.66
"239",2010-01-12 21:39:40,-167.46
"240",2010-01-12 21:39:50,-259.29
"241",2010-01-12 21:40:00,-183.57
"242",2010-01-12 21:40:10,-20.445
"243",2010-01-12 21:40:20,-284.375
"244",2010-01-12 21:40:30,-252.54
"245",2010-01-12 21:40:40,-123.585
"246",2010-01-12 21:40:50,-129.245
"247",2010-01-12 21:41:00,-319.955
"248",2010-01-12 21:41:10,-253.82
