"","DateTime","PR.PCDR..BHZ.M"
"159",2010-01-12 21:02:38,940.45
"160",2010-01-12 21:02:39,638.8
"161",2010-01-12 21:02:40,381.05
"162",2010-01-12 21:02:41,707.05
"163",2010-01-12 21:02:42,914.65
"164",2010-01-12 21:02:43,620.3
"165",2010-01-12 21:02:44,719.2
"166",2010-01-12 21:02:45,344.45
"167",2010-01-12 21:02:46,481.75
"168",2010-01-12 21:02:47,1340.35
"169",2010-01-12 21:02:48,466.8
"170",2010-01-12 21:02:49,126.7
"171",2010-01-12 21:02:50,817.45
"172",2010-01-12 21:02:51,591.75
"173",2010-01-12 21:02:52,676.35
"174",2010-01-12 21:02:53,431.75
"175",2010-01-12 21:02:54,354.65
"176",2010-01-12 21:02:55,714.8
"177",2010-01-12 21:02:56,931
"178",2010-01-12 21:02:57,17.25
"179",2010-01-12 21:02:58,590
"180",2010-01-12 21:02:59,1004.6
"181",2010-01-12 21:03:00,173
"182",2010-01-12 21:03:01,473
"183",2010-01-12 21:03:02,580.65
"184",2010-01-12 21:03:03,851.75
"185",2010-01-12 21:03:04,585.35
"186",2010-01-12 21:03:05,506.2
"187",2010-01-12 21:03:06,112
"188",2010-01-12 21:03:07,515
"189",2010-01-12 21:03:08,1384.05
"190",2010-01-12 21:03:09,257.9
"191",2010-01-12 21:03:10,460.65
"192",2010-01-12 21:03:11,508.7
"193",2010-01-12 21:03:12,1202.5
"194",2010-01-12 21:03:13,544.5
"195",2010-01-12 21:03:14,116.55
"196",2010-01-12 21:03:15,720.5
"197",2010-01-12 21:03:16,968.75
"198",2010-01-12 21:03:17,637.65
"199",2010-01-12 21:03:18,545.25
"200",2010-01-12 21:03:19,604.25
"201",2010-01-12 21:03:20,604.6
"202",2010-01-12 21:03:21,635.7
"203",2010-01-12 21:03:22,724.45
"204",2010-01-12 21:03:23,892
"205",2010-01-12 21:03:24,417.25
"206",2010-01-12 21:03:25,384.2
"207",2010-01-12 21:03:26,847.25
"208",2010-01-12 21:03:27,711.15
"209",2010-01-12 21:03:28,155.8
"210",2010-01-12 21:03:29,1158.6
"211",2010-01-12 21:03:30,568.05
"212",2010-01-12 21:03:31,240.15
"213",2010-01-12 21:03:32,832.3
"214",2010-01-12 21:03:33,709.65
"215",2010-01-12 21:03:34,819
"216",2010-01-12 21:03:35,199.3
"217",2010-01-12 21:03:36,585.3
"218",2010-01-12 21:03:37,677.9
"219",2010-01-12 21:03:38,676.05
"220",2010-01-12 21:03:39,626.9
"221",2010-01-12 21:03:40,438
"222",2010-01-12 21:03:41,708.7
"223",2010-01-12 21:03:42,291.35
