"","DateTime","PR.CBYP..BHZ.M"
"145",2010-01-12 21:24:00,-50780.5
"146",2010-01-12 21:24:10,-50831.045
"147",2010-01-12 21:24:20,-50844.21
"148",2010-01-12 21:24:30,-50773.89
"149",2010-01-12 21:24:40,-50808.455
"150",2010-01-12 21:24:50,-50865.58
"151",2010-01-12 21:25:00,-50780.1
"152",2010-01-12 21:25:10,-50844.92
"153",2010-01-12 21:25:20,-50755.37
"154",2010-01-12 21:25:30,-50850.04
"155",2010-01-12 21:25:40,-50815.225
"156",2010-01-12 21:25:50,-50784.275
"157",2010-01-12 21:26:00,-50843.16
"158",2010-01-12 21:26:10,-50815.355
"159",2010-01-12 21:26:20,-50779.995
"160",2010-01-12 21:26:30,-50834.68
"161",2010-01-12 21:26:40,-50783.745
"162",2010-01-12 21:26:50,-50828.535
"163",2010-01-12 21:27:00,-50800.415
"164",2010-01-12 21:27:10,-50847.11
"165",2010-01-12 21:27:20,-50787.695
"166",2010-01-12 21:27:30,-50846.855
"167",2010-01-12 21:27:40,-50755.11
"168",2010-01-12 21:27:50,-50877.3
"169",2010-01-12 21:28:00,-50762.37
"170",2010-01-12 21:28:10,-50798.435
"171",2010-01-12 21:28:20,-50841.02
"172",2010-01-12 21:28:30,-50807.495
"173",2010-01-12 21:28:40,-50788.32
"174",2010-01-12 21:28:50,-50824.225
"175",2010-01-12 21:29:00,-50788.215
"176",2010-01-12 21:29:10,-50825.1
"177",2010-01-12 21:29:20,-50846.895
"178",2010-01-12 21:29:30,-50761.965
"179",2010-01-12 21:29:40,-50823.28
"180",2010-01-12 21:29:50,-50810.395
"181",2010-01-12 21:30:00,-50776.42
"182",2010-01-12 21:30:10,-50847.24
"183",2010-01-12 21:30:20,-50816.01
"184",2010-01-12 21:30:30,-50794.095
"185",2010-01-12 21:30:40,-50815.6
"186",2010-01-12 21:30:50,-50802.915
"187",2010-01-12 21:31:00,-50807.04
"188",2010-01-12 21:31:10,-50866.385
"189",2010-01-12 21:31:20,-50738.58
"190",2010-01-12 21:31:30,-50774.04
"191",2010-01-12 21:31:40,-50868.405
"192",2010-01-12 21:31:50,-50773.03
"193",2010-01-12 21:32:00,-50897.365
"194",2010-01-12 21:32:10,-50735.505
"195",2010-01-12 21:32:20,-50819.885
"196",2010-01-12 21:32:30,-50776.79
"197",2010-01-12 21:32:40,-50856.79
"198",2010-01-12 21:32:50,-50771.28
"199",2010-01-12 21:33:00,-50854.28
"200",2010-01-12 21:33:10,-50729.69
"201",2010-01-12 21:33:20,-50806.075
"202",2010-01-12 21:33:30,-50852.9402985075
"203",2010-01-12 21:33:40,-50771.05
"204",2010-01-12 21:33:50,-50822.505
"205",2010-01-12 21:34:00,-50833.06
"206",2010-01-12 21:34:10,-50776.345
"207",2010-01-12 21:34:20,-50807.705
"208",2010-01-12 21:34:30,-50813.63
"209",2010-01-12 21:34:40,-50743.13
"210",2010-01-12 21:34:50,-50863.435
"211",2010-01-12 21:35:00,-50788.125
"212",2010-01-12 21:35:10,-50814.105
"213",2010-01-12 21:35:20,-50838.045
"214",2010-01-12 21:35:30,-50755.88
"215",2010-01-12 21:35:40,-50830.335
"216",2010-01-12 21:35:50,-50837.79
"217",2010-01-12 21:36:00,-50731.375
"218",2010-01-12 21:36:10,-50833.92
"219",2010-01-12 21:36:20,-50782.395
"220",2010-01-12 21:36:30,-50796.625
"221",2010-01-12 21:36:40,-50818.56
"222",2010-01-12 21:36:50,-50796.205
"223",2010-01-12 21:37:00,-50781.015
"224",2010-01-12 21:37:10,-50840.68
"225",2010-01-12 21:37:20,-50770.16
"226",2010-01-12 21:37:30,-50843.03
"227",2010-01-12 21:37:40,-50806.02
"228",2010-01-12 21:37:50,-50788.705
"229",2010-01-12 21:38:00,-50813.485
"230",2010-01-12 21:38:10,-50767.115
"231",2010-01-12 21:38:20,-50821.585
"232",2010-01-12 21:38:30,-50772.845
"233",2010-01-12 21:38:40,-50813.025
"234",2010-01-12 21:38:50,-50797.6
"235",2010-01-12 21:39:00,-50837.265
"236",2010-01-12 21:39:10,-50790.02
"237",2010-01-12 21:39:20,-50832.045
"238",2010-01-12 21:39:30,-50766.745
"239",2010-01-12 21:39:40,-50820.215
"240",2010-01-12 21:39:50,-50784.91
"241",2010-01-12 21:40:00,-50829.83
"242",2010-01-12 21:40:10,-50724.7668711656
