"","DateTime","PR.CBYP..BHZ.M"
"1",2010-01-12 21:00:00,-51041.85
"2",2010-01-12 21:00:01,-51017.25
"3",2010-01-12 21:00:02,-50634.35
"4",2010-01-12 21:00:03,-50303.1
"5",2010-01-12 21:00:04,-51013.3
"6",2010-01-12 21:00:05,-51403.1
"7",2010-01-12 21:00:06,-50721.7
"8",2010-01-12 21:00:07,-50384.9
"9",2010-01-12 21:00:08,-51072.75
"10",2010-01-12 21:00:09,-51162.5
"11",2010-01-12 21:00:10,-50406.7
"12",2010-01-12 21:00:11,-50539.5
"13",2010-01-12 21:00:12,-51442.85
"14",2010-01-12 21:00:13,-50627.9
"15",2010-01-12 21:00:14,-50537.5
"16",2010-01-12 21:00:15,-50931.5
"17",2010-01-12 21:00:16,-51135.95
"18",2010-01-12 21:00:17,-50779.25
"19",2010-01-12 21:00:18,-50784.45
"20",2010-01-12 21:00:19,-50977
"21",2010-01-12 21:00:20,-50615.85
"22",2010-01-12 21:00:21,-50759.35
"23",2010-01-12 21:00:22,-50430.95
"24",2010-01-12 21:00:23,-51394.05
"25",2010-01-12 21:00:24,-51101.65
"26",2010-01-12 21:00:25,-50648.55
"27",2010-01-12 21:00:26,-50537.4
"28",2010-01-12 21:00:27,-50742.95
"29",2010-01-12 21:00:28,-51085.75
"30",2010-01-12 21:00:29,-50732.3
"31",2010-01-12 21:00:30,-51087
"32",2010-01-12 21:00:31,-50752.65
"33",2010-01-12 21:00:32,-50678.95
"34",2010-01-12 21:00:33,-50903.1
"35",2010-01-12 21:00:34,-50868.45
"36",2010-01-12 21:00:35,-50588.65
"37",2010-01-12 21:00:36,-51278
"38",2010-01-12 21:00:37,-50686.8
"39",2010-01-12 21:00:38,-50594.1
"40",2010-01-12 21:00:39,-51056.1
"41",2010-01-12 21:00:40,-50832.05
"42",2010-01-12 21:00:41,-50507.9
"43",2010-01-12 21:00:42,-50799.5
"44",2010-01-12 21:00:43,-51265.05
"45",2010-01-12 21:00:44,-50984.7
"46",2010-01-12 21:00:45,-50512.55
"47",2010-01-12 21:00:46,-50442.15
"48",2010-01-12 21:00:47,-51208.25
"49",2010-01-12 21:00:48,-51081.55
"50",2010-01-12 21:00:49,-50464.8
"51",2010-01-12 21:00:50,-50859.1
"52",2010-01-12 21:00:51,-50989.85
"53",2010-01-12 21:00:52,-50771.8
"54",2010-01-12 21:00:53,-50903.3
"55",2010-01-12 21:00:54,-50957.1
"56",2010-01-12 21:00:55,-50524.85
"57",2010-01-12 21:00:56,-50602
"58",2010-01-12 21:00:57,-51004.05
"59",2010-01-12 21:00:58,-51294.5
"60",2010-01-12 21:00:59,-50697.55
"61",2010-01-12 21:01:00,-50500.4
"62",2010-01-12 21:01:01,-50662.55
"63",2010-01-12 21:01:02,-51207.7
"64",2010-01-12 21:01:03,-50915.55
"65",2010-01-12 21:01:04,-50593.7
"66",2010-01-12 21:01:05,-50937.1
"67",2010-01-12 21:01:06,-50900.75
"68",2010-01-12 21:01:07,-50670.6
"69",2010-01-12 21:01:08,-50914.8
"70",2010-01-12 21:01:09,-50731.35
"71",2010-01-12 21:01:10,-51102.8
"72",2010-01-12 21:01:11,-50665.9
"73",2010-01-12 21:01:12,-50749.35
"74",2010-01-12 21:01:13,-51018.9
"75",2010-01-12 21:01:14,-50925.85
"76",2010-01-12 21:01:15,-50554.5
"77",2010-01-12 21:01:16,-50549.65
"78",2010-01-12 21:01:17,-51241.7
"79",2010-01-12 21:01:18,-51145.3
"80",2010-01-12 21:01:19,-50315.6
"81",2010-01-12 21:01:20,-50549.15
"82",2010-01-12 21:01:21,-51431.4
"83",2010-01-12 21:01:22,-51172.55
"84",2010-01-12 21:01:23,-50363.25
"85",2010-01-12 21:01:24,-50429.45
"86",2010-01-12 21:01:25,-51104.3
"87",2010-01-12 21:01:26,-51122.6
"88",2010-01-12 21:01:27,-50670.5
"89",2010-01-12 21:01:28,-50238.35
"90",2010-01-12 21:01:29,-51415.8
"91",2010-01-12 21:01:30,-50984.1
"92",2010-01-12 21:01:31,-50703.95
"93",2010-01-12 21:01:32,-50775.15
"94",2010-01-12 21:01:33,-50709.2
"95",2010-01-12 21:01:34,-50807.95
"96",2010-01-12 21:01:35,-50860.95
"97",2010-01-12 21:01:36,-51043.4
"98",2010-01-12 21:01:37,-50925.35
"99",2010-01-12 21:01:38,-50742.25
"100",2010-01-12 21:01:39,-50474.4
"101",2010-01-12 21:01:40,-50765.85
"102",2010-01-12 21:01:41,-50916.75
"103",2010-01-12 21:01:42,-51128.55
"104",2010-01-12 21:01:43,-50937.6
"105",2010-01-12 21:01:44,-50512.2
"106",2010-01-12 21:01:45,-50831.1
"107",2010-01-12 21:01:46,-50909.5
