"","DateTime","PR.CRPR..BHZ.M"
"153",2010-01-12 21:02:32,3069.2
"154",2010-01-12 21:02:33,2749.55
"155",2010-01-12 21:02:34,2732.7
"156",2010-01-12 21:02:35,3073.55
"157",2010-01-12 21:02:36,3081.1
"158",2010-01-12 21:02:37,2731.7
"159",2010-01-12 21:02:38,2667.1
"160",2010-01-12 21:02:39,3292.8
"161",2010-01-12 21:02:40,3084.5
"162",2010-01-12 21:02:41,2568.9
"163",2010-01-12 21:02:42,2817.35
"164",2010-01-12 21:02:43,3168.75
"165",2010-01-12 21:02:44,2761.6
"166",2010-01-12 21:02:45,3103.55
"167",2010-01-12 21:02:46,2797.35
"168",2010-01-12 21:02:47,2608.55
"169",2010-01-12 21:02:48,3336.6
"170",2010-01-12 21:02:49,2691.95
"171",2010-01-12 21:02:50,2895.25
"172",2010-01-12 21:02:51,2944.75
"173",2010-01-12 21:02:52,2817.6
"174",2010-01-12 21:02:53,2679.6
"175",2010-01-12 21:02:54,2682.05
"176",2010-01-12 21:02:55,2902.8
"177",2010-01-12 21:02:56,2993.35
"178",2010-01-12 21:02:57,2930.05
"179",2010-01-12 21:02:58,2623.15
"180",2010-01-12 21:02:59,2684.1
"181",2010-01-12 21:03:00,3201.65
"182",2010-01-12 21:03:01,3202.45
"183",2010-01-12 21:03:02,2628.35
"184",2010-01-12 21:03:03,2587.35
"185",2010-01-12 21:03:04,3010.15
"186",2010-01-12 21:03:05,3266.35
"187",2010-01-12 21:03:06,3097.4
"188",2010-01-12 21:03:07,2502.95
"189",2010-01-12 21:03:08,2697.45
"190",2010-01-12 21:03:09,3144.3
"191",2010-01-12 21:03:10,2970.25
"192",2010-01-12 21:03:11,2843.85
"193",2010-01-12 21:03:12,2557.95
"194",2010-01-12 21:03:13,2986.5
"195",2010-01-12 21:03:14,3126
"196",2010-01-12 21:03:15,2744.5
"197",2010-01-12 21:03:16,2561.2
"198",2010-01-12 21:03:17,3058.8
"199",2010-01-12 21:03:18,2742.2
"200",2010-01-12 21:03:19,2709.35
"201",2010-01-12 21:03:20,3539.75
"202",2010-01-12 21:03:21,2960.1
"203",2010-01-12 21:03:22,2122.6
"204",2010-01-12 21:03:23,3045.05
"205",2010-01-12 21:03:24,3214.2
"206",2010-01-12 21:03:25,2932.65
"207",2010-01-12 21:03:26,2735.5
"208",2010-01-12 21:03:27,2437.5
"209",2010-01-12 21:03:28,3269.25
"210",2010-01-12 21:03:29,3192.15
"211",2010-01-12 21:03:30,2742.95
"212",2010-01-12 21:03:31,2853.05
"213",2010-01-12 21:03:32,2669.6
"214",2010-01-12 21:03:33,3006.85
"215",2010-01-12 21:03:34,3110.45
"216",2010-01-12 21:03:35,2943.65
"217",2010-01-12 21:03:36,2584.75
"218",2010-01-12 21:03:37,3120
"219",2010-01-12 21:03:38,3211.5
"220",2010-01-12 21:03:39,2435.1
"221",2010-01-12 21:03:40,2699.4
"222",2010-01-12 21:03:41,3217.55
"223",2010-01-12 21:03:42,2966.9
"224",2010-01-12 21:03:43,2563.5
"225",2010-01-12 21:03:44,2999.55
"226",2010-01-12 21:03:45,2746.2
"227",2010-01-12 21:03:46,2783.85
"228",2010-01-12 21:03:47,3000.75
"229",2010-01-12 21:03:48,2714.7
"230",2010-01-12 21:03:49,2944.8
"231",2010-01-12 21:03:50,2865.45
"232",2010-01-12 21:03:51,2848.85
"233",2010-01-12 21:03:52,2873.8
"234",2010-01-12 21:03:53,2890.45
"235",2010-01-12 21:03:54,3081.75
"236",2010-01-12 21:03:55,2924.5
"237",2010-01-12 21:03:56,2775.25
"238",2010-01-12 21:03:57,2655.45
"239",2010-01-12 21:03:58,3032.35
"240",2010-01-12 21:03:59,3026.9
"241",2010-01-12 21:04:00,2683.3
"242",2010-01-12 21:04:01,2856.3
"243",2010-01-12 21:04:02,2716
"244",2010-01-12 21:04:03,3060.3
"245",2010-01-12 21:04:04,3146.85
"246",2010-01-12 21:04:05,2671.55
"247",2010-01-12 21:04:06,2573.3
"248",2010-01-12 21:04:07,3190.65
"249",2010-01-12 21:04:08,2875.35
"250",2010-01-12 21:04:09,2794
"251",2010-01-12 21:04:10,2933.45
"252",2010-01-12 21:04:11,2840.65
"253",2010-01-12 21:04:12,2832.65
"254",2010-01-12 21:04:13,3127.85
"255",2010-01-12 21:04:14,2774.85
"256",2010-01-12 21:04:15,2813.7
"257",2010-01-12 21:04:16,3133.6
"258",2010-01-12 21:04:17,2905.05
"259",2010-01-12 21:04:18,2804.4
"260",2010-01-12 21:04:19,3063.9
"261",2010-01-12 21:04:20,2561.55
"262",2010-01-12 21:04:21,2904.45
"263",2010-01-12 21:04:22,3598.8
"264",2010-01-12 21:04:23,2254.8
"265",2010-01-12 21:04:24,2739.15
"266",2010-01-12 21:04:25,3319.4
"267",2010-01-12 21:04:26,2880.5
"268",2010-01-12 21:04:27,2762.3
"269",2010-01-12 21:04:28,2988.45
"270",2010-01-12 21:04:29,2772.3
"271",2010-01-12 21:04:30,2873.85
"272",2010-01-12 21:04:31,3266.5
"273",2010-01-12 21:04:32,2855.65
"274",2010-01-12 21:04:33,2541.55
"275",2010-01-12 21:04:34,2976.15
"276",2010-01-12 21:04:35,2916.05
"277",2010-01-12 21:04:36,2936.35
"278",2010-01-12 21:04:37,2905.95
"279",2010-01-12 21:04:38,2659.05
"280",2010-01-12 21:04:39,3044
"281",2010-01-12 21:04:40,3112.05
"282",2010-01-12 21:04:41,2622.5
"283",2010-01-12 21:04:42,2787.15
"284",2010-01-12 21:04:43,3096.8
"285",2010-01-12 21:04:44,2923.15
"286",2010-01-12 21:04:45,3049.35
"287",2010-01-12 21:04:46,2562.9
"288",2010-01-12 21:04:47,2733.75
"289",2010-01-12 21:04:48,3118.4
"290",2010-01-12 21:04:49,2714.45
"291",2010-01-12 21:04:50,3073.5
"292",2010-01-12 21:04:51,2470.65
"293",2010-01-12 21:04:52,3021.4
"294",2010-01-12 21:04:53,3145.8
"295",2010-01-12 21:04:54,2722.35
"296",2010-01-12 21:04:55,2651.7
"297",2010-01-12 21:04:56,2788.25
"298",2010-01-12 21:04:57,3153.6
"299",2010-01-12 21:04:58,2908.05
"300",2010-01-12 21:04:59,2842.75
"301",2010-01-12 21:05:00,2641.85
"302",2010-01-12 21:05:01,3226.4
"303",2010-01-12 21:05:02,2956.6
"304",2010-01-12 21:05:03,2776.45
"305",2010-01-12 21:05:04,2596.2
"306",2010-01-12 21:05:05,3226.25
"307",2010-01-12 21:05:06,2925.95
"308",2010-01-12 21:05:07,3053.8
"309",2010-01-12 21:05:08,2942.6
"310",2010-01-12 21:05:09,2428.35
"311",2010-01-12 21:05:10,3362.1
"312",2010-01-12 21:05:11,3070.95
"313",2010-01-12 21:05:12,2794.25
"314",2010-01-12 21:05:13,2597.75
"315",2010-01-12 21:05:14,2940.25
"316",2010-01-12 21:05:15,3177.65
"317",2010-01-12 21:05:16,3165.85
"318",2010-01-12 21:05:17,2672.55
"319",2010-01-12 21:05:18,2598.75
"320",2010-01-12 21:05:19,3314.85
"321",2010-01-12 21:05:20,3003.55
"322",2010-01-12 21:05:21,2621.4
"323",2010-01-12 21:05:22,2919.65
"324",2010-01-12 21:05:23,2905.75
"325",2010-01-12 21:05:24,3113.4
"326",2010-01-12 21:05:25,2628.55
"327",2010-01-12 21:05:26,2576.9
"328",2010-01-12 21:05:27,3307.8
"329",2010-01-12 21:05:28,2889.15
"330",2010-01-12 21:05:29,2599.25
"331",2010-01-12 21:05:30,2744.15
"332",2010-01-12 21:05:31,2956.55
"333",2010-01-12 21:05:32,3048.05
"334",2010-01-12 21:05:33,2903.8
