"","DateTime","CU.BBGH..BHZ.M"
"149",2010-01-12 21:02:28,5400.375
"150",2010-01-12 21:02:29,912.425
"151",2010-01-12 21:02:30,-7966.35
"152",2010-01-12 21:02:31,356
"153",2010-01-12 21:02:32,5173.225
"154",2010-01-12 21:02:33,-667.55
"155",2010-01-12 21:02:34,-7170.675
"156",2010-01-12 21:02:35,3890.75
"157",2010-01-12 21:02:36,-647.4
"158",2010-01-12 21:02:37,2952.825
"159",2010-01-12 21:02:38,-7103.275
"160",2010-01-12 21:02:39,4643.875
"161",2010-01-12 21:02:40,-1788.325
"162",2010-01-12 21:02:41,2850
"163",2010-01-12 21:02:42,-5901.825
"164",2010-01-12 21:02:43,5582.525
"165",2010-01-12 21:02:44,-4246.5
"166",2010-01-12 21:02:45,-1074.9
"167",2010-01-12 21:02:46,-108.75
"168",2010-01-12 21:02:47,3173.85
"169",2010-01-12 21:02:48,-2841.475
"170",2010-01-12 21:02:49,916.275
"171",2010-01-12 21:02:50,-2012.025
"172",2010-01-12 21:02:51,-1023.1
"173",2010-01-12 21:02:52,3567.25
"174",2010-01-12 21:02:53,-4547.1
"175",2010-01-12 21:02:54,-790.1
"176",2010-01-12 21:02:55,5426.25
"177",2010-01-12 21:02:56,-4685.3
"178",2010-01-12 21:02:57,-95.95
"179",2010-01-12 21:02:58,798.45
"180",2010-01-12 21:02:59,-1979.275
"181",2010-01-12 21:03:00,2663.1
"182",2010-01-12 21:03:01,-4305.3
"183",2010-01-12 21:03:02,255.875
"184",2010-01-12 21:03:03,4040.55
"185",2010-01-12 21:03:04,-791.1
"186",2010-01-12 21:03:05,-6136.575
"187",2010-01-12 21:03:06,5115.8
"188",2010-01-12 21:03:07,-4690.625
"189",2010-01-12 21:03:08,4528.9
"190",2010-01-12 21:03:09,-7282.85
"191",2010-01-12 21:03:10,6595.325
"192",2010-01-12 21:03:11,-2982.75
"193",2010-01-12 21:03:12,924.35
"194",2010-01-12 21:03:13,-656.1
"195",2010-01-12 21:03:14,-900
"196",2010-01-12 21:03:15,-1089.1
"197",2010-01-12 21:03:16,323.475
"198",2010-01-12 21:03:17,915.6
"199",2010-01-12 21:03:18,-2157.875
"200",2010-01-12 21:03:19,528.65
"201",2010-01-12 21:03:20,2372.7
"202",2010-01-12 21:03:21,-3451.375
"203",2010-01-12 21:03:22,-1346.225
"204",2010-01-12 21:03:23,-194.625
"205",2010-01-12 21:03:24,3810.675
"206",2010-01-12 21:03:25,-3621.75
"207",2010-01-12 21:03:26,-1694.675
"208",2010-01-12 21:03:27,3164.125
"209",2010-01-12 21:03:28,-3457.025
"210",2010-01-12 21:03:29,3091.175
"211",2010-01-12 21:03:30,-263.15
"212",2010-01-12 21:03:31,-5154.675
"213",2010-01-12 21:03:32,380.1
"214",2010-01-12 21:03:33,2973.875
"215",2010-01-12 21:03:34,1732.2
"216",2010-01-12 21:03:35,-6754.2
"217",2010-01-12 21:03:36,3169.4
"218",2010-01-12 21:03:37,974.9
"219",2010-01-12 21:03:38,-1721.75
"220",2010-01-12 21:03:39,-2290.925
"221",2010-01-12 21:03:40,3463.875
"222",2010-01-12 21:03:41,-2708.075
"223",2010-01-12 21:03:42,-2592.75
"224",2010-01-12 21:03:43,2233.2
"225",2010-01-12 21:03:44,2564.15
"226",2010-01-12 21:03:45,-2869.45
"227",2010-01-12 21:03:46,-4454.675
"228",2010-01-12 21:03:47,5113.275
"229",2010-01-12 21:03:48,-3580.025
"230",2010-01-12 21:03:49,2864.35
"231",2010-01-12 21:03:50,513.05
"232",2010-01-12 21:03:51,-6918.35
"233",2010-01-12 21:03:52,2681.9
"234",2010-01-12 21:03:53,2442
"235",2010-01-12 21:03:54,961.075
"236",2010-01-12 21:03:55,-4643.25
"237",2010-01-12 21:03:56,-2866.925
"238",2010-01-12 21:03:57,5734.65
"239",2010-01-12 21:03:58,-537.125
"240",2010-01-12 21:03:59,-5551.625
"241",2010-01-12 21:04:00,4328.85
"242",2010-01-12 21:04:01,190.2
"243",2010-01-12 21:04:02,-2985.325
"244",2010-01-12 21:04:03,-2157.7
"245",2010-01-12 21:04:04,2627.7
"246",2010-01-12 21:04:05,2598.75
"247",2010-01-12 21:04:06,-6472.7
"248",2010-01-12 21:04:07,2913.6
"249",2010-01-12 21:04:08,-322.375
"250",2010-01-12 21:04:09,1476.35
"251",2010-01-12 21:04:10,-3938.3
"252",2010-01-12 21:04:11,2561.9
"253",2010-01-12 21:04:12,-2710.8
"254",2010-01-12 21:04:13,2397.325
"255",2010-01-12 21:04:14,-4723.475
"256",2010-01-12 21:04:15,3260.05
"257",2010-01-12 21:04:16,2488.55
"258",2010-01-12 21:04:17,-6404.175
"259",2010-01-12 21:04:18,2014.125
"260",2010-01-12 21:04:19,585.625
"261",2010-01-12 21:04:20,703.075
"262",2010-01-12 21:04:21,-2517.225
"263",2010-01-12 21:04:22,-707.025
"264",2010-01-12 21:04:23,326.5
"265",2010-01-12 21:04:24,3283.225
"266",2010-01-12 21:04:25,-6213.3
"267",2010-01-12 21:04:26,6175.125
"268",2010-01-12 21:04:27,-5362.875
"269",2010-01-12 21:04:28,770.375
"270",2010-01-12 21:04:29,-143.125
"271",2010-01-12 21:04:30,-650.7
"272",2010-01-12 21:04:31,-1472.525
"273",2010-01-12 21:04:32,1332.925
"274",2010-01-12 21:04:33,1422.575
"275",2010-01-12 21:04:34,-1813.15
"276",2010-01-12 21:04:35,-1770.275
"277",2010-01-12 21:04:36,-413.225
"278",2010-01-12 21:04:37,1236.525
"279",2010-01-12 21:04:38,2273.975
"280",2010-01-12 21:04:39,-10837.675
"281",2010-01-12 21:04:40,9816.35
"282",2010-01-12 21:04:41,-878.825
"283",2010-01-12 21:04:42,-2217.875
"284",2010-01-12 21:04:43,-527.775
"285",2010-01-12 21:04:44,988.375
"286",2010-01-12 21:04:45,-5448.625
"287",2010-01-12 21:04:46,4830.225
"288",2010-01-12 21:04:47,-341.825
"289",2010-01-12 21:04:48,804.675
"290",2010-01-12 21:04:49,-7271.425
"291",2010-01-12 21:04:50,-262.225
"292",2010-01-12 21:04:51,9087.925
"293",2010-01-12 21:04:52,-3339.05
"294",2010-01-12 21:04:53,-3266.9
"295",2010-01-12 21:04:54,-3927.4
"296",2010-01-12 21:04:55,5262.625
"297",2010-01-12 21:04:56,587.225
"298",2010-01-12 21:04:57,1259.25
"299",2010-01-12 21:04:58,-8796.975
"300",2010-01-12 21:04:59,1645.025
"301",2010-01-12 21:05:00,6214.9
"302",2010-01-12 21:05:01,-1213.8
"303",2010-01-12 21:05:02,-4484.9
"304",2010-01-12 21:05:03,1334.525
"305",2010-01-12 21:05:04,-966.025
"306",2010-01-12 21:05:05,403.4
"307",2010-01-12 21:05:06,160.7
"308",2010-01-12 21:05:07,559.05
"309",2010-01-12 21:05:08,-4863.575
"310",2010-01-12 21:05:09,4885.65
"311",2010-01-12 21:05:10,481.85
"312",2010-01-12 21:05:11,-8087.925
"313",2010-01-12 21:05:12,4627.65
"314",2010-01-12 21:05:13,466.975
"315",2010-01-12 21:05:14,2753.1
"316",2010-01-12 21:05:15,-7676.9
"317",2010-01-12 21:05:16,2572.225
"318",2010-01-12 21:05:17,796.1
"319",2010-01-12 21:05:18,2290.95
"320",2010-01-12 21:05:19,-6101.175
"321",2010-01-12 21:05:20,1965.8
"322",2010-01-12 21:05:21,986.225
"323",2010-01-12 21:05:22,-1113.9
"324",2010-01-12 21:05:23,129.4
"325",2010-01-12 21:05:24,-1377.275
"326",2010-01-12 21:05:25,2365.775
"327",2010-01-12 21:05:26,-3116.65
"328",2010-01-12 21:05:27,-1309.675
"329",2010-01-12 21:05:28,2551.65
"330",2010-01-12 21:05:29,-249.85
"331",2010-01-12 21:05:30,-1510.525
