"","DateTime","IU.SDV.10.BHZ.M"
"1",2010-01-12 21:00:00,5861.2
"2",2010-01-12 21:00:01,5094.775
"3",2010-01-12 21:00:02,5169.625
"4",2010-01-12 21:00:03,6342.075
"5",2010-01-12 21:00:04,5497.1
"6",2010-01-12 21:00:05,4561.3
"7",2010-01-12 21:00:06,5560.1
"8",2010-01-12 21:00:07,5759.225
"9",2010-01-12 21:00:08,5418.25
"10",2010-01-12 21:00:09,5300.05
"11",2010-01-12 21:00:10,5269.6
"12",2010-01-12 21:00:11,6151.775
"13",2010-01-12 21:00:12,6369.625
"14",2010-01-12 21:00:13,4791.475
"15",2010-01-12 21:00:14,4066.2
"16",2010-01-12 21:00:15,5686.7
"17",2010-01-12 21:00:16,6631.68292682927
"18",2010-01-12 21:00:17,5184.6
"19",2010-01-12 21:00:18,5046.8
"20",2010-01-12 21:00:19,5861.65
"21",2010-01-12 21:00:20,6133.85
"22",2010-01-12 21:00:21,4963.3
"23",2010-01-12 21:00:22,4620.9
"24",2010-01-12 21:00:23,5131.925
"25",2010-01-12 21:00:24,6602.2
"26",2010-01-12 21:00:25,6064.7
"27",2010-01-12 21:00:26,5326.175
"28",2010-01-12 21:00:27,5919.775
"29",2010-01-12 21:00:28,4644.775
"30",2010-01-12 21:00:29,4178.525
"31",2010-01-12 21:00:30,4881.4
"32",2010-01-12 21:00:31,6244.8
"33",2010-01-12 21:00:32,6348.225
"34",2010-01-12 21:00:33,5817.7
"35",2010-01-12 21:00:34,5804.675
"36",2010-01-12 21:00:35,5175
"37",2010-01-12 21:00:36,4111.925
"38",2010-01-12 21:00:37,5004.55
"39",2010-01-12 21:00:38,6232.4
"40",2010-01-12 21:00:39,6073.925
"41",2010-01-12 21:00:40,5786.725
"42",2010-01-12 21:00:41,5572.1
"43",2010-01-12 21:00:42,5806.65
"44",2010-01-12 21:00:43,4134.175
"45",2010-01-12 21:00:44,3987.725
"46",2010-01-12 21:00:45,6680.325
"47",2010-01-12 21:00:46,6589.65
"48",2010-01-12 21:00:47,4930.7
"49",2010-01-12 21:00:48,4835.95
"50",2010-01-12 21:00:49,6315.6
"51",2010-01-12 21:00:50,5720.675
"52",2010-01-12 21:00:51,4163.325
"53",2010-01-12 21:00:52,4600.1
"54",2010-01-12 21:00:53,6057.3
"55",2010-01-12 21:00:54,5543.175
"56",2010-01-12 21:00:55,5484.775
"57",2010-01-12 21:00:56,5607.2
"58",2010-01-12 21:00:57,5271.125
"59",2010-01-12 21:00:58,4830.525
"60",2010-01-12 21:00:59,5132.95
"61",2010-01-12 21:01:00,6716.25
"62",2010-01-12 21:01:01,6689.725
"63",2010-01-12 21:01:02,4796.525
"64",2010-01-12 21:01:03,4038.575
"65",2010-01-12 21:01:04,4111.475
"66",2010-01-12 21:01:05,6010.925
"67",2010-01-12 21:01:06,6778.675
"68",2010-01-12 21:01:07,5138.3
"69",2010-01-12 21:01:08,4379.25
"70",2010-01-12 21:01:09,5964.05
"71",2010-01-12 21:01:10,5890.8
"72",2010-01-12 21:01:11,4621.9
"73",2010-01-12 21:01:12,5146.025
"74",2010-01-12 21:01:13,6062.85
"75",2010-01-12 21:01:14,5335.6
"76",2010-01-12 21:01:15,5619.4
"77",2010-01-12 21:01:16,5578
"78",2010-01-12 21:01:17,4980.875
"79",2010-01-12 21:01:18,4507.125
"80",2010-01-12 21:01:19,5970.75
"81",2010-01-12 21:01:20,7468.425
"82",2010-01-12 21:01:21,4846.925
"83",2010-01-12 21:01:22,3437.9
"84",2010-01-12 21:01:23,4300.3
"85",2010-01-12 21:01:24,6442.475
"86",2010-01-12 21:01:25,6527.375
"87",2010-01-12 21:01:26,5494.425
"88",2010-01-12 21:01:27,5163.1
"89",2010-01-12 21:01:28,5204.325
"90",2010-01-12 21:01:29,5303.675
"91",2010-01-12 21:01:30,5504.725
"92",2010-01-12 21:01:31,5558.275
"93",2010-01-12 21:01:32,5524.525
"94",2010-01-12 21:01:33,5165.625
"95",2010-01-12 21:01:34,6077.5
"96",2010-01-12 21:01:35,5189.05
"97",2010-01-12 21:01:36,5430
"98",2010-01-12 21:01:37,4848.5
"99",2010-01-12 21:01:38,4955
"100",2010-01-12 21:01:39,5741.75
"101",2010-01-12 21:01:40,5873.625
"102",2010-01-12 21:01:41,6245.525
"103",2010-01-12 21:01:42,5215.425
"104",2010-01-12 21:01:43,4121.05
"105",2010-01-12 21:01:44,5765.075
"106",2010-01-12 21:01:45,6348.375
"107",2010-01-12 21:01:46,6405.675
