"","DateTime","CU.GTBY..BHZ.M"
"151",2010-01-12 21:02:30,-1080
"152",2010-01-12 21:02:31,579.1
"153",2010-01-12 21:02:32,-149.7
"154",2010-01-12 21:02:33,-617.875
"155",2010-01-12 21:02:34,-1725.975
"156",2010-01-12 21:02:35,-140.575
"157",2010-01-12 21:02:36,-478.275
"158",2010-01-12 21:02:37,100.65
"159",2010-01-12 21:02:38,-299.325
"160",2010-01-12 21:02:39,-939.825
"161",2010-01-12 21:02:40,-425.325
"162",2010-01-12 21:02:41,-1105.9
"163",2010-01-12 21:02:42,-650.6
"164",2010-01-12 21:02:43,914.075
"165",2010-01-12 21:02:44,-418.025
"166",2010-01-12 21:02:45,-1862.075
"167",2010-01-12 21:02:46,257.975
"168",2010-01-12 21:02:47,-1412.725
"169",2010-01-12 21:02:48,490.925
"170",2010-01-12 21:02:49,-1166.575
"171",2010-01-12 21:02:50,-426.275
"172",2010-01-12 21:02:51,1519.7
"173",2010-01-12 21:02:52,-1478.8
"174",2010-01-12 21:02:53,-2962.125
"175",2010-01-12 21:02:54,364.9
"176",2010-01-12 21:02:55,809.175
"177",2010-01-12 21:02:56,-363.55
"178",2010-01-12 21:02:57,-405.175
"179",2010-01-12 21:02:58,-317.25
"180",2010-01-12 21:02:59,-1910.45
"181",2010-01-12 21:03:00,-810.825
"182",2010-01-12 21:03:01,240.25
"183",2010-01-12 21:03:02,526.925
"184",2010-01-12 21:03:03,-2100.6
"185",2010-01-12 21:03:04,-1162.75
"186",2010-01-12 21:03:05,2345.75
"187",2010-01-12 21:03:06,128.925
"188",2010-01-12 21:03:07,-4202.9
"189",2010-01-12 21:03:08,229.75
"190",2010-01-12 21:03:09,1057.275
"191",2010-01-12 21:03:10,-72.95
"192",2010-01-12 21:03:11,-2106.4
"193",2010-01-12 21:03:12,-960.725
"194",2010-01-12 21:03:13,851.9
"195",2010-01-12 21:03:14,-916.775
"196",2010-01-12 21:03:15,-232.575
"197",2010-01-12 21:03:16,902.825
"198",2010-01-12 21:03:17,-1729.675
"199",2010-01-12 21:03:18,-1967.65
"200",2010-01-12 21:03:19,-1166.45
"201",2010-01-12 21:03:20,1704.25
"202",2010-01-12 21:03:21,556.05
"203",2010-01-12 21:03:22,-1760.8
"204",2010-01-12 21:03:23,-1896.45
"205",2010-01-12 21:03:24,673.425
"206",2010-01-12 21:03:25,1042.65
"207",2010-01-12 21:03:26,-2437.025
"208",2010-01-12 21:03:27,-1540.325
"209",2010-01-12 21:03:28,1095.3
"210",2010-01-12 21:03:29,1817.1
"211",2010-01-12 21:03:30,-1843.45
"212",2010-01-12 21:03:31,-2995.575
"213",2010-01-12 21:03:32,-926.075
"214",2010-01-12 21:03:33,2274.175
"215",2010-01-12 21:03:34,202.925
"216",2010-01-12 21:03:35,-2366.025
"217",2010-01-12 21:03:36,-1388.3
"218",2010-01-12 21:03:37,1472.125
"219",2010-01-12 21:03:38,-697.025
"220",2010-01-12 21:03:39,-2110.525
"221",2010-01-12 21:03:40,656.075
"222",2010-01-12 21:03:41,914.325
"223",2010-01-12 21:03:42,-1512.95
"224",2010-01-12 21:03:43,-1135.4
"225",2010-01-12 21:03:44,-1198.3
"226",2010-01-12 21:03:45,471.2
"227",2010-01-12 21:03:46,1110.825
"228",2010-01-12 21:03:47,-1749.25
"229",2010-01-12 21:03:48,-2738.15
"230",2010-01-12 21:03:49,1079.125
"231",2010-01-12 21:03:50,1014.025
"232",2010-01-12 21:03:51,-1463.4
"233",2010-01-12 21:03:52,-1155.775
"234",2010-01-12 21:03:53,-165.75
"235",2010-01-12 21:03:54,-568.425
"236",2010-01-12 21:03:55,-357.95
"237",2010-01-12 21:03:56,309.3
"238",2010-01-12 21:03:57,-2142.9
"239",2010-01-12 21:03:58,-23.925
"240",2010-01-12 21:03:59,730.975
"241",2010-01-12 21:04:00,-692.2
"242",2010-01-12 21:04:01,-1291.1
"243",2010-01-12 21:04:02,71.95
"244",2010-01-12 21:04:03,-80.425
"245",2010-01-12 21:04:04,-1741.45
"246",2010-01-12 21:04:05,-1207.725
"247",2010-01-12 21:04:06,710.675
"248",2010-01-12 21:04:07,1170.675
"249",2010-01-12 21:04:08,-2303.425
"250",2010-01-12 21:04:09,-2805.25
"251",2010-01-12 21:04:10,1918.05
"252",2010-01-12 21:04:11,1315.775
"253",2010-01-12 21:04:12,-1532.575
"254",2010-01-12 21:04:13,-2686.475
