"","DateTime","CU.ANWB..BHZ.M"
"152",2010-01-12 21:25:10,981.635
"153",2010-01-12 21:25:20,1025.095
"154",2010-01-12 21:25:30,819.185
"155",2010-01-12 21:25:40,1107.64
"156",2010-01-12 21:25:50,855.045
"157",2010-01-12 21:26:00,982.5625
"158",2010-01-12 21:26:10,716.1075
"159",2010-01-12 21:26:20,1092.7125
"160",2010-01-12 21:26:30,1305.855
"161",2010-01-12 21:26:40,569.98
"162",2010-01-12 21:26:50,983.915
"163",2010-01-12 21:27:00,880.545
"164",2010-01-12 21:27:10,1023.175
"165",2010-01-12 21:27:20,1105.125
"166",2010-01-12 21:27:30,751.3225
"167",2010-01-12 21:27:40,901.5475
"168",2010-01-12 21:27:50,1007.6325
"169",2010-01-12 21:28:00,1007.31
"170",2010-01-12 21:28:10,1077.305
"171",2010-01-12 21:28:20,564.39
"172",2010-01-12 21:28:30,1278.315
"173",2010-01-12 21:28:40,694.3175
"174",2010-01-12 21:28:50,962.9375
"175",2010-01-12 21:29:00,1293.5925
"176",2010-01-12 21:29:10,365.105
"177",2010-01-12 21:29:20,1302.535
"178",2010-01-12 21:29:30,891.305
"179",2010-01-12 21:29:40,780.9625
"180",2010-01-12 21:29:50,971.985
"181",2010-01-12 21:30:00,968.1825
"182",2010-01-12 21:30:10,1052.8425
"183",2010-01-12 21:30:20,720.1025
"184",2010-01-12 21:30:30,1185.72
"185",2010-01-12 21:30:40,916.6525
"186",2010-01-12 21:30:50,665.6975
"187",2010-01-12 21:31:00,1172.3575
"188",2010-01-12 21:31:10,993.5925
"189",2010-01-12 21:31:20,617.5925
"190",2010-01-12 21:31:30,1052.355
"191",2010-01-12 21:31:40,1085.54
"192",2010-01-12 21:31:50,967.0825
"193",2010-01-12 21:32:00,956.3725
"194",2010-01-12 21:32:10,885.2
"195",2010-01-12 21:32:20,894.8925
"196",2010-01-12 21:32:30,816.41
"197",2010-01-12 21:32:40,1161.995
"198",2010-01-12 21:32:50,904.5825
"199",2010-01-12 21:33:00,869.0925
"200",2010-01-12 21:33:10,1094.825
"201",2010-01-12 21:33:20,738.53
"202",2010-01-12 21:33:30,1149.335
"203",2010-01-12 21:33:40,606.0975
"204",2010-01-12 21:33:50,974.25
"205",2010-01-12 21:34:00,941.34
"206",2010-01-12 21:34:10,1240.8525
"207",2010-01-12 21:34:20,808.605
"208",2010-01-12 21:34:30,688.3525
"209",2010-01-12 21:34:40,988.5125
"210",2010-01-12 21:34:50,1011.3875
"211",2010-01-12 21:35:00,1058.23
"212",2010-01-12 21:35:10,778.1175
"213",2010-01-12 21:35:20,916.6125
"214",2010-01-12 21:35:30,969.5
"215",2010-01-12 21:35:40,889.065
"216",2010-01-12 21:35:50,890.545
"217",2010-01-12 21:36:00,1017.415
"218",2010-01-12 21:36:10,840.095
"219",2010-01-12 21:36:20,758.7975
"220",2010-01-12 21:36:30,1298.0075
"221",2010-01-12 21:36:40,831.8675
"222",2010-01-12 21:36:50,946.5075
"223",2010-01-12 21:37:00,883.9375
"224",2010-01-12 21:37:10,926.74
"225",2010-01-12 21:37:20,953.695
"226",2010-01-12 21:37:30,698.8525
"227",2010-01-12 21:37:40,1208.5325
"228",2010-01-12 21:37:50,833.9025
"229",2010-01-12 21:38:00,820.2025
"230",2010-01-12 21:38:10,1109.8275
"231",2010-01-12 21:38:20,847.3525
"232",2010-01-12 21:38:30,900.755
"233",2010-01-12 21:38:40,965.4825
"234",2010-01-12 21:38:50,718.02
"235",2010-01-12 21:39:00,1016.51
"236",2010-01-12 21:39:10,1287.6575
"237",2010-01-12 21:39:20,502.6325
"238",2010-01-12 21:39:30,1039.53
"239",2010-01-12 21:39:40,1081.5
"240",2010-01-12 21:39:50,676.3025
"241",2010-01-12 21:40:00,973.5575
"242",2010-01-12 21:40:10,1063.92
"243",2010-01-12 21:40:20,990.5875
"244",2010-01-12 21:40:30,789.2
"245",2010-01-12 21:40:40,883.4775
"246",2010-01-12 21:40:50,681.8825
"247",2010-01-12 21:41:00,1347.395
"248",2010-01-12 21:41:10,857.9875
"249",2010-01-12 21:41:20,612.73
"250",2010-01-12 21:41:30,1155.1475
"251",2010-01-12 21:41:40,1026.4825
"252",2010-01-12 21:41:50,813.745
"253",2010-01-12 21:42:00,914.915
"254",2010-01-12 21:42:10,877.3825
"255",2010-01-12 21:42:20,797.0525
"256",2010-01-12 21:42:30,1041.61
"257",2010-01-12 21:42:40,1057.6225
"258",2010-01-12 21:42:50,742.16
"259",2010-01-12 21:43:00,937.7875
"260",2010-01-12 21:43:10,988.925
"261",2010-01-12 21:43:20,844.975
"262",2010-01-12 21:43:30,933.19
"263",2010-01-12 21:43:40,827.7675
"264",2010-01-12 21:43:50,953.3875
"265",2010-01-12 21:44:00,993.5675
"266",2010-01-12 21:44:10,872.2525
"267",2010-01-12 21:44:20,993.3725
"268",2010-01-12 21:44:30,952.165
"269",2010-01-12 21:44:40,928.4775
"270",2010-01-12 21:44:50,883.03
"271",2010-01-12 21:45:00,868.975
"272",2010-01-12 21:45:10,903.5625
"273",2010-01-12 21:45:20,1071.265
"274",2010-01-12 21:45:30,666.4475
"275",2010-01-12 21:45:40,1176.6125
"276",2010-01-12 21:45:50,796.2225
"277",2010-01-12 21:46:00,901.21
"278",2010-01-12 21:46:10,925.085
"279",2010-01-12 21:46:20,830.7625
"280",2010-01-12 21:46:30,1015.2125
"281",2010-01-12 21:46:40,999.575
"282",2010-01-12 21:46:50,757.0175
"283",2010-01-12 21:47:00,866.68
"284",2010-01-12 21:47:10,1070.23
"285",2010-01-12 21:47:20,1070.745
"286",2010-01-12 21:47:30,642.765
"287",2010-01-12 21:47:40,811.31
"288",2010-01-12 21:47:50,1190.5175
"289",2010-01-12 21:48:00,756.31
"290",2010-01-12 21:48:10,870.845
"291",2010-01-12 21:48:20,968.8875
"292",2010-01-12 21:48:30,1085.2275
"293",2010-01-12 21:48:40,707.79
"294",2010-01-12 21:48:50,1092.6825
"295",2010-01-12 21:49:00,1129.705
"296",2010-01-12 21:49:10,523.3625
"297",2010-01-12 21:49:20,982.785
"298",2010-01-12 21:49:30,872.56
"299",2010-01-12 21:49:40,1001.4825
"300",2010-01-12 21:49:50,888.9475
"301",2010-01-12 21:50:00,1031.075
"302",2010-01-12 21:50:10,684.605
"303",2010-01-12 21:50:20,1172.8875
"304",2010-01-12 21:50:30,830.065
"305",2010-01-12 21:50:40,742.7575
"306",2010-01-12 21:50:50,1057.6475
"307",2010-01-12 21:51:00,1112.325
"308",2010-01-12 21:51:10,687.635
"309",2010-01-12 21:51:20,850.6225
"310",2010-01-12 21:51:30,865.68
"311",2010-01-12 21:51:40,1099.235
"312",2010-01-12 21:51:50,801.755
"313",2010-01-12 21:52:00,914.915
"314",2010-01-12 21:52:10,976.5975
"315",2010-01-12 21:52:20,890.49
"316",2010-01-12 21:52:30,811.45
"317",2010-01-12 21:52:40,1055.715
"318",2010-01-12 21:52:50,770.32
"319",2010-01-12 21:53:00,1083.0975
"320",2010-01-12 21:53:10,773.02
"321",2010-01-12 21:53:20,887.085
"322",2010-01-12 21:53:30,1061.3225
"323",2010-01-12 21:53:40,847.1
"324",2010-01-12 21:53:50,897.555
"325",2010-01-12 21:54:00,828.1625
"326",2010-01-12 21:54:10,951.1725
"327",2010-01-12 21:54:20,1013.815
"328",2010-01-12 21:54:30,893.3925
"329",2010-01-12 21:54:40,688.41
"330",2010-01-12 21:54:50,1147.5
"331",2010-01-12 21:55:00,1136.84
"332",2010-01-12 21:55:10,660.425
"333",2010-01-12 21:55:20,767.12
"334",2010-01-12 21:55:30,37752.0525
"335",2010-01-12 21:55:40,14750.5125
"336",2010-01-12 21:55:50,-40554.295
"337",2010-01-12 21:56:00,-22262.4025
"338",2010-01-12 21:56:10,35769.165
"339",2010-01-12 21:56:20,-12520.4075
"340",2010-01-12 21:56:30,-15699.265
"341",2010-01-12 21:56:40,3548.945
"342",2010-01-12 21:56:50,19115.43
"343",2010-01-12 21:57:00,-2630.165
"344",2010-01-12 21:57:10,-5725.145
"345",2010-01-12 21:57:20,-14832.195
"346",2010-01-12 21:57:30,26584.8375
"347",2010-01-12 21:57:40,-17004.425
"348",2010-01-12 21:57:50,-8713.875
"349",2010-01-12 21:58:00,80261.7275
"350",2010-01-12 21:58:10,102643.725
"351",2010-01-12 21:58:20,-100885.445
"352",2010-01-12 21:58:30,-334683.6675
"353",2010-01-12 21:58:40,-63371.2825
"354",2010-01-12 21:58:50,697499.125
"355",2010-01-12 21:59:00,-435581.1475
"356",2010-01-12 21:59:10,-208292.1225
"357",2010-01-12 21:59:20,744132.3675
"358",2010-01-12 21:59:30,-920841.1975
"359",2010-01-12 21:59:40,926522.43
"360",2010-01-12 21:59:50,-947789.2875
"361",2010-01-12 22:00:00,888664.3025
"362",2010-01-12 22:00:10,-827826.215
"363",2010-01-12 22:00:20,878015.01
"364",2010-01-12 22:00:30,-761206.4725
"365",2010-01-12 22:00:40,403282.3575
"366",2010-01-12 22:00:50,-160710.53
"367",2010-01-12 22:01:00,68449.91
"368",2010-01-12 22:01:10,-17042.0175
"369",2010-01-12 22:01:20,90000.1225
"370",2010-01-12 22:01:30,-122954.61
"371",2010-01-12 22:01:40,73992.3775
"372",2010-01-12 22:01:50,-82855.7225
"373",2010-01-12 22:02:00,171842.2375
"374",2010-01-12 22:02:10,-210841.365
"375",2010-01-12 22:02:20,58152.4625
"376",2010-01-12 22:02:30,20537.3775
"377",2010-01-12 22:02:40,-60697.5075
"378",2010-01-12 22:02:50,95226.09
"379",2010-01-12 22:03:00,-99586.3625
"380",2010-01-12 22:03:10,122183.1125
"381",2010-01-12 22:03:20,-45573.97
"382",2010-01-12 22:03:30,-35815.5975
"383",2010-01-12 22:03:40,60834.605
"384",2010-01-12 22:03:50,85158.3225
"385",2010-01-12 22:04:00,-92363.0125
"386",2010-01-12 22:04:10,57036.605
"387",2010-01-12 22:04:20,-123313.21
"388",2010-01-12 22:04:30,110402.5075
"389",2010-01-12 22:04:40,-47521.51
"390",2010-01-12 22:04:50,-19255.835
"391",2010-01-12 22:05:00,26446.3325
"392",2010-01-12 22:05:10,-32642.115
"393",2010-01-12 22:05:20,-59441.355
"394",2010-01-12 22:05:30,24529.63
"395",2010-01-12 22:05:40,121369.3925
"396",2010-01-12 22:05:50,-12250.11
"397",2010-01-12 22:06:00,-77636.0875
"398",2010-01-12 22:06:10,-22144.755
"399",2010-01-12 22:06:20,8730.2
"400",2010-01-12 22:06:30,89153.555
"401",2010-01-12 22:06:40,-97001.4825
"402",2010-01-12 22:06:50,84644.645
"403",2010-01-12 22:07:00,-101152.0775
"404",2010-01-12 22:07:10,93611.24
"405",2010-01-12 22:07:20,-110146.85
"406",2010-01-12 22:07:30,115281.905
"407",2010-01-12 22:07:40,-45062.2225
