"","DateTime","CU.BCIP..BHZ.M"
"148",2010-01-12 21:24:30,1375.47
"149",2010-01-12 21:24:40,1616.3975
"150",2010-01-12 21:24:50,1273.39
"151",2010-01-12 21:25:00,1902.7275
"152",2010-01-12 21:25:10,1318.7975
"153",2010-01-12 21:25:20,1526.805
"154",2010-01-12 21:25:30,1547.095
"155",2010-01-12 21:25:40,1802.1225
"156",2010-01-12 21:25:50,1370.8175
"157",2010-01-12 21:26:00,1415.6275
"158",2010-01-12 21:26:10,1919.5025
"159",2010-01-12 21:26:20,1333.37
"160",2010-01-12 21:26:30,1480.8425
"161",2010-01-12 21:26:40,1296.3925
"162",2010-01-12 21:26:50,1730.4675
"163",2010-01-12 21:27:00,1425.52
"164",2010-01-12 21:27:10,1576.6575
"165",2010-01-12 21:27:20,1588.475
"166",2010-01-12 21:27:30,1148.665
"167",2010-01-12 21:27:40,1752.74
"168",2010-01-12 21:27:50,1448.6775
"169",2010-01-12 21:28:00,1521.5225
"170",2010-01-12 21:28:10,1433.925
"171",2010-01-12 21:28:20,1596.945
"172",2010-01-12 21:28:30,1587.1125
"173",2010-01-12 21:28:40,1890.9425
"174",2010-01-12 21:28:50,1293.82
"175",2010-01-12 21:29:00,1440.67
"176",2010-01-12 21:29:10,1549.91
"177",2010-01-12 21:29:20,1427.185
"178",2010-01-12 21:29:30,1356.915
"179",2010-01-12 21:29:40,1771.43
"180",2010-01-12 21:29:50,1184.03
"181",2010-01-12 21:30:00,1547.1225
"182",2010-01-12 21:30:10,1706.6475
"183",2010-01-12 21:30:20,1490.95
"184",2010-01-12 21:30:30,1875.2975
"185",2010-01-12 21:30:40,1523.8475
"186",2010-01-12 21:30:50,1504.4175
"187",2010-01-12 21:31:00,1319.1525
"188",2010-01-12 21:31:10,1696.4
"189",2010-01-12 21:31:20,1348.285
"190",2010-01-12 21:31:30,1544.0925
"191",2010-01-12 21:31:40,1586.0475
"192",2010-01-12 21:31:50,1180.5125
"193",2010-01-12 21:32:00,1870.0975
"194",2010-01-12 21:32:10,1477.3525
"195",2010-01-12 21:32:20,1476.4075
"196",2010-01-12 21:32:30,1602.2675
"197",2010-01-12 21:32:40,1466.265
"198",2010-01-12 21:32:50,1538.17
"199",2010-01-12 21:33:00,1397.045
"200",2010-01-12 21:33:10,1577.8125
"201",2010-01-12 21:33:20,1503.965
"202",2010-01-12 21:33:30,1527.73
"203",2010-01-12 21:33:40,1466.1475
"204",2010-01-12 21:33:50,1438.6175
"205",2010-01-12 21:34:00,1663.9075
"206",2010-01-12 21:34:10,1522.21
"207",2010-01-12 21:34:20,1516.9075
"208",2010-01-12 21:34:30,1465.8525
"209",2010-01-12 21:34:40,1697.625
"210",2010-01-12 21:34:50,1155.16
"211",2010-01-12 21:35:00,1816.275
"212",2010-01-12 21:35:10,1341.055
"213",2010-01-12 21:35:20,1627.3575
"214",2010-01-12 21:35:30,1533.3775
"215",2010-01-12 21:35:40,1435.8025
"216",2010-01-12 21:35:50,1694.8025
"217",2010-01-12 21:36:00,1153.09
"218",2010-01-12 21:36:10,1920.455
"219",2010-01-12 21:36:20,1403.2775
"220",2010-01-12 21:36:30,1657.385
"221",2010-01-12 21:36:40,1415.105
"222",2010-01-12 21:36:50,1337.745
"223",2010-01-12 21:37:00,1439.1775
"224",2010-01-12 21:37:10,1625.17
"225",2010-01-12 21:37:20,1559.5875
"226",2010-01-12 21:37:30,1363.6025
"227",2010-01-12 21:37:40,1748.0775
"228",2010-01-12 21:37:50,1453.0675
"229",2010-01-12 21:38:00,1284.2475
"230",2010-01-12 21:38:10,1684.9525
"231",2010-01-12 21:38:20,1321.3625
"232",2010-01-12 21:38:30,1622.04
"233",2010-01-12 21:38:40,1345.455
"234",2010-01-12 21:38:50,1637.61
"235",2010-01-12 21:39:00,1549.73
"236",2010-01-12 21:39:10,1279.58
"237",2010-01-12 21:39:20,1940.4075
"238",2010-01-12 21:39:30,1340.4375
"239",2010-01-12 21:39:40,1346.06
"240",2010-01-12 21:39:50,1451.07
"241",2010-01-12 21:40:00,1640.645
"242",2010-01-12 21:40:10,1518.375
"243",2010-01-12 21:40:20,1682.61
"244",2010-01-12 21:40:30,1341.015
"245",2010-01-12 21:40:40,1552.4075
"246",2010-01-12 21:40:50,1587.8225
"247",2010-01-12 21:41:00,1376.555
"248",2010-01-12 21:41:10,1752.09
"249",2010-01-12 21:41:20,1384.56
"250",2010-01-12 21:41:30,1351.3275
"251",2010-01-12 21:41:40,1746.6775
"252",2010-01-12 21:41:50,1248.31
"253",2010-01-12 21:42:00,1521.1275
"254",2010-01-12 21:42:10,1584.09
"255",2010-01-12 21:42:20,1535.07
"256",2010-01-12 21:42:30,1620.005
"257",2010-01-12 21:42:40,1303.66
"258",2010-01-12 21:42:50,1448.475
"259",2010-01-12 21:43:00,1737.94
"260",2010-01-12 21:43:10,1125.52
"261",2010-01-12 21:43:20,1706.48
"262",2010-01-12 21:43:30,1392.3625
"263",2010-01-12 21:43:40,1555.075
"264",2010-01-12 21:43:50,1666.9025
"265",2010-01-12 21:44:00,1466.9725
"266",2010-01-12 21:44:10,1423.37
"267",2010-01-12 21:44:20,1479.805
"268",2010-01-12 21:44:30,1655.455
"269",2010-01-12 21:44:40,1403.1
"270",2010-01-12 21:44:50,1516.0575
"271",2010-01-12 21:45:00,1341.3325
"272",2010-01-12 21:45:10,1565.2775
"273",2010-01-12 21:45:20,1569.8325
"274",2010-01-12 21:45:30,1512.4875
"275",2010-01-12 21:45:40,1495.41
"276",2010-01-12 21:45:50,1482.44
"277",2010-01-12 21:46:00,1691.9375
"278",2010-01-12 21:46:10,1258.5925
"279",2010-01-12 21:46:20,1670.015
"280",2010-01-12 21:46:30,1380.12
"281",2010-01-12 21:46:40,1607.53
"282",2010-01-12 21:46:50,1475.3525
"283",2010-01-12 21:47:00,1439.9125
"284",2010-01-12 21:47:10,1496.1525
"285",2010-01-12 21:47:20,1695.91
"286",2010-01-12 21:47:30,1518.7675
"287",2010-01-12 21:47:40,1412.6775
"288",2010-01-12 21:47:50,1185.485
"289",2010-01-12 21:48:00,1837.36
"290",2010-01-12 21:48:10,1302.2725
"291",2010-01-12 21:48:20,1629.88
"292",2010-01-12 21:48:30,1326.75
"293",2010-01-12 21:48:40,1480.49
"294",2010-01-12 21:48:50,1642.96
"295",2010-01-12 21:49:00,1404.55
"296",2010-01-12 21:49:10,1591.3925
"297",2010-01-12 21:49:20,1322.58
"298",2010-01-12 21:49:30,1651.125
"299",2010-01-12 21:49:40,1338.9875
"300",2010-01-12 21:49:50,1502.4775
"301",2010-01-12 21:50:00,1634.5375
"302",2010-01-12 21:50:10,1378.2675
"303",2010-01-12 21:50:20,1634.31
"304",2010-01-12 21:50:30,1391.3075
"305",2010-01-12 21:50:40,1523.1475
"306",2010-01-12 21:50:50,1466.3275
"307",2010-01-12 21:51:00,1663.66
"308",2010-01-12 21:51:10,1594.615
"309",2010-01-12 21:51:20,1346.0575
"310",2010-01-12 21:51:30,1630.725
"311",2010-01-12 21:51:40,1579.7275
"312",2010-01-12 21:51:50,1358.9675
"313",2010-01-12 21:52:00,1333.3075
"314",2010-01-12 21:52:10,1460.7575
"315",2010-01-12 21:52:20,1703.375
"316",2010-01-12 21:52:30,1363.1625
"317",2010-01-12 21:52:40,1284.555
"318",2010-01-12 21:52:50,1592.9125
"319",2010-01-12 21:53:00,1423.55
"320",2010-01-12 21:53:10,1592.74
"321",2010-01-12 21:53:20,1572.2025
"322",2010-01-12 21:53:30,1560.82
"323",2010-01-12 21:53:40,1263.585
"324",2010-01-12 21:53:50,1631.9825
"325",2010-01-12 21:54:00,1203.615
"326",2010-01-12 21:54:10,1295.32
"327",2010-01-12 21:54:20,1839.5125
"328",2010-01-12 21:54:30,1595.8775
"329",2010-01-12 21:54:40,1414.1575
"330",2010-01-12 21:54:50,1628.555
"331",2010-01-12 21:55:00,1280.9125
"332",2010-01-12 21:55:10,1411.76
"333",2010-01-12 21:55:20,1754.82
"334",2010-01-12 21:55:30,1501.2725
"335",2010-01-12 21:55:40,1270.7275
"336",2010-01-12 21:55:50,-34854.0175
"337",2010-01-12 21:56:00,-16322.13
"338",2010-01-12 21:56:10,165960.0075
"339",2010-01-12 21:56:20,-95715.2375
"340",2010-01-12 21:56:30,-78923.8125
"341",2010-01-12 21:56:40,107098.9875
"342",2010-01-12 21:56:50,-18623.195
"343",2010-01-12 21:57:00,-67109.6
"344",2010-01-12 21:57:10,83357.8075
"345",2010-01-12 21:57:20,-53735.3675
"346",2010-01-12 21:57:30,62024.75
"347",2010-01-12 21:57:40,-87058.395
"348",2010-01-12 21:57:50,115246.635
"349",2010-01-12 21:58:00,-125735.7875
"350",2010-01-12 21:58:10,107199.765
"351",2010-01-12 21:58:20,53881.6675
"352",2010-01-12 21:58:30,42236.54
"353",2010-01-12 21:58:40,-486937.1875
"354",2010-01-12 21:58:50,8803.17
"355",2010-01-12 21:59:00,698246.94
"356",2010-01-12 21:59:10,-305279.8825
"357",2010-01-12 21:59:20,58739.59
"358",2010-01-12 21:59:30,9555.88
"359",2010-01-12 21:59:40,-188625.945
"360",2010-01-12 21:59:50,171248.815
"361",2010-01-12 22:00:00,-180363.315
"362",2010-01-12 22:00:10,41032.62
"363",2010-01-12 22:00:20,201453.79
"364",2010-01-12 22:00:30,-384191.0325
"365",2010-01-12 22:00:40,384315.465
"366",2010-01-12 22:00:50,-162736.8675
"367",2010-01-12 22:01:00,-92419.23
"368",2010-01-12 22:01:10,199183.4725
"369",2010-01-12 22:01:20,-106328.385
"370",2010-01-12 22:01:30,-17270.39
"371",2010-01-12 22:01:40,169956.265
"372",2010-01-12 22:01:50,-223553.6125
"373",2010-01-12 22:02:00,174751.645
"374",2010-01-12 22:02:10,-21423.3675
"375",2010-01-12 22:02:20,-180616.7725
"376",2010-01-12 22:02:30,149387.19
"377",2010-01-12 22:02:40,37546.3175
"378",2010-01-12 22:02:50,-74181.365
"379",2010-01-12 22:03:00,-23159.865
"380",2010-01-12 22:03:10,95163.685
"381",2010-01-12 22:03:20,-16565.18
"382",2010-01-12 22:03:30,-140611.9425
"383",2010-01-12 22:03:40,27108.86
"384",2010-01-12 22:03:50,-28721.6925
"385",2010-01-12 22:04:00,301010.2875
"386",2010-01-12 22:04:10,-298872.285
"387",2010-01-12 22:04:20,50457.815
"388",2010-01-12 22:04:30,99148.93
"389",2010-01-12 22:04:40,104566.5925
"390",2010-01-12 22:04:50,-169530.155
"391",2010-01-12 22:05:00,33708.0675
"392",2010-01-12 22:05:10,-8659.255
"393",2010-01-12 22:05:20,-79982.4025
"394",2010-01-12 22:05:30,40531.01
"395",2010-01-12 22:05:40,84900.12
"396",2010-01-12 22:05:50,-78535.175
"397",2010-01-12 22:06:00,120207.1075
"398",2010-01-12 22:06:10,-186633.9575
"399",2010-01-12 22:06:20,107588.145
"400",2010-01-12 22:06:30,3528.5225
"401",2010-01-12 22:06:40,-19996.655
"402",2010-01-12 22:06:50,36476.31
"403",2010-01-12 22:07:00,103635.985
"404",2010-01-12 22:07:10,-29020.4975
"405",2010-01-12 22:07:20,-139990.0575
"406",2010-01-12 22:07:30,95766.505
"407",2010-01-12 22:07:40,-95764.78
"408",2010-01-12 22:07:50,45226.5375
"409",2010-01-12 22:08:00,-14291.9925
"410",2010-01-12 22:08:10,87163.585
"411",2010-01-12 22:08:20,-62415.6875
"412",2010-01-12 22:08:30,87930.015
"413",2010-01-12 22:08:40,-38104.04
"414",2010-01-12 22:08:50,-11717.0875
"415",2010-01-12 22:09:00,-36683.295
"416",2010-01-12 22:09:10,43880.6775
"417",2010-01-12 22:09:20,17145.2025
"418",2010-01-12 22:09:30,-39233.5025
"419",2010-01-12 22:09:40,7555.49
"420",2010-01-12 22:09:50,-320.7725
"421",2010-01-12 22:10:00,3068.82
"422",2010-01-12 22:10:10,-50293.945
"423",2010-01-12 22:10:20,87936.61
"424",2010-01-12 22:10:30,-57844.9275
"425",2010-01-12 22:10:40,28174.5925
"426",2010-01-12 22:10:50,-1935.7425
"427",2010-01-12 22:11:00,47609.3925
"428",2010-01-12 22:11:10,-56719.31
"429",2010-01-12 22:11:20,49986.325
"430",2010-01-12 22:11:30,-76163.6625
"431",2010-01-12 22:11:40,95660.41
"432",2010-01-12 22:11:50,-35695.6625
"433",2010-01-12 22:12:00,5750.82
"434",2010-01-12 22:12:10,26400.2275
"435",2010-01-12 22:12:20,-23756.125
"436",2010-01-12 22:12:30,-33436.1425
"437",2010-01-12 22:12:40,24697.4275
"438",2010-01-12 22:12:50,-31407.4525
"439",2010-01-12 22:13:00,35899.6775
"440",2010-01-12 22:13:10,25227.5125
