"","DateTime","IU.DWPF.00.BHZ.M"
"152",2010-01-12 21:02:31,116518.85
"153",2010-01-12 21:02:32,116519.05
"154",2010-01-12 21:02:33,116518.25
"155",2010-01-12 21:02:34,116518.1
"156",2010-01-12 21:02:35,116517.85
"157",2010-01-12 21:02:36,116517.8
"158",2010-01-12 21:02:37,116518.6
"159",2010-01-12 21:02:38,116518.75
"160",2010-01-12 21:02:39,116518.85
"161",2010-01-12 21:02:40,116518.25
"162",2010-01-12 21:02:41,116517.15
"163",2010-01-12 21:02:42,116519.2
"164",2010-01-12 21:02:43,116517.7
"165",2010-01-12 21:02:44,116519.9
"166",2010-01-12 21:02:45,116517.75
"167",2010-01-12 21:02:46,116517.7
"168",2010-01-12 21:02:47,116518
"169",2010-01-12 21:02:48,116520.3
"170",2010-01-12 21:02:49,116518.6
"171",2010-01-12 21:02:50,116517.25
"172",2010-01-12 21:02:51,116517.5
"173",2010-01-12 21:02:52,116517.75
"174",2010-01-12 21:02:53,116518.75
"175",2010-01-12 21:02:54,116518.9
"176",2010-01-12 21:02:55,116518.8
"177",2010-01-12 21:02:56,116518.45
"178",2010-01-12 21:02:57,116518.3
"179",2010-01-12 21:02:58,116518.15
"180",2010-01-12 21:02:59,116519.95
"181",2010-01-12 21:03:00,116518.45
"182",2010-01-12 21:03:01,116519
"183",2010-01-12 21:03:02,116518.35
"184",2010-01-12 21:03:03,116518.25
"185",2010-01-12 21:03:04,116517.5
"186",2010-01-12 21:03:05,116518.05
"187",2010-01-12 21:03:06,116518.2
"188",2010-01-12 21:03:07,116518.8
"189",2010-01-12 21:03:08,116519
"190",2010-01-12 21:03:09,116518.95
"191",2010-01-12 21:03:10,116518.55
"192",2010-01-12 21:03:11,116519.55
"193",2010-01-12 21:03:12,116519.85
"194",2010-01-12 21:03:13,116518.85
"195",2010-01-12 21:03:14,116518.75
"196",2010-01-12 21:03:15,116518.55
"197",2010-01-12 21:03:16,116518.3
"198",2010-01-12 21:03:17,116518.65
"199",2010-01-12 21:03:18,116518.95
"200",2010-01-12 21:03:19,116518.75
"201",2010-01-12 21:03:20,116518.35
"202",2010-01-12 21:03:21,116517.8
"203",2010-01-12 21:03:22,116518.1
"204",2010-01-12 21:03:23,116518.25
"205",2010-01-12 21:03:24,116518.3
"206",2010-01-12 21:03:25,116518.7
"207",2010-01-12 21:03:26,116518.9
"208",2010-01-12 21:03:27,116518.65
"209",2010-01-12 21:03:28,116520.15
"210",2010-01-12 21:03:29,116519.85
"211",2010-01-12 21:03:30,116518.75
"212",2010-01-12 21:03:31,116520.25
"213",2010-01-12 21:03:32,116519.4
"214",2010-01-12 21:03:33,116518.2
"215",2010-01-12 21:03:34,116518.65
"216",2010-01-12 21:03:35,116519.2
"217",2010-01-12 21:03:36,116519.1
"218",2010-01-12 21:03:37,116518.3
"219",2010-01-12 21:03:38,116518.9
"220",2010-01-12 21:03:39,116518.75
"221",2010-01-12 21:03:40,116518.4
"222",2010-01-12 21:03:41,116518.6
"223",2010-01-12 21:03:42,116518.45
"224",2010-01-12 21:03:43,116518.4
"225",2010-01-12 21:03:44,116518.5
"226",2010-01-12 21:03:45,116518.4
"227",2010-01-12 21:03:46,116519.3
"228",2010-01-12 21:03:47,116518.95
"229",2010-01-12 21:03:48,116519.1
"230",2010-01-12 21:03:49,116520.5
"231",2010-01-12 21:03:50,116519.4
"232",2010-01-12 21:03:51,116519
"233",2010-01-12 21:03:52,116518.5
"234",2010-01-12 21:03:53,116518.2
"235",2010-01-12 21:03:54,116518.05
"236",2010-01-12 21:03:55,116518.05
"237",2010-01-12 21:03:56,116517.75
"238",2010-01-12 21:03:57,116518.15
"239",2010-01-12 21:03:58,116518.2
"240",2010-01-12 21:03:59,116518.55
"241",2010-01-12 21:04:00,116518.9
"242",2010-01-12 21:04:01,116518.6
"243",2010-01-12 21:04:02,116518.75
"244",2010-01-12 21:04:03,116518.5
"245",2010-01-12 21:04:04,116518.55
"246",2010-01-12 21:04:05,116517.75
"247",2010-01-12 21:04:06,116518.1
"248",2010-01-12 21:04:07,116518.9
"249",2010-01-12 21:04:08,116518.6
"250",2010-01-12 21:04:09,116519
"251",2010-01-12 21:04:10,116520.75
"252",2010-01-12 21:04:11,116520.5
"253",2010-01-12 21:04:12,116519.15
"254",2010-01-12 21:04:13,116519.45
"255",2010-01-12 21:04:14,116519.3
"256",2010-01-12 21:04:15,116519.15
"257",2010-01-12 21:04:16,116518.45
"258",2010-01-12 21:04:17,116520.7
"259",2010-01-12 21:04:18,116519.45
"260",2010-01-12 21:04:19,116519
"261",2010-01-12 21:04:20,116518.6
"262",2010-01-12 21:04:21,116519.7
"263",2010-01-12 21:04:22,116519.2
"264",2010-01-12 21:04:23,116520.4
"265",2010-01-12 21:04:24,116519.3
"266",2010-01-12 21:04:25,116519.2
"267",2010-01-12 21:04:26,116519.85
"268",2010-01-12 21:04:27,116520.45
"269",2010-01-12 21:04:28,116520.6
"270",2010-01-12 21:04:29,116519.75
"271",2010-01-12 21:04:30,116519.45
"272",2010-01-12 21:04:31,116521.5
"273",2010-01-12 21:04:32,116519.4
"274",2010-01-12 21:04:33,116519.85
"275",2010-01-12 21:04:34,116520.9
"276",2010-01-12 21:04:35,116519.15
"277",2010-01-12 21:04:36,116521
"278",2010-01-12 21:04:37,116521.9
"279",2010-01-12 21:04:38,116521.25
"280",2010-01-12 21:04:39,116521.25
"281",2010-01-12 21:04:40,116520.1
"282",2010-01-12 21:04:41,116521.25
"283",2010-01-12 21:04:42,116520.05
"284",2010-01-12 21:04:43,116520.1
"285",2010-01-12 21:04:44,116519.35
"286",2010-01-12 21:04:45,116519.5
"287",2010-01-12 21:04:46,116520.25
"288",2010-01-12 21:04:47,116519.7
"289",2010-01-12 21:04:48,116519.75
"290",2010-01-12 21:04:49,116519.55
"291",2010-01-12 21:04:50,116518.55
"292",2010-01-12 21:04:51,116521.4
"293",2010-01-12 21:04:52,116519.9
"294",2010-01-12 21:04:53,116520.3
"295",2010-01-12 21:04:54,116519.75
"296",2010-01-12 21:04:55,116520
"297",2010-01-12 21:04:56,116520.4
"298",2010-01-12 21:04:57,116520.6
"299",2010-01-12 21:04:58,116520.85
"300",2010-01-12 21:04:59,116520.3
"301",2010-01-12 21:05:00,116520.1
"302",2010-01-12 21:05:01,116520.15
"303",2010-01-12 21:05:02,116520.3
"304",2010-01-12 21:05:03,116519.9
"305",2010-01-12 21:05:04,116519.8
"306",2010-01-12 21:05:05,116520.15
"307",2010-01-12 21:05:06,116519.5
"308",2010-01-12 21:05:07,116520.45
"309",2010-01-12 21:05:08,116521.05
"310",2010-01-12 21:05:09,116521.7
"311",2010-01-12 21:05:10,116521.4
"312",2010-01-12 21:05:11,116521.85
"313",2010-01-12 21:05:12,116520.8
"314",2010-01-12 21:05:13,116520.05
"315",2010-01-12 21:05:14,116520.15
"316",2010-01-12 21:05:15,116519.25
"317",2010-01-12 21:05:16,116519.45
"318",2010-01-12 21:05:17,116518.45
"319",2010-01-12 21:05:18,116518.35
"320",2010-01-12 21:05:19,116519.7
"321",2010-01-12 21:05:20,116519.25
"322",2010-01-12 21:05:21,116520.35
"323",2010-01-12 21:05:22,116520.15
"324",2010-01-12 21:05:23,116520.3
"325",2010-01-12 21:05:24,116521.65
"326",2010-01-12 21:05:25,116520.3
"327",2010-01-12 21:05:26,116519.65
"328",2010-01-12 21:05:27,116520
"329",2010-01-12 21:05:28,116521.5
"330",2010-01-12 21:05:29,116519.9
"331",2010-01-12 21:05:30,116520.3
"332",2010-01-12 21:05:31,116520.95
"333",2010-01-12 21:05:32,116519.75
"334",2010-01-12 21:05:33,116519.55
"335",2010-01-12 21:05:34,116520.4
"336",2010-01-12 21:05:35,116520.9
"337",2010-01-12 21:05:36,116520.25
"338",2010-01-12 21:05:37,116520.6
"339",2010-01-12 21:05:38,116519.75
"340",2010-01-12 21:05:39,116520.2
"341",2010-01-12 21:05:40,116520.45
"342",2010-01-12 21:05:41,116521.7
"343",2010-01-12 21:05:42,116520.65
"344",2010-01-12 21:05:43,116520.25
"345",2010-01-12 21:05:44,116519.8
"346",2010-01-12 21:05:45,116520.55
"347",2010-01-12 21:05:46,116520.85
"348",2010-01-12 21:05:47,116518.9
"349",2010-01-12 21:05:48,116519.25
"350",2010-01-12 21:05:49,116519.1
"351",2010-01-12 21:05:50,116519.55
"352",2010-01-12 21:05:51,116520.2
"353",2010-01-12 21:05:52,116520.4
"354",2010-01-12 21:05:53,116519.8
"355",2010-01-12 21:05:54,116520.05
"356",2010-01-12 21:05:55,116519.45
"357",2010-01-12 21:05:56,116519.2
"358",2010-01-12 21:05:57,116519.6
"359",2010-01-12 21:05:58,116522.25
"360",2010-01-12 21:05:59,116520.2
"361",2010-01-12 21:06:00,116520.45
"362",2010-01-12 21:06:01,116520.1
"363",2010-01-12 21:06:02,116519.35
"364",2010-01-12 21:06:03,116519.75
"365",2010-01-12 21:06:04,116520.35
"366",2010-01-12 21:06:05,116519.9
"367",2010-01-12 21:06:06,116520.8
"368",2010-01-12 21:06:07,116520.7
"369",2010-01-12 21:06:08,116520.55
"370",2010-01-12 21:06:09,116518.95
"371",2010-01-12 21:06:10,116520.55
"372",2010-01-12 21:06:11,116519.9
"373",2010-01-12 21:06:12,116519.8
"374",2010-01-12 21:06:13,116520.4
"375",2010-01-12 21:06:14,116519.4
"376",2010-01-12 21:06:15,116519.3
"377",2010-01-12 21:06:16,116519.3
"378",2010-01-12 21:06:17,116518.55
"379",2010-01-12 21:06:18,116520.4
"380",2010-01-12 21:06:19,116519.55
"381",2010-01-12 21:06:20,116519.35
"382",2010-01-12 21:06:21,116519.6
"383",2010-01-12 21:06:22,116519.65
"384",2010-01-12 21:06:23,116519.55
"385",2010-01-12 21:06:24,116520.5
"386",2010-01-12 21:06:25,116519.5
"387",2010-01-12 21:06:26,116521.45
"388",2010-01-12 21:06:27,116519.4
"389",2010-01-12 21:06:28,116520.3
"390",2010-01-12 21:06:29,116520.1
"391",2010-01-12 21:06:30,116520.5
"392",2010-01-12 21:06:31,116519.7
"393",2010-01-12 21:06:32,116519.2
"394",2010-01-12 21:06:33,116519.05
"395",2010-01-12 21:06:34,116520.05
"396",2010-01-12 21:06:35,116520.8
"397",2010-01-12 21:06:36,116519.6
"398",2010-01-12 21:06:37,116519.15
"399",2010-01-12 21:06:38,116520.75
"400",2010-01-12 21:06:39,116523.15
"401",2010-01-12 21:06:40,116521
"402",2010-01-12 21:06:41,116519.9
"403",2010-01-12 21:06:42,116521
"404",2010-01-12 21:06:43,116520.55
"405",2010-01-12 21:06:44,116519.7
"406",2010-01-12 21:06:45,116519.95
"407",2010-01-12 21:06:46,116519.2
"408",2010-01-12 21:06:47,116519.7
"409",2010-01-12 21:06:48,116519.65
"410",2010-01-12 21:06:49,116519.7
"411",2010-01-12 21:06:50,116519.4
"412",2010-01-12 21:06:51,116519.25
"413",2010-01-12 21:06:52,116519.2
"414",2010-01-12 21:06:53,116519.6
"415",2010-01-12 21:06:54,116519.75
"416",2010-01-12 21:06:55,116519.9
"417",2010-01-12 21:06:56,116519.6
"418",2010-01-12 21:06:57,116519.8
"419",2010-01-12 21:06:58,116519.9
"420",2010-01-12 21:06:59,116520.9
"421",2010-01-12 21:07:00,116520.4
"422",2010-01-12 21:07:01,116519.5
"423",2010-01-12 21:07:02,116520.45
"424",2010-01-12 21:07:03,116520.7
"425",2010-01-12 21:07:04,116520.9
"426",2010-01-12 21:07:05,116520.95
"427",2010-01-12 21:07:06,116523.4
"428",2010-01-12 21:07:07,116521.15
"429",2010-01-12 21:07:08,116519.45
"430",2010-01-12 21:07:09,116519.9
"431",2010-01-12 21:07:10,116519.45
"432",2010-01-12 21:07:11,116520.25
"433",2010-01-12 21:07:12,116519.7
"434",2010-01-12 21:07:13,116519.9
"435",2010-01-12 21:07:14,116519.1
"436",2010-01-12 21:07:15,116519.45
"437",2010-01-12 21:07:16,116520.55
"438",2010-01-12 21:07:17,116520.95
"439",2010-01-12 21:07:18,116521.1
"440",2010-01-12 21:07:19,116520
"441",2010-01-12 21:07:20,116520.7
"442",2010-01-12 21:07:21,116519.95
"443",2010-01-12 21:07:22,116519.95
"444",2010-01-12 21:07:23,116520.1
"445",2010-01-12 21:07:24,116520.55
"446",2010-01-12 21:07:25,116520.8
"447",2010-01-12 21:07:26,116520.6
"448",2010-01-12 21:07:27,116520.1
"449",2010-01-12 21:07:28,116523.15
"450",2010-01-12 21:07:29,116523.6
"451",2010-01-12 21:07:30,116521.2
"452",2010-01-12 21:07:31,116520.85
"453",2010-01-12 21:07:32,116521.55
"454",2010-01-12 21:07:33,116521.6
"455",2010-01-12 21:07:34,116520.7
"456",2010-01-12 21:07:35,116521.25
"457",2010-01-12 21:07:36,116522.65
"458",2010-01-12 21:07:37,116520.6
"459",2010-01-12 21:07:38,116520.85
"460",2010-01-12 21:07:39,116520.9
"461",2010-01-12 21:07:40,116520.55
"462",2010-01-12 21:07:41,116520.95
"463",2010-01-12 21:07:42,116521.75
"464",2010-01-12 21:07:43,116520.95
"465",2010-01-12 21:07:44,116520.1
"466",2010-01-12 21:07:45,116519.9
"467",2010-01-12 21:07:46,116520.35
"468",2010-01-12 21:07:47,116521.3
"469",2010-01-12 21:07:48,116521.35
"470",2010-01-12 21:07:49,116521.05
"471",2010-01-12 21:07:50,116519.95
"472",2010-01-12 21:07:51,116520.5
"473",2010-01-12 21:07:52,116520.75
"474",2010-01-12 21:07:53,116521.1
"475",2010-01-12 21:07:54,116520.05
"476",2010-01-12 21:07:55,116519.5
"477",2010-01-12 21:07:56,116519.55
"478",2010-01-12 21:07:57,116519.85
"479",2010-01-12 21:07:58,116520.6
"480",2010-01-12 21:07:59,116520.6
"481",2010-01-12 21:08:00,116519.2
"482",2010-01-12 21:08:01,116521.2
"483",2010-01-12 21:08:02,116521.2
"484",2010-01-12 21:08:03,116520.5
"485",2010-01-12 21:08:04,116520.7
"486",2010-01-12 21:08:05,116521.5
"487",2010-01-12 21:08:06,116520.75
"488",2010-01-12 21:08:07,116521.45
"489",2010-01-12 21:08:08,116521.85
"490",2010-01-12 21:08:09,116520.7
"491",2010-01-12 21:08:10,116521.4
"492",2010-01-12 21:08:11,116519.55
"493",2010-01-12 21:08:12,116520.45
"494",2010-01-12 21:08:13,116521.15
"495",2010-01-12 21:08:14,116520.85
"496",2010-01-12 21:08:15,116521.05
"497",2010-01-12 21:08:16,116520.7
"498",2010-01-12 21:08:17,116521.35
"499",2010-01-12 21:08:18,116520.95
"500",2010-01-12 21:08:19,116521.9
"501",2010-01-12 21:08:20,116522.85
"502",2010-01-12 21:08:21,116523.35
"503",2010-01-12 21:08:22,116521.65
"504",2010-01-12 21:08:23,116521.35
"505",2010-01-12 21:08:24,116520.75
"506",2010-01-12 21:08:25,116521.55
"507",2010-01-12 21:08:26,116520.95
"508",2010-01-12 21:08:27,116520.7
"509",2010-01-12 21:08:28,116521.7
"510",2010-01-12 21:08:29,116520.4
"511",2010-01-12 21:08:30,116519.5
"512",2010-01-12 21:08:31,116520.4
"513",2010-01-12 21:08:32,116520.35
"514",2010-01-12 21:08:33,116521
"515",2010-01-12 21:08:34,116520.85
"516",2010-01-12 21:08:35,116519.45
"517",2010-01-12 21:08:36,116519.9
"518",2010-01-12 21:08:37,116521.2
"519",2010-01-12 21:08:38,116521.1
"520",2010-01-12 21:08:39,116520.8
"521",2010-01-12 21:08:40,116520.85
"522",2010-01-12 21:08:41,116520.35
"523",2010-01-12 21:08:42,116520.45
"524",2010-01-12 21:08:43,116520.3
"525",2010-01-12 21:08:44,116521.05
"526",2010-01-12 21:08:45,116520.05
"527",2010-01-12 21:08:46,116520.85
"528",2010-01-12 21:08:47,116520.1
"529",2010-01-12 21:08:48,116520.9
"530",2010-01-12 21:08:49,116522.1
"531",2010-01-12 21:08:50,116520.95
"532",2010-01-12 21:08:51,116521.15
"533",2010-01-12 21:08:52,116521.3
"534",2010-01-12 21:08:53,116521.6
"535",2010-01-12 21:08:54,116521.5
"536",2010-01-12 21:08:55,116521.15
"537",2010-01-12 21:08:56,116521
"538",2010-01-12 21:08:57,116522.85
"539",2010-01-12 21:08:58,116520.8
"540",2010-01-12 21:08:59,116520.35
"541",2010-01-12 21:09:00,116520.05
"542",2010-01-12 21:09:01,116519.5
"543",2010-01-12 21:09:02,116520.2
"544",2010-01-12 21:09:03,116520.25
"545",2010-01-12 21:09:04,116519.45
"546",2010-01-12 21:09:05,116520.35
"547",2010-01-12 21:09:06,116521.45
"548",2010-01-12 21:09:07,116521.3
"549",2010-01-12 21:09:08,116521.25
"550",2010-01-12 21:09:09,116521.4
"551",2010-01-12 21:09:10,116522.35
"552",2010-01-12 21:09:11,116521.65
"553",2010-01-12 21:09:12,116522.15
"554",2010-01-12 21:09:13,116521.55
"555",2010-01-12 21:09:14,116521
"556",2010-01-12 21:09:15,116521.05
"557",2010-01-12 21:09:16,116521
"558",2010-01-12 21:09:17,116521.1
"559",2010-01-12 21:09:18,116520.9
"560",2010-01-12 21:09:19,116520.35
"561",2010-01-12 21:09:20,116520.7
"562",2010-01-12 21:09:21,116521.8
"563",2010-01-12 21:09:22,116520.25
"564",2010-01-12 21:09:23,116520.45
"565",2010-01-12 21:09:24,116520.5
"566",2010-01-12 21:09:25,116520.45
"567",2010-01-12 21:09:26,116520.8
"568",2010-01-12 21:09:27,116520.05
"569",2010-01-12 21:09:28,116519.7
"570",2010-01-12 21:09:29,116520.55
"571",2010-01-12 21:09:30,116520.55
"572",2010-01-12 21:09:31,116521.95
"573",2010-01-12 21:09:32,116521.55
"574",2010-01-12 21:09:33,116520.85
"575",2010-01-12 21:09:34,116521.45
"576",2010-01-12 21:09:35,116520.6
"577",2010-01-12 21:09:36,116520.6
"578",2010-01-12 21:09:37,116519.85
"579",2010-01-12 21:09:38,116519.85
"580",2010-01-12 21:09:39,116520
"581",2010-01-12 21:09:40,116519.55
"582",2010-01-12 21:09:41,116521.3
"583",2010-01-12 21:09:42,116521.8
"584",2010-01-12 21:09:43,116521.3
"585",2010-01-12 21:09:44,116519.8
"586",2010-01-12 21:09:45,116520.2
"587",2010-01-12 21:09:46,116521.25
"588",2010-01-12 21:09:47,116521.1
"589",2010-01-12 21:09:48,116520.45
"590",2010-01-12 21:09:49,116522.15
