"","DateTime","II.JTS.00.BHZ.M"
"1",2010-01-12 21:00:00,-249.8
"2",2010-01-12 21:00:01,887.4
"3",2010-01-12 21:00:02,1658.5
"4",2010-01-12 21:00:03,4014.95
"5",2010-01-12 21:00:04,5030.5
"6",2010-01-12 21:00:05,3103.45
"7",2010-01-12 21:00:06,791.95
"8",2010-01-12 21:00:07,-497.5
"9",2010-01-12 21:00:08,274.95
"10",2010-01-12 21:00:09,3331.45
"11",2010-01-12 21:00:10,4085.3
"12",2010-01-12 21:00:11,4846.75
"13",2010-01-12 21:00:12,3503.8
"14",2010-01-12 21:00:13,-2051.5
"15",2010-01-12 21:00:14,-587.25
"16",2010-01-12 21:00:15,3732.9
"17",2010-01-12 21:00:16,5109.45
"18",2010-01-12 21:00:17,3510.35
"19",2010-01-12 21:00:18,2969.35
"20",2010-01-12 21:00:19,-490.75
"21",2010-01-12 21:00:20,-1729.4
"22",2010-01-12 21:00:21,2331.25
"23",2010-01-12 21:00:22,6504.5
"24",2010-01-12 21:00:23,4781.45
"25",2010-01-12 21:00:24,2710.4
"26",2010-01-12 21:00:25,343.9
"27",2010-01-12 21:00:26,-2941.85
"28",2010-01-12 21:00:27,1451.3
"29",2010-01-12 21:00:28,6796.65
"30",2010-01-12 21:00:29,3879.3
"31",2010-01-12 21:00:30,2478.35
"32",2010-01-12 21:00:31,621
"33",2010-01-12 21:00:32,-1385.3
"34",2010-01-12 21:00:33,4169.55
"35",2010-01-12 21:00:34,2674.45
"36",2010-01-12 21:00:35,1950
"37",2010-01-12 21:00:36,3667.25
"38",2010-01-12 21:00:37,3659.5
"39",2010-01-12 21:00:38,603.2
"40",2010-01-12 21:00:39,10.05
"41",2010-01-12 21:00:40,2272.1
"42",2010-01-12 21:00:41,4547.85
"43",2010-01-12 21:00:42,4082.85
"44",2010-01-12 21:00:43,1259.05
"45",2010-01-12 21:00:44,1286.1
"46",2010-01-12 21:00:45,811.6
"47",2010-01-12 21:00:46,2256.6
"48",2010-01-12 21:00:47,3371.6
"49",2010-01-12 21:00:48,2461.25
"50",2010-01-12 21:00:49,2283.95
"51",2010-01-12 21:00:50,3556.65
"52",2010-01-12 21:00:51,1178.25
"53",2010-01-12 21:00:52,1586.65
"54",2010-01-12 21:00:53,1734.8
"55",2010-01-12 21:00:54,2080.7
"56",2010-01-12 21:00:55,1722.75
"57",2010-01-12 21:00:56,2066.05
"58",2010-01-12 21:00:57,4340.3
"59",2010-01-12 21:00:58,2933.5
"60",2010-01-12 21:00:59,1012.95
"61",2010-01-12 21:01:00,1218.45
"62",2010-01-12 21:01:01,1512.5
"63",2010-01-12 21:01:02,1569.7
