"","DateTime","G.HDC.00.BHZ.M"
"135",2010-01-12 21:02:14,448.55
"136",2010-01-12 21:02:15,1957.1
"137",2010-01-12 21:02:16,1451.4
"138",2010-01-12 21:02:17,1279.6
"139",2010-01-12 21:02:18,2142.7
"140",2010-01-12 21:02:19,1325
"141",2010-01-12 21:02:20,1711.75
"142",2010-01-12 21:02:21,2288.9
"143",2010-01-12 21:02:22,1888.8
"144",2010-01-12 21:02:23,1522.75
"145",2010-01-12 21:02:24,333.55
"146",2010-01-12 21:02:25,987.8
"147",2010-01-12 21:02:26,2246.8
"148",2010-01-12 21:02:27,2135.05
"149",2010-01-12 21:02:28,2139.9
"150",2010-01-12 21:02:29,861
"151",2010-01-12 21:02:30,1569.15
"152",2010-01-12 21:02:31,987.15
"153",2010-01-12 21:02:32,2385.4
"154",2010-01-12 21:02:33,1773.4
"155",2010-01-12 21:02:34,1200.6
"156",2010-01-12 21:02:35,2168.8
"157",2010-01-12 21:02:36,812
"158",2010-01-12 21:02:37,912.4
"159",2010-01-12 21:02:38,2577
"160",2010-01-12 21:02:39,2606.05
"161",2010-01-12 21:02:40,695.5
"162",2010-01-12 21:02:41,1805.75
"163",2010-01-12 21:02:42,3044.55
"164",2010-01-12 21:02:43,1.3
"165",2010-01-12 21:02:44,1039
"166",2010-01-12 21:02:45,1697.2
"167",2010-01-12 21:02:46,2315.55
"168",2010-01-12 21:02:47,2406.95
"169",2010-01-12 21:02:48,1824.3
"170",2010-01-12 21:02:49,249.75
"171",2010-01-12 21:02:50,31.1
"172",2010-01-12 21:02:51,2916.3
"173",2010-01-12 21:02:52,2341.05
"174",2010-01-12 21:02:53,2261.9
"175",2010-01-12 21:02:54,1710.05
"176",2010-01-12 21:02:55,822.1
"177",2010-01-12 21:02:56,-88.45
"178",2010-01-12 21:02:57,1874.6
"179",2010-01-12 21:02:58,3274.05
"180",2010-01-12 21:02:59,3302.95
"181",2010-01-12 21:03:00,2101.7
"182",2010-01-12 21:03:01,-345.85
"183",2010-01-12 21:03:02,-896.15
"184",2010-01-12 21:03:03,3212.95
"185",2010-01-12 21:03:04,1946.95
"186",2010-01-12 21:03:05,2364.8
"187",2010-01-12 21:03:06,3157.65
"188",2010-01-12 21:03:07,695.55
"189",2010-01-12 21:03:08,884.7
"190",2010-01-12 21:03:09,878
"191",2010-01-12 21:03:10,893.4
"192",2010-01-12 21:03:11,3100.8
"193",2010-01-12 21:03:12,2093.2
"194",2010-01-12 21:03:13,1103.3
"195",2010-01-12 21:03:14,2713.25
"196",2010-01-12 21:03:15,521.9
"197",2010-01-12 21:03:16,551.25
"198",2010-01-12 21:03:17,2550.4
"199",2010-01-12 21:03:18,1353.9
"200",2010-01-12 21:03:19,3136.45
"201",2010-01-12 21:03:20,2243.7
"202",2010-01-12 21:03:21,-513.1
"203",2010-01-12 21:03:22,18.15
"204",2010-01-12 21:03:23,2397.7
"205",2010-01-12 21:03:24,3031.25
"206",2010-01-12 21:03:25,2456
"207",2010-01-12 21:03:26,1584
"208",2010-01-12 21:03:27,1411.85
"209",2010-01-12 21:03:28,1435.85
"210",2010-01-12 21:03:29,599.9
"211",2010-01-12 21:03:30,685.75
"212",2010-01-12 21:03:31,1433.85
"213",2010-01-12 21:03:32,3778.4
"214",2010-01-12 21:03:33,1752.75
"215",2010-01-12 21:03:34,1350.45
"216",2010-01-12 21:03:35,1265.7
"217",2010-01-12 21:03:36,1550.85
"218",2010-01-12 21:03:37,-304.95
"219",2010-01-12 21:03:38,2784.05
"220",2010-01-12 21:03:39,2882
"221",2010-01-12 21:03:40,2373.6
"222",2010-01-12 21:03:41,1561.4
"223",2010-01-12 21:03:42,949.85
"224",2010-01-12 21:03:43,-164.15
"225",2010-01-12 21:03:44,1640.7
"226",2010-01-12 21:03:45,3471.65
"227",2010-01-12 21:03:46,2285.75
"228",2010-01-12 21:03:47,2087.9
"229",2010-01-12 21:03:48,1315.4
"230",2010-01-12 21:03:49,947.8
"231",2010-01-12 21:03:50,-642.75
"232",2010-01-12 21:03:51,1530.9
"233",2010-01-12 21:03:52,4137.55
"234",2010-01-12 21:03:53,2280.75
"235",2010-01-12 21:03:54,1102.25
"236",2010-01-12 21:03:55,2272.25
"237",2010-01-12 21:03:56,29.4
"238",2010-01-12 21:03:57,1394.5
"239",2010-01-12 21:03:58,1692.2
"240",2010-01-12 21:03:59,2128.75
"241",2010-01-12 21:04:00,1355.45
"242",2010-01-12 21:04:01,1644.95
"243",2010-01-12 21:04:02,2185.6
"244",2010-01-12 21:04:03,1284.25
"245",2010-01-12 21:04:04,-583.8
"246",2010-01-12 21:04:05,3682.7
"247",2010-01-12 21:04:06,1944.65
"248",2010-01-12 21:04:07,1214.6
"249",2010-01-12 21:04:08,912.25
"250",2010-01-12 21:04:09,2463.15
"251",2010-01-12 21:04:10,2287.25
"252",2010-01-12 21:04:11,630.6
"253",2010-01-12 21:04:12,1411.6
"254",2010-01-12 21:04:13,1807.4
