"","DateTime","CU.GTBY..BHZ.M"
"1",2010-01-12 21:00:00,-440.795
"2",2010-01-12 21:00:10,-614.3725
"3",2010-01-12 21:00:20,-424.615
"4",2010-01-12 21:00:30,-556.0175
"5",2010-01-12 21:00:40,-533.7975
"6",2010-01-12 21:00:50,-383.3925
"7",2010-01-12 21:01:00,-534.9
"8",2010-01-12 21:01:10,-427.8825
"9",2010-01-12 21:01:20,-685.55
"10",2010-01-12 21:01:30,-346.905
"11",2010-01-12 21:01:40,-554.2775
"12",2010-01-12 21:01:50,-372.2975
"13",2010-01-12 21:02:00,-416.9875
"14",2010-01-12 21:02:10,-729.94
"15",2010-01-12 21:02:20,-368.14
"16",2010-01-12 21:02:30,-475.18
"17",2010-01-12 21:02:40,-537.825
"18",2010-01-12 21:02:50,-516.985
"19",2010-01-12 21:03:00,-374.82
"20",2010-01-12 21:03:10,-739.8475
"21",2010-01-12 21:03:20,-74.5825
"22",2010-01-12 21:03:30,-837.775
"23",2010-01-12 21:03:40,-410.25
"24",2010-01-12 21:03:50,-382.3825
"25",2010-01-12 21:04:00,-816.8275
"26",2010-01-12 21:04:10,-251.0625
"27",2010-01-12 21:04:20,-486.495
"28",2010-01-12 21:04:30,-489.84
"29",2010-01-12 21:04:40,-426.9425
"30",2010-01-12 21:04:50,-692.22
"31",2010-01-12 21:05:00,-203.215
"32",2010-01-12 21:05:10,-627.185
"33",2010-01-12 21:05:20,-507.97
"34",2010-01-12 21:05:30,-609.1
"35",2010-01-12 21:05:40,-335.575
"36",2010-01-12 21:05:50,-597.3325
"37",2010-01-12 21:06:00,-493.3425
"38",2010-01-12 21:06:10,-482.84
"39",2010-01-12 21:06:20,-451.355
"40",2010-01-12 21:06:30,-444.93
"41",2010-01-12 21:06:40,-772.95
"42",2010-01-12 21:06:50,-82.4825
"43",2010-01-12 21:07:00,-722.8075
"44",2010-01-12 21:07:10,-547.09
"45",2010-01-12 21:07:20,-358.8675
"46",2010-01-12 21:07:30,-544.475
"47",2010-01-12 21:07:40,-597.025
"48",2010-01-12 21:07:50,-642.0575
"49",2010-01-12 21:08:00,-287.9825
