"","DateTime","IU.SDV.00.BHZ.M"
"127",2010-01-12 21:02:06,-295487.6
"128",2010-01-12 21:02:07,-295477.85
"129",2010-01-12 21:02:08,-295342.7
"130",2010-01-12 21:02:09,-295181.05
"131",2010-01-12 21:02:10,-295221.15
"132",2010-01-12 21:02:11,-295424.9
"133",2010-01-12 21:02:12,-295363.85
"134",2010-01-12 21:02:13,-295145.4
"135",2010-01-12 21:02:14,-295221
"136",2010-01-12 21:02:15,-295296.45
"137",2010-01-12 21:02:16,-295089.8
"138",2010-01-12 21:02:17,-295077.9
"139",2010-01-12 21:02:18,-295243.55
"140",2010-01-12 21:02:19,-295153.5
"141",2010-01-12 21:02:20,-294939.7
"142",2010-01-12 21:02:21,-294983.75
"143",2010-01-12 21:02:22,-295030.45
"144",2010-01-12 21:02:23,-294980.25
"145",2010-01-12 21:02:24,-294946.9
"146",2010-01-12 21:02:25,-294894.35
"147",2010-01-12 21:02:26,-294830.1
"148",2010-01-12 21:02:27,-294774.65
"149",2010-01-12 21:02:28,-294780.25
"150",2010-01-12 21:02:29,-294746.85
"151",2010-01-12 21:02:30,-294741.25
"152",2010-01-12 21:02:31,-294622.25
"153",2010-01-12 21:02:32,-294481.95
"154",2010-01-12 21:02:33,-294563.3
"155",2010-01-12 21:02:34,-294564.3
"156",2010-01-12 21:02:35,-294557.2
"157",2010-01-12 21:02:36,-294425.2
"158",2010-01-12 21:02:37,-294381.65
"159",2010-01-12 21:02:38,-294327.25
"160",2010-01-12 21:02:39,-294251.4
"161",2010-01-12 21:02:40,-294150.8
"162",2010-01-12 21:02:41,-294245.35
"163",2010-01-12 21:02:42,-294306.85
"164",2010-01-12 21:02:43,-294105.8
"165",2010-01-12 21:02:44,-294005.2
"166",2010-01-12 21:02:45,-294024.55
"167",2010-01-12 21:02:46,-293980.45
"168",2010-01-12 21:02:47,-293925.15
"169",2010-01-12 21:02:48,-293918.5
"170",2010-01-12 21:02:49,-293872.65
"171",2010-01-12 21:02:50,-293850.05
"172",2010-01-12 21:02:51,-293841.15
"173",2010-01-12 21:02:52,-293847.85
"174",2010-01-12 21:02:53,-293730.65
"175",2010-01-12 21:02:54,-293479.25
"176",2010-01-12 21:02:55,-293640
"177",2010-01-12 21:02:56,-293739
"178",2010-01-12 21:02:57,-293693.1
"179",2010-01-12 21:02:58,-293599.85
"180",2010-01-12 21:02:59,-293405.7
"181",2010-01-12 21:03:00,-293389.4
"182",2010-01-12 21:03:01,-293466.05
"183",2010-01-12 21:03:02,-293569.4
"184",2010-01-12 21:03:03,-293553.85
"185",2010-01-12 21:03:04,-293379.9
"186",2010-01-12 21:03:05,-293307
"187",2010-01-12 21:03:06,-293408.45
"188",2010-01-12 21:03:07,-293393.65
"189",2010-01-12 21:03:08,-293375.85
"190",2010-01-12 21:03:09,-293312.1
"191",2010-01-12 21:03:10,-293349.2
"192",2010-01-12 21:03:11,-293415.65
"193",2010-01-12 21:03:12,-293365.3
"194",2010-01-12 21:03:13,-293158.6
"195",2010-01-12 21:03:14,-293153.95
"196",2010-01-12 21:03:15,-293360
"197",2010-01-12 21:03:16,-293346.6
"198",2010-01-12 21:03:17,-293315.45
"199",2010-01-12 21:03:18,-293120.9
"200",2010-01-12 21:03:19,-293013.6
"201",2010-01-12 21:03:20,-293062.65
"202",2010-01-12 21:03:21,-293177.4
"203",2010-01-12 21:03:22,-293134
"204",2010-01-12 21:03:23,-292958.05
"205",2010-01-12 21:03:24,-292952.85
"206",2010-01-12 21:03:25,-292985.6
"207",2010-01-12 21:03:26,-292963.15
"208",2010-01-12 21:03:27,-292899.8
"209",2010-01-12 21:03:28,-292721.15
"210",2010-01-12 21:03:29,-292726.95
"211",2010-01-12 21:03:30,-292824.45
"212",2010-01-12 21:03:31,-292774.1
"213",2010-01-12 21:03:32,-292638.3
"214",2010-01-12 21:03:33,-292387.4
"215",2010-01-12 21:03:34,-292503.15
"216",2010-01-12 21:03:35,-292563.6
"217",2010-01-12 21:03:36,-292392.1
"218",2010-01-12 21:03:37,-292206.5
"219",2010-01-12 21:03:38,-292219.2
"220",2010-01-12 21:03:39,-292266.25
