"","DateTime","CU.GRTK..BHZ.M"
"133",2010-01-12 21:02:12,-2702.075
"134",2010-01-12 21:02:13,-1375.775
"135",2010-01-12 21:02:14,1326.025
"136",2010-01-12 21:02:15,1364.975
"137",2010-01-12 21:02:16,1411.425
"138",2010-01-12 21:02:17,-521.55
"139",2010-01-12 21:02:18,-2033.975
"140",2010-01-12 21:02:19,3377.075
"141",2010-01-12 21:02:20,-1033.75
"142",2010-01-12 21:02:21,-273.325
"143",2010-01-12 21:02:22,1488.375
"144",2010-01-12 21:02:23,-965.425
"145",2010-01-12 21:02:24,283.45
"146",2010-01-12 21:02:25,1867.5
"147",2010-01-12 21:02:26,-436.6
"148",2010-01-12 21:02:27,373.125
"149",2010-01-12 21:02:28,3690.375
"150",2010-01-12 21:02:29,-4193.425
"151",2010-01-12 21:02:30,-1444.25
"152",2010-01-12 21:02:31,1790.825
"153",2010-01-12 21:02:32,857.3
"154",2010-01-12 21:02:33,3779
"155",2010-01-12 21:02:34,-2861.675
"156",2010-01-12 21:02:35,-2043.3
"157",2010-01-12 21:02:36,2335.275
"158",2010-01-12 21:02:37,3405.1
"159",2010-01-12 21:02:38,-1297.975
"160",2010-01-12 21:02:39,-1716.55
"161",2010-01-12 21:02:40,-103.375
"162",2010-01-12 21:02:41,1080.325
"163",2010-01-12 21:02:42,1486.45
"164",2010-01-12 21:02:43,1057.6
"165",2010-01-12 21:02:44,18.45
"166",2010-01-12 21:02:45,-357.8
"167",2010-01-12 21:02:46,-2229.125
"168",2010-01-12 21:02:47,2445.475
"169",2010-01-12 21:02:48,1593.1
"170",2010-01-12 21:02:49,2024.575
"171",2010-01-12 21:02:50,-2484.625
"172",2010-01-12 21:02:51,341.6
"173",2010-01-12 21:02:52,214.3
"174",2010-01-12 21:02:53,-1003.25
"175",2010-01-12 21:02:54,2549.675
"176",2010-01-12 21:02:55,3738.65
"177",2010-01-12 21:02:56,-4306.3
"178",2010-01-12 21:02:57,-2494.7
"179",2010-01-12 21:02:58,4035.1
"180",2010-01-12 21:02:59,4034.1
"181",2010-01-12 21:03:00,81.55
"182",2010-01-12 21:03:01,-4082.25
"183",2010-01-12 21:03:02,265.85
"184",2010-01-12 21:03:03,984.725
"185",2010-01-12 21:03:04,3175.675
"186",2010-01-12 21:03:05,1020.375
"187",2010-01-12 21:03:06,-1857.1
"188",2010-01-12 21:03:07,620.45
"189",2010-01-12 21:03:08,-749.85
"190",2010-01-12 21:03:09,285.1
"191",2010-01-12 21:03:10,3750
"192",2010-01-12 21:03:11,-122.35
"193",2010-01-12 21:03:12,509.075
"194",2010-01-12 21:03:13,-3237.2
"195",2010-01-12 21:03:14,3853.425
"196",2010-01-12 21:03:15,3280.55
"197",2010-01-12 21:03:16,-3466.95
"198",2010-01-12 21:03:17,995.7
"199",2010-01-12 21:03:18,-177.675
"200",2010-01-12 21:03:19,4268.3
"201",2010-01-12 21:03:20,443.575
"202",2010-01-12 21:03:21,-3655.975
"203",2010-01-12 21:03:22,299.675
"204",2010-01-12 21:03:23,3721.925
"205",2010-01-12 21:03:24,2606.8
"206",2010-01-12 21:03:25,-748.4
"207",2010-01-12 21:03:26,-2953.475
"208",2010-01-12 21:03:27,2061.625
"209",2010-01-12 21:03:28,2145.825
"210",2010-01-12 21:03:29,1381.175
"211",2010-01-12 21:03:30,-722.5
"212",2010-01-12 21:03:31,-2531.625
"213",2010-01-12 21:03:32,2342.825
"214",2010-01-12 21:03:33,3618.375
"215",2010-01-12 21:03:34,718.7
"216",2010-01-12 21:03:35,-2235.125
"217",2010-01-12 21:03:36,-1200.85
"218",2010-01-12 21:03:37,2258.35
"219",2010-01-12 21:03:38,3362.025
"220",2010-01-12 21:03:39,-2279.8
