"","DateTime","G.FDF.00.BHZ.M"
"1",2010-01-12 21:00:00,143.7
"2",2010-01-12 21:00:01,-667.95
"3",2010-01-12 21:00:02,524.15
"4",2010-01-12 21:00:03,-344.75
"5",2010-01-12 21:00:04,-25.9
"6",2010-01-12 21:00:05,-179.25
"7",2010-01-12 21:00:06,-498.4
"8",2010-01-12 21:00:07,162.1
"9",2010-01-12 21:00:08,61.5
"10",2010-01-12 21:00:09,-995.05
"11",2010-01-12 21:00:10,-416.35
"12",2010-01-12 21:00:11,641.7
"13",2010-01-12 21:00:12,442.8
"14",2010-01-12 21:00:13,-793.25
"15",2010-01-12 21:00:14,-423.85
"16",2010-01-12 21:00:15,42.25
"17",2010-01-12 21:00:16,729.3
"18",2010-01-12 21:00:17,-695.45
"19",2010-01-12 21:00:18,-382.7
"20",2010-01-12 21:00:19,-57.25
"21",2010-01-12 21:00:20,300.05
"22",2010-01-12 21:00:21,600.7
"23",2010-01-12 21:00:22,-848.15
"24",2010-01-12 21:00:23,-992.55
"25",2010-01-12 21:00:24,163.4
"26",2010-01-12 21:00:25,550.6
"27",2010-01-12 21:00:26,75.65
"28",2010-01-12 21:00:27,-698.45
"29",2010-01-12 21:00:28,-539.45
"30",2010-01-12 21:00:29,-44.65
"31",2010-01-12 21:00:30,-1101.6
"32",2010-01-12 21:00:31,523.9
"33",2010-01-12 21:00:32,851.1
"34",2010-01-12 21:00:33,-926.4
"35",2010-01-12 21:00:34,-831.85
"36",2010-01-12 21:00:35,6.1
"37",2010-01-12 21:00:36,109.9
"38",2010-01-12 21:00:37,204.45
"39",2010-01-12 21:00:38,73.35
"40",2010-01-12 21:00:39,-1061.3
"41",2010-01-12 21:00:40,342.15
"42",2010-01-12 21:00:41,580.45
"43",2010-01-12 21:00:42,-1305.95
"44",2010-01-12 21:00:43,-734.9
"45",2010-01-12 21:00:44,627.7
"46",2010-01-12 21:00:45,170.85
"47",2010-01-12 21:00:46,271.65
"48",2010-01-12 21:00:47,-923.5
"49",2010-01-12 21:00:48,-503.3
"50",2010-01-12 21:00:49,-372.15
"51",2010-01-12 21:00:50,463.3
"52",2010-01-12 21:00:51,686.05
"53",2010-01-12 21:00:52,-1674.35
"54",2010-01-12 21:00:53,642.85
"55",2010-01-12 21:00:54,141.65
"56",2010-01-12 21:00:55,-138.75
"57",2010-01-12 21:00:56,-466.65
"58",2010-01-12 21:00:57,-587.35
"59",2010-01-12 21:00:58,646.15
"60",2010-01-12 21:00:59,-11.15
"61",2010-01-12 21:01:00,-1356.9
"62",2010-01-12 21:01:01,911.8
"63",2010-01-12 21:01:02,-515.2
"64",2010-01-12 21:01:03,-177.5
"65",2010-01-12 21:01:04,-507.15
"66",2010-01-12 21:01:05,1124.45
"67",2010-01-12 21:01:06,-422.3
"68",2010-01-12 21:01:07,-640.5
"69",2010-01-12 21:01:08,437.05
"70",2010-01-12 21:01:09,-857.5
"71",2010-01-12 21:01:10,213.9
"72",2010-01-12 21:01:11,561.15
"73",2010-01-12 21:01:12,-966.85
"74",2010-01-12 21:01:13,118.15
"75",2010-01-12 21:01:14,260.25
"76",2010-01-12 21:01:15,-288.15
"77",2010-01-12 21:01:16,74.7
"78",2010-01-12 21:01:17,-750.2
"79",2010-01-12 21:01:18,278.85
"80",2010-01-12 21:01:19,-448.1
"81",2010-01-12 21:01:20,18.25
"82",2010-01-12 21:01:21,23.15
"83",2010-01-12 21:01:22,-234.95
"84",2010-01-12 21:01:23,204.55
"85",2010-01-12 21:01:24,-208.15
"86",2010-01-12 21:01:25,72.5
"87",2010-01-12 21:01:26,-536.4
"88",2010-01-12 21:01:27,-89.5
"89",2010-01-12 21:01:28,-383
"90",2010-01-12 21:01:29,697.45
"91",2010-01-12 21:01:30,-577.15
"92",2010-01-12 21:01:31,-514.2
"93",2010-01-12 21:01:32,678
"94",2010-01-12 21:01:33,-433.6
"95",2010-01-12 21:01:34,-988.45
"96",2010-01-12 21:01:35,-44.55
"97",2010-01-12 21:01:36,461.25
"98",2010-01-12 21:01:37,-504.55
"99",2010-01-12 21:01:38,-523.65
"100",2010-01-12 21:01:39,180.9
"101",2010-01-12 21:01:40,412.8
"102",2010-01-12 21:01:41,-1210
"103",2010-01-12 21:01:42,-201.2
"104",2010-01-12 21:01:43,81.65
"105",2010-01-12 21:01:44,511.75
"106",2010-01-12 21:01:45,-240.45
"107",2010-01-12 21:01:46,-1276.75
"108",2010-01-12 21:01:47,-190.75
"109",2010-01-12 21:01:48,629.05
"110",2010-01-12 21:01:49,-515.35
"111",2010-01-12 21:01:50,-604.7
"112",2010-01-12 21:01:51,15.55
"113",2010-01-12 21:01:52,333.1
"114",2010-01-12 21:01:53,-371
"115",2010-01-12 21:01:54,-168.9
"116",2010-01-12 21:01:55,-694.05
"117",2010-01-12 21:01:56,662.75
"118",2010-01-12 21:01:57,-546.85
"119",2010-01-12 21:01:58,-508.05
"120",2010-01-12 21:01:59,136.9
"121",2010-01-12 21:02:00,298.45
"122",2010-01-12 21:02:01,-187.3
"123",2010-01-12 21:02:02,-974.1
"124",2010-01-12 21:02:03,773.75
"125",2010-01-12 21:02:04,-470.15
"126",2010-01-12 21:02:05,-391.35
"127",2010-01-12 21:02:06,-8.15
"128",2010-01-12 21:02:07,-482.45
"129",2010-01-12 21:02:08,110
"130",2010-01-12 21:02:09,29.15
"131",2010-01-12 21:02:10,-105.2
"132",2010-01-12 21:02:11,-369.35
"133",2010-01-12 21:02:12,223.65
"134",2010-01-12 21:02:13,-143
"135",2010-01-12 21:02:14,-1404.75
"136",2010-01-12 21:02:15,872.25
"137",2010-01-12 21:02:16,341.1
"138",2010-01-12 21:02:17,-884.2
"139",2010-01-12 21:02:18,686.1
"140",2010-01-12 21:02:19,-433.3
"141",2010-01-12 21:02:20,-9.5
"142",2010-01-12 21:02:21,-1736.75
"143",2010-01-12 21:02:22,1390.45
"144",2010-01-12 21:02:23,779.55
"145",2010-01-12 21:02:24,-1307.4
"146",2010-01-12 21:02:25,-602
"147",2010-01-12 21:02:26,-649.1
"148",2010-01-12 21:02:27,1251.6
"149",2010-01-12 21:02:28,622.5
"150",2010-01-12 21:02:29,-1140.85
"151",2010-01-12 21:02:30,-1162.7
"152",2010-01-12 21:02:31,714.8
"153",2010-01-12 21:02:32,659.2
"154",2010-01-12 21:02:33,-857.95
"155",2010-01-12 21:02:34,-949.2
"156",2010-01-12 21:02:35,544.7
"157",2010-01-12 21:02:36,477.95
"158",2010-01-12 21:02:37,-789.55
"159",2010-01-12 21:02:38,215.85
"160",2010-01-12 21:02:39,-1289.3
"161",2010-01-12 21:02:40,121.6
"162",2010-01-12 21:02:41,272.65
"163",2010-01-12 21:02:42,-177.55
"164",2010-01-12 21:02:43,205.4
"165",2010-01-12 21:02:44,-375.3
"166",2010-01-12 21:02:45,469
"167",2010-01-12 21:02:46,-1442
"168",2010-01-12 21:02:47,96.85
"169",2010-01-12 21:02:48,822.05
"170",2010-01-12 21:02:49,-1181.05
"171",2010-01-12 21:02:50,392.35
"172",2010-01-12 21:02:51,53.05
"173",2010-01-12 21:02:52,-271.85
"174",2010-01-12 21:02:53,528.75
"175",2010-01-12 21:02:54,-654
"176",2010-01-12 21:02:55,-1718.9
"177",2010-01-12 21:02:56,1168.15
"178",2010-01-12 21:02:57,1282.85
"179",2010-01-12 21:02:58,-1915.8
"180",2010-01-12 21:02:59,-658.8
"181",2010-01-12 21:03:00,312.55
"182",2010-01-12 21:03:01,50.8
"183",2010-01-12 21:03:02,554.2
"184",2010-01-12 21:03:03,-625.95
"185",2010-01-12 21:03:04,-1202.75
"186",2010-01-12 21:03:05,692.3
"187",2010-01-12 21:03:06,1270.1
"188",2010-01-12 21:03:07,-1851.15
"189",2010-01-12 21:03:08,-157.65
"190",2010-01-12 21:03:09,575.75
"191",2010-01-12 21:03:10,440.15
"192",2010-01-12 21:03:11,-663.55
"193",2010-01-12 21:03:12,-1014.05
"194",2010-01-12 21:03:13,866.65
"195",2010-01-12 21:03:14,-231.2
"196",2010-01-12 21:03:15,-184.55
"197",2010-01-12 21:03:16,-1499.2
"198",2010-01-12 21:03:17,514.4
"199",2010-01-12 21:03:18,593.2
"200",2010-01-12 21:03:19,108.5
"201",2010-01-12 21:03:20,-922.5
"202",2010-01-12 21:03:21,-359.1
"203",2010-01-12 21:03:22,676.4
"204",2010-01-12 21:03:23,307.35
"205",2010-01-12 21:03:24,-937.9
"206",2010-01-12 21:03:25,-316.5
"207",2010-01-12 21:03:26,278.85
"208",2010-01-12 21:03:27,207.75
"209",2010-01-12 21:03:28,-259.65
"210",2010-01-12 21:03:29,-824.4
"211",2010-01-12 21:03:30,-149.65
"212",2010-01-12 21:03:31,637.1
"213",2010-01-12 21:03:32,-670.75
"214",2010-01-12 21:03:33,-773.7
"215",2010-01-12 21:03:34,937.95
"216",2010-01-12 21:03:35,82.7
"217",2010-01-12 21:03:36,-1285.35
"218",2010-01-12 21:03:37,-13.4
"219",2010-01-12 21:03:38,130.05
"220",2010-01-12 21:03:39,-28.35
"221",2010-01-12 21:03:40,-557.2
"222",2010-01-12 21:03:41,374.65
"223",2010-01-12 21:03:42,-638.2
"224",2010-01-12 21:03:43,375.7
"225",2010-01-12 21:03:44,-690.55
"226",2010-01-12 21:03:45,-150.2
"227",2010-01-12 21:03:46,-17.2
"228",2010-01-12 21:03:47,405.25
"229",2010-01-12 21:03:48,-963
"230",2010-01-12 21:03:49,-148.15
"231",2010-01-12 21:03:50,-259.4
"232",2010-01-12 21:03:51,-78.25
"233",2010-01-12 21:03:52,219.7
"234",2010-01-12 21:03:53,-606.2
"235",2010-01-12 21:03:54,863.6
"236",2010-01-12 21:03:55,-1009.65
"237",2010-01-12 21:03:56,-182.4
"238",2010-01-12 21:03:57,-318.95
"239",2010-01-12 21:03:58,474.2
"240",2010-01-12 21:03:59,-1006.15
"241",2010-01-12 21:04:00,347.5
"242",2010-01-12 21:04:01,-120.2
"243",2010-01-12 21:04:02,336.75
"244",2010-01-12 21:04:03,-1269.25
"245",2010-01-12 21:04:04,-1
"246",2010-01-12 21:04:05,357.25
"247",2010-01-12 21:04:06,-458.35
"248",2010-01-12 21:04:07,-177.85
"249",2010-01-12 21:04:08,-233.85
"250",2010-01-12 21:04:09,-150.9
"251",2010-01-12 21:04:10,163.45
"252",2010-01-12 21:04:11,7.85
"253",2010-01-12 21:04:12,-691.35
"254",2010-01-12 21:04:13,-231.05
"255",2010-01-12 21:04:14,478.3
"256",2010-01-12 21:04:15,-397.1
"257",2010-01-12 21:04:16,-189.95
"258",2010-01-12 21:04:17,276.45
"259",2010-01-12 21:04:18,-485.9
"260",2010-01-12 21:04:19,-49.25
"261",2010-01-12 21:04:20,-493.95
"262",2010-01-12 21:04:21,398.55
"263",2010-01-12 21:04:22,80.35
"264",2010-01-12 21:04:23,-1206.55
"265",2010-01-12 21:04:24,193.4
"266",2010-01-12 21:04:25,365.6
"267",2010-01-12 21:04:26,-110.05
"268",2010-01-12 21:04:27,-76.7
"269",2010-01-12 21:04:28,-1113.25
"270",2010-01-12 21:04:29,560.55
"271",2010-01-12 21:04:30,-458.05
"272",2010-01-12 21:04:31,-288.4
"273",2010-01-12 21:04:32,740
"274",2010-01-12 21:04:33,-222.4
"275",2010-01-12 21:04:34,-651.15
"276",2010-01-12 21:04:35,-842.8
"277",2010-01-12 21:04:36,1018.75
"278",2010-01-12 21:04:37,-351.65
"279",2010-01-12 21:04:38,-949.1
"280",2010-01-12 21:04:39,570
"281",2010-01-12 21:04:40,100.7
"282",2010-01-12 21:04:41,-892.3
