"","DateTime","CU.MTDJ..BHZ.M"
"153",2010-01-12 21:02:32,3232.25
"154",2010-01-12 21:02:33,2865.15
"155",2010-01-12 21:02:34,921.125
"156",2010-01-12 21:02:35,1449.25
"157",2010-01-12 21:02:36,3437.375
"158",2010-01-12 21:02:37,2776.625
"159",2010-01-12 21:02:38,125.8
"160",2010-01-12 21:02:39,665.55
"161",2010-01-12 21:02:40,2993.125
"162",2010-01-12 21:02:41,4341.375
"163",2010-01-12 21:02:42,-2963.525
"164",2010-01-12 21:02:43,5779.2
"165",2010-01-12 21:02:44,3215.6
"166",2010-01-12 21:02:45,-2430.5
"167",2010-01-12 21:02:46,2009.675
"168",2010-01-12 21:02:47,4374.15
"169",2010-01-12 21:02:48,1826.275
"170",2010-01-12 21:02:49,151.55
"171",2010-01-12 21:02:50,4275.55
"172",2010-01-12 21:02:51,1319.075
"173",2010-01-12 21:02:52,625.55
"174",2010-01-12 21:02:53,-324.975
"175",2010-01-12 21:02:54,7082.9
"176",2010-01-12 21:02:55,-240.95
"177",2010-01-12 21:02:56,516.975
"178",2010-01-12 21:02:57,3855.925
"179",2010-01-12 21:02:58,-650.725
"180",2010-01-12 21:02:59,4997.05
"181",2010-01-12 21:03:00,2173.525
"182",2010-01-12 21:03:01,-3177.9
"183",2010-01-12 21:03:02,5465.9
"184",2010-01-12 21:03:03,4282.725
"185",2010-01-12 21:03:04,-1719.05
"186",2010-01-12 21:03:05,1088
"187",2010-01-12 21:03:06,3620.8
"188",2010-01-12 21:03:07,4843.975
"189",2010-01-12 21:03:08,-3400.125
"190",2010-01-12 21:03:09,4805.5
"191",2010-01-12 21:03:10,3877.1
"192",2010-01-12 21:03:11,-2842.55
"193",2010-01-12 21:03:12,2946.35
"194",2010-01-12 21:03:13,4606.9
"195",2010-01-12 21:03:14,1874.075
"196",2010-01-12 21:03:15,-897.55
"197",2010-01-12 21:03:16,2336.975
"198",2010-01-12 21:03:17,5016.975
"199",2010-01-12 21:03:18,-1059.225
"200",2010-01-12 21:03:19,936.075
"201",2010-01-12 21:03:20,3663.375
"202",2010-01-12 21:03:21,3452.05
"203",2010-01-12 21:03:22,1131.625
"204",2010-01-12 21:03:23,-2572.9
"205",2010-01-12 21:03:24,7761.325
"206",2010-01-12 21:03:25,-659.85
"207",2010-01-12 21:03:26,2652.925
"208",2010-01-12 21:03:27,1083.125
"209",2010-01-12 21:03:28,1496.825
"210",2010-01-12 21:03:29,3358.425
"211",2010-01-12 21:03:30,1432.55
"212",2010-01-12 21:03:31,1284.55
"213",2010-01-12 21:03:32,2202.1
"214",2010-01-12 21:03:33,867.35
"215",2010-01-12 21:03:34,4445.65
"216",2010-01-12 21:03:35,1826.225
"217",2010-01-12 21:03:36,-1196.775
"218",2010-01-12 21:03:37,2508.075
"219",2010-01-12 21:03:38,3100.625
"220",2010-01-12 21:03:39,4324.375
"221",2010-01-12 21:03:40,-2291.05
"222",2010-01-12 21:03:41,1961.625
"223",2010-01-12 21:03:42,5710.2
"224",2010-01-12 21:03:43,-559.8
"225",2010-01-12 21:03:44,1157.325
"226",2010-01-12 21:03:45,2786.2
"227",2010-01-12 21:03:46,2477.55
"228",2010-01-12 21:03:47,1720.125
"229",2010-01-12 21:03:48,1217.275
"230",2010-01-12 21:03:49,2514.2
"231",2010-01-12 21:03:50,1177.425
"232",2010-01-12 21:03:51,2347.675
"233",2010-01-12 21:03:52,2313.225
"234",2010-01-12 21:03:53,1807.6
"235",2010-01-12 21:03:54,85.75
"236",2010-01-12 21:03:55,4144.425
"237",2010-01-12 21:03:56,1745.525
"238",2010-01-12 21:03:57,1205.45
"239",2010-01-12 21:03:58,916.75
"240",2010-01-12 21:03:59,2648.425
"241",2010-01-12 21:04:00,3320.525
"242",2010-01-12 21:04:01,252.5
"243",2010-01-12 21:04:02,1989.025
"244",2010-01-12 21:04:03,2316.625
"245",2010-01-12 21:04:04,1822.325
"246",2010-01-12 21:04:05,1873.9
"247",2010-01-12 21:04:06,3085.075
"248",2010-01-12 21:04:07,16.3
"249",2010-01-12 21:04:08,1540.1
"250",2010-01-12 21:04:09,4876.65
"251",2010-01-12 21:04:10,900.225
"252",2010-01-12 21:04:11,-664.225
"253",2010-01-12 21:04:12,3633.55
"254",2010-01-12 21:04:13,3138.8
"255",2010-01-12 21:04:14,-282.825
"256",2010-01-12 21:04:15,2276.2
"257",2010-01-12 21:04:16,1851.225
"258",2010-01-12 21:04:17,3106.05
"259",2010-01-12 21:04:18,2492.65
"260",2010-01-12 21:04:19,632.225
"261",2010-01-12 21:04:20,-389.575
"262",2010-01-12 21:04:21,3755.95
"263",2010-01-12 21:04:22,4088.4
"264",2010-01-12 21:04:23,3394.2
"265",2010-01-12 21:04:24,-5197.35
"266",2010-01-12 21:04:25,4783.525
"267",2010-01-12 21:04:26,4999.475
"268",2010-01-12 21:04:27,80.825
"269",2010-01-12 21:04:28,296.4
"270",2010-01-12 21:04:29,2773.05
"271",2010-01-12 21:04:30,2580.15
"272",2010-01-12 21:04:31,2736.925
"273",2010-01-12 21:04:32,331.35
"274",2010-01-12 21:04:33,674.175
"275",2010-01-12 21:04:34,4240.1
"276",2010-01-12 21:04:35,1249.95
"277",2010-01-12 21:04:36,2468.4
"278",2010-01-12 21:04:37,1240.25
"279",2010-01-12 21:04:38,1207.6
"280",2010-01-12 21:04:39,2513.5
"281",2010-01-12 21:04:40,3777.125
"282",2010-01-12 21:04:41,-994.85
"283",2010-01-12 21:04:42,739.875
"284",2010-01-12 21:04:43,7637.075
"285",2010-01-12 21:04:44,-1923.3
"286",2010-01-12 21:04:45,143.15
"287",2010-01-12 21:04:46,4022.925
"288",2010-01-12 21:04:47,3852.725
"289",2010-01-12 21:04:48,-1277.75
"290",2010-01-12 21:04:49,989.775
"291",2010-01-12 21:04:50,5315.65
"292",2010-01-12 21:04:51,967
"293",2010-01-12 21:04:52,1803.75
