"","DateTime","PR.AOPR..BHZ.M"
"153",2010-01-12 21:02:32,-129.85
"154",2010-01-12 21:02:33,-307.2
"155",2010-01-12 21:02:34,-602.75
"156",2010-01-12 21:02:35,-628
"157",2010-01-12 21:02:36,-489.3
"158",2010-01-12 21:02:37,-62.65
"159",2010-01-12 21:02:38,-136.1
"160",2010-01-12 21:02:39,-710.9
"161",2010-01-12 21:02:40,-858.45
"162",2010-01-12 21:02:41,-280.75
"163",2010-01-12 21:02:42,62.05
"164",2010-01-12 21:02:43,-557.3
"165",2010-01-12 21:02:44,-767.3
"166",2010-01-12 21:02:45,-111.5
"167",2010-01-12 21:02:46,-201.75
"168",2010-01-12 21:02:47,-146.75
"169",2010-01-12 21:02:48,-521.15
"170",2010-01-12 21:02:49,-1141.95
"171",2010-01-12 21:02:50,-196.55
"172",2010-01-12 21:02:51,-404
"173",2010-01-12 21:02:52,-1051.05
"174",2010-01-12 21:02:53,-1014.4
"175",2010-01-12 21:02:54,-683.25
"176",2010-01-12 21:02:55,-762.65
"177",2010-01-12 21:02:56,-922.2
"178",2010-01-12 21:02:57,-763.1
"179",2010-01-12 21:02:58,-718.7
"180",2010-01-12 21:02:59,-569.65
"181",2010-01-12 21:03:00,-594.85
"182",2010-01-12 21:03:01,-791.35
"183",2010-01-12 21:03:02,-184.2
"184",2010-01-12 21:03:03,-136.5
"185",2010-01-12 21:03:04,-596.55
"186",2010-01-12 21:03:05,-428.25
"187",2010-01-12 21:03:06,-516.35
"188",2010-01-12 21:03:07,-506.75
"189",2010-01-12 21:03:08,-270.15
"190",2010-01-12 21:03:09,-626.9
"191",2010-01-12 21:03:10,-321.9
"192",2010-01-12 21:03:11,-323.6
"193",2010-01-12 21:03:12,-66
"194",2010-01-12 21:03:13,-427
"195",2010-01-12 21:03:14,-674.9
"196",2010-01-12 21:03:15,-372.35
"197",2010-01-12 21:03:16,-563
"198",2010-01-12 21:03:17,-940.85
"199",2010-01-12 21:03:18,-892.8
"200",2010-01-12 21:03:19,-104.1
"201",2010-01-12 21:03:20,-749.35
"202",2010-01-12 21:03:21,-965.45
"203",2010-01-12 21:03:22,-758.45
"204",2010-01-12 21:03:23,-208.7
"205",2010-01-12 21:03:24,-259
"206",2010-01-12 21:03:25,-692.65
"207",2010-01-12 21:03:26,-485.8
"208",2010-01-12 21:03:27,-390.2
"209",2010-01-12 21:03:28,-334
"210",2010-01-12 21:03:29,-339.2
"211",2010-01-12 21:03:30,-455
"212",2010-01-12 21:03:31,-59.5
"213",2010-01-12 21:03:32,-334
"214",2010-01-12 21:03:33,-503.95
"215",2010-01-12 21:03:34,-113.55
"216",2010-01-12 21:03:35,-469.35
"217",2010-01-12 21:03:36,-342.7
"218",2010-01-12 21:03:37,10
"219",2010-01-12 21:03:38,-421.1
"220",2010-01-12 21:03:39,-566.45
"221",2010-01-12 21:03:40,-476.35
"222",2010-01-12 21:03:41,-133.75
"223",2010-01-12 21:03:42,-466.35
"224",2010-01-12 21:03:43,-519
"225",2010-01-12 21:03:44,-578.5
"226",2010-01-12 21:03:45,-348.35
"227",2010-01-12 21:03:46,-117
"228",2010-01-12 21:03:47,-809.6
"229",2010-01-12 21:03:48,-583.65
"230",2010-01-12 21:03:49,-376.75
"231",2010-01-12 21:03:50,-371.35
"232",2010-01-12 21:03:51,-357.95
"233",2010-01-12 21:03:52,-657.5
"234",2010-01-12 21:03:53,-487.8
"235",2010-01-12 21:03:54,-938.95
"236",2010-01-12 21:03:55,-171.7
"237",2010-01-12 21:03:56,-117.5
"238",2010-01-12 21:03:57,-1289.85
"239",2010-01-12 21:03:58,-458.1
"240",2010-01-12 21:03:59,-272.4
"241",2010-01-12 21:04:00,-465.95
"242",2010-01-12 21:04:01,-672.3
"243",2010-01-12 21:04:02,-915.6
"244",2010-01-12 21:04:03,-175.5
"245",2010-01-12 21:04:04,-650.35
"246",2010-01-12 21:04:05,-620.35
"247",2010-01-12 21:04:06,-644.2
"248",2010-01-12 21:04:07,-747.95
"249",2010-01-12 21:04:08,-103.55
"250",2010-01-12 21:04:09,-463.85
"251",2010-01-12 21:04:10,-840.25
"252",2010-01-12 21:04:11,-237.25
"253",2010-01-12 21:04:12,-457.7
"254",2010-01-12 21:04:13,-211.85
"255",2010-01-12 21:04:14,-65.35
"256",2010-01-12 21:04:15,-594.4
"257",2010-01-12 21:04:16,-567.45
"258",2010-01-12 21:04:17,-270.9
"259",2010-01-12 21:04:18,-374.4
"260",2010-01-12 21:04:19,-831.45
"261",2010-01-12 21:04:20,-536.3
"262",2010-01-12 21:04:21,-9
"263",2010-01-12 21:04:22,21.85
"264",2010-01-12 21:04:23,-731.8
"265",2010-01-12 21:04:24,-494.7
"266",2010-01-12 21:04:25,-138.95
"267",2010-01-12 21:04:26,-263.45
"268",2010-01-12 21:04:27,-258.6
"269",2010-01-12 21:04:28,-520.35
"270",2010-01-12 21:04:29,-334.65
"271",2010-01-12 21:04:30,-181.7
"272",2010-01-12 21:04:31,-582.25
"273",2010-01-12 21:04:32,-973.2
"274",2010-01-12 21:04:33,-155.1
"275",2010-01-12 21:04:34,-452.6
"276",2010-01-12 21:04:35,-893.65
"277",2010-01-12 21:04:36,-830.35
"278",2010-01-12 21:04:37,-712.35
"279",2010-01-12 21:04:38,-237.2
"280",2010-01-12 21:04:39,-865.15
"281",2010-01-12 21:04:40,-759.4
"282",2010-01-12 21:04:41,-505.7
"283",2010-01-12 21:04:42,-653.55
"284",2010-01-12 21:04:43,-562.2
"285",2010-01-12 21:04:44,-288.7
"286",2010-01-12 21:04:45,-443.85
"287",2010-01-12 21:04:46,-716.85
"288",2010-01-12 21:04:47,-599.25
"289",2010-01-12 21:04:48,-441.7
"290",2010-01-12 21:04:49,-421
"291",2010-01-12 21:04:50,-513.6
"292",2010-01-12 21:04:51,-518.65
"293",2010-01-12 21:04:52,-260.9
"294",2010-01-12 21:04:53,-511.7
"295",2010-01-12 21:04:54,-383.6
"296",2010-01-12 21:04:55,-353.6
"297",2010-01-12 21:04:56,-561.2
"298",2010-01-12 21:04:57,-167.25
"299",2010-01-12 21:04:58,-420.8
"300",2010-01-12 21:04:59,-390.15
"301",2010-01-12 21:05:00,-44.45
"302",2010-01-12 21:05:01,-388.05
"303",2010-01-12 21:05:02,-260.1
"304",2010-01-12 21:05:03,-470.1
"305",2010-01-12 21:05:04,-280.85
"306",2010-01-12 21:05:05,-401.7
"307",2010-01-12 21:05:06,-289.05
"308",2010-01-12 21:05:07,-361
"309",2010-01-12 21:05:08,-370.3
"310",2010-01-12 21:05:09,-435.65
"311",2010-01-12 21:05:10,-118.55
"312",2010-01-12 21:05:11,-430.85
"313",2010-01-12 21:05:12,-635.35
"314",2010-01-12 21:05:13,-774.7
"315",2010-01-12 21:05:14,-394.7
"316",2010-01-12 21:05:15,-716.85
"317",2010-01-12 21:05:16,-765.55
"318",2010-01-12 21:05:17,-795.6
"319",2010-01-12 21:05:18,-599.5
"320",2010-01-12 21:05:19,-481.45
"321",2010-01-12 21:05:20,-653.45
"322",2010-01-12 21:05:21,-784.8
"323",2010-01-12 21:05:22,-617.9
"324",2010-01-12 21:05:23,-694.15
"325",2010-01-12 21:05:24,-365.45
"326",2010-01-12 21:05:25,-481.05
"327",2010-01-12 21:05:26,-1085.6
"328",2010-01-12 21:05:27,-581.4
"329",2010-01-12 21:05:28,-258.4
"330",2010-01-12 21:05:29,-390.55
"331",2010-01-12 21:05:30,-223.45
"332",2010-01-12 21:05:31,-431.25
"333",2010-01-12 21:05:32,-380.35
"334",2010-01-12 21:05:33,-552.75
"335",2010-01-12 21:05:34,-168.55
"336",2010-01-12 21:05:35,-92.7
"337",2010-01-12 21:05:36,-891.15
"338",2010-01-12 21:05:37,-499.15
"339",2010-01-12 21:05:38,256.55
"340",2010-01-12 21:05:39,-164.1
"341",2010-01-12 21:05:40,-679.5
"342",2010-01-12 21:05:41,-584.65
"343",2010-01-12 21:05:42,-95.8
"344",2010-01-12 21:05:43,-28.6
"345",2010-01-12 21:05:44,-481.2
"346",2010-01-12 21:05:45,-816.55
"347",2010-01-12 21:05:46,-758.5
"348",2010-01-12 21:05:47,-413.6
"349",2010-01-12 21:05:48,-426.25
"350",2010-01-12 21:05:49,-722.7
"351",2010-01-12 21:05:50,-1123.55
"352",2010-01-12 21:05:51,-769.95
"353",2010-01-12 21:05:52,-686.15
"354",2010-01-12 21:05:53,-824.4
"355",2010-01-12 21:05:54,-624.3
"356",2010-01-12 21:05:55,-691.45
"357",2010-01-12 21:05:56,-839.95
"358",2010-01-12 21:05:57,-787.9
"359",2010-01-12 21:05:58,-459.3
"360",2010-01-12 21:05:59,-291.05
"361",2010-01-12 21:06:00,-894.5
"362",2010-01-12 21:06:01,-384.75
"363",2010-01-12 21:06:02,-446.9
"364",2010-01-12 21:06:03,-420.9
"365",2010-01-12 21:06:04,-280.25
"366",2010-01-12 21:06:05,-432.55
"367",2010-01-12 21:06:06,-639.4
"368",2010-01-12 21:06:07,-97.75
"369",2010-01-12 21:06:08,-233
"370",2010-01-12 21:06:09,-597.5
"371",2010-01-12 21:06:10,-737.95
"372",2010-01-12 21:06:11,-206.45
"373",2010-01-12 21:06:12,-110
"374",2010-01-12 21:06:13,-761.25
"375",2010-01-12 21:06:14,-688.25
"376",2010-01-12 21:06:15,-687.55
"377",2010-01-12 21:06:16,-208
"378",2010-01-12 21:06:17,-352.05
"379",2010-01-12 21:06:18,-561.15
"380",2010-01-12 21:06:19,-541.65
"381",2010-01-12 21:06:20,-413.8
"382",2010-01-12 21:06:21,-539.8
"383",2010-01-12 21:06:22,-67.2
"384",2010-01-12 21:06:23,-307.8
"385",2010-01-12 21:06:24,-293.05
"386",2010-01-12 21:06:25,-510.7
"387",2010-01-12 21:06:26,-555.55
"388",2010-01-12 21:06:27,-114.85
"389",2010-01-12 21:06:28,-524.55
"390",2010-01-12 21:06:29,-771.6
"391",2010-01-12 21:06:30,-568
"392",2010-01-12 21:06:31,-660.5
"393",2010-01-12 21:06:32,-556.65
"394",2010-01-12 21:06:33,-546.6
"395",2010-01-12 21:06:34,-470.25
"396",2010-01-12 21:06:35,-660.15
"397",2010-01-12 21:06:36,-521.95
"398",2010-01-12 21:06:37,-131.45
"399",2010-01-12 21:06:38,-775.45
"400",2010-01-12 21:06:39,-529.3
"401",2010-01-12 21:06:40,-419.5
"402",2010-01-12 21:06:41,-361.2
"403",2010-01-12 21:06:42,-382.1
"404",2010-01-12 21:06:43,-883.75
"405",2010-01-12 21:06:44,-154.55
"406",2010-01-12 21:06:45,-351.55
