"","DateTime","CU.GRGR..BHZ.M"
"1",2010-01-12 21:00:00,2086.775
"2",2010-01-12 21:00:01,1656.65
"3",2010-01-12 21:00:02,911.275
"4",2010-01-12 21:00:03,296.6
"5",2010-01-12 21:00:04,1264.5
"6",2010-01-12 21:00:05,2039.95
"7",2010-01-12 21:00:06,830.525
"8",2010-01-12 21:00:07,161.6
"9",2010-01-12 21:00:08,2488.875
"10",2010-01-12 21:00:09,-848.825
"11",2010-01-12 21:00:10,4026.125
"12",2010-01-12 21:00:11,-1234.3
"13",2010-01-12 21:00:12,2217.05
"14",2010-01-12 21:00:13,-371.4
"15",2010-01-12 21:00:14,2694.9
"16",2010-01-12 21:00:15,644.525
"17",2010-01-12 21:00:16,1168.525
"18",2010-01-12 21:00:17,1589.5
"19",2010-01-12 21:00:18,-200.275
"20",2010-01-12 21:00:19,2838.475
"21",2010-01-12 21:00:20,1162.95
"22",2010-01-12 21:00:21,-255.175
"23",2010-01-12 21:00:22,3305.2
"24",2010-01-12 21:00:23,-1105.55
"25",2010-01-12 21:00:24,2493.625
"26",2010-01-12 21:00:25,-87.45
"27",2010-01-12 21:00:26,2324.025
"28",2010-01-12 21:00:27,345.55
"29",2010-01-12 21:00:28,2011.325
"30",2010-01-12 21:00:29,-432.275
"31",2010-01-12 21:00:30,1936.75
"32",2010-01-12 21:00:31,2736.65
"33",2010-01-12 21:00:32,528.725
"34",2010-01-12 21:00:33,-1067.65
"35",2010-01-12 21:00:34,2402.925
"36",2010-01-12 21:00:35,1127.45
"37",2010-01-12 21:00:36,2579.025
"38",2010-01-12 21:00:37,-483.25
"39",2010-01-12 21:00:38,1187.425
"40",2010-01-12 21:00:39,575.325
"41",2010-01-12 21:00:40,2747.35
"42",2010-01-12 21:00:41,-291.6
"43",2010-01-12 21:00:42,2272.075
"44",2010-01-12 21:00:43,-997.575
"45",2010-01-12 21:00:44,2646.55
"46",2010-01-12 21:00:45,1360.375
"47",2010-01-12 21:00:46,-129.95
"48",2010-01-12 21:00:47,2345.725
"49",2010-01-12 21:00:48,418.15
"50",2010-01-12 21:00:49,2181.025
"51",2010-01-12 21:00:50,243.35
"52",2010-01-12 21:00:51,1842.575
"53",2010-01-12 21:00:52,524.4
"54",2010-01-12 21:00:53,1093
"55",2010-01-12 21:00:54,3282.25
"56",2010-01-12 21:00:55,-1873.15
"57",2010-01-12 21:00:56,2164.925
"58",2010-01-12 21:00:57,2003.475
"59",2010-01-12 21:00:58,307.3
"60",2010-01-12 21:00:59,1631.825
"61",2010-01-12 21:01:00,695.775
"62",2010-01-12 21:01:01,209.75
"63",2010-01-12 21:01:02,1792.375
"64",2010-01-12 21:01:03,2334.375
"65",2010-01-12 21:01:04,-647.85
"66",2010-01-12 21:01:05,1639.025
"67",2010-01-12 21:01:06,1682.675
"68",2010-01-12 21:01:07,905.15
"69",2010-01-12 21:01:08,2073.75
"70",2010-01-12 21:01:09,228.3
"71",2010-01-12 21:01:10,1626.55
"72",2010-01-12 21:01:11,557.475
"73",2010-01-12 21:01:12,1157.5
"74",2010-01-12 21:01:13,1393.4
"75",2010-01-12 21:01:14,1556.45
"76",2010-01-12 21:01:15,935.425
"77",2010-01-12 21:01:16,1072.5
"78",2010-01-12 21:01:17,828.2
"79",2010-01-12 21:01:18,1816.825
"80",2010-01-12 21:01:19,433.55
"81",2010-01-12 21:01:20,764.15
"82",2010-01-12 21:01:21,309.025
"83",2010-01-12 21:01:22,2692.525
"84",2010-01-12 21:01:23,1748.05
"85",2010-01-12 21:01:24,310.2
"86",2010-01-12 21:01:25,460.625
"87",2010-01-12 21:01:26,1890.05
"88",2010-01-12 21:01:27,741.425
"89",2010-01-12 21:01:28,1939.875
"90",2010-01-12 21:01:29,448
"91",2010-01-12 21:01:30,1102.1
"92",2010-01-12 21:01:31,1431.25
"93",2010-01-12 21:01:32,76.175
"94",2010-01-12 21:01:33,3193.525
"95",2010-01-12 21:01:34,-519.975
"96",2010-01-12 21:01:35,1982.475
"97",2010-01-12 21:01:36,843.975
"98",2010-01-12 21:01:37,648.25
"99",2010-01-12 21:01:38,2450.55
"100",2010-01-12 21:01:39,-288.225
"101",2010-01-12 21:01:40,1473.375
"102",2010-01-12 21:01:41,1605.35
"103",2010-01-12 21:01:42,931.05
"104",2010-01-12 21:01:43,1697.05
"105",2010-01-12 21:01:44,13.95
"106",2010-01-12 21:01:45,2093.525
"107",2010-01-12 21:01:46,869.775
"108",2010-01-12 21:01:47,653.6
"109",2010-01-12 21:01:48,1670.475
"110",2010-01-12 21:01:49,1426.2
"111",2010-01-12 21:01:50,-563.6
"112",2010-01-12 21:01:51,3715.25
"113",2010-01-12 21:01:52,-1004.925
"114",2010-01-12 21:01:53,1996.8
"115",2010-01-12 21:01:54,1055.725
"116",2010-01-12 21:01:55,645.9
"117",2010-01-12 21:01:56,3305.9
"118",2010-01-12 21:01:57,-748.925
"119",2010-01-12 21:01:58,1270.05
"120",2010-01-12 21:01:59,1739.85
"121",2010-01-12 21:02:00,911.525
"122",2010-01-12 21:02:01,400.825
"123",2010-01-12 21:02:02,2679.875
"124",2010-01-12 21:02:03,-1596.375
"125",2010-01-12 21:02:04,3598.775
"126",2010-01-12 21:02:05,651.275
"127",2010-01-12 21:02:06,819.15
"128",2010-01-12 21:02:07,444.2
"129",2010-01-12 21:02:08,1078.5
"130",2010-01-12 21:02:09,2998.325
"131",2010-01-12 21:02:10,-410.375
"132",2010-01-12 21:02:11,1892.125
"133",2010-01-12 21:02:12,-299.95
"134",2010-01-12 21:02:13,1580.6
