"","DateTime","NA.SABA..BHZ.M"
"133",2010-01-12 21:02:12,1626.1
"134",2010-01-12 21:02:13,1840.475
"135",2010-01-12 21:02:14,1250.375
"136",2010-01-12 21:02:15,1559.775
"137",2010-01-12 21:02:16,1627.275
"138",2010-01-12 21:02:17,1768.45
"139",2010-01-12 21:02:18,1725.8
"140",2010-01-12 21:02:19,1265.75
"141",2010-01-12 21:02:20,1244.55
"142",2010-01-12 21:02:21,1799.55
"143",2010-01-12 21:02:22,1519.525
"144",2010-01-12 21:02:23,1441.975
"145",2010-01-12 21:02:24,1587.025
"146",2010-01-12 21:02:25,1597.325
"147",2010-01-12 21:02:26,1362.075
"148",2010-01-12 21:02:27,1529.975
"149",2010-01-12 21:02:28,1270.2
"150",2010-01-12 21:02:29,1453.325
"151",2010-01-12 21:02:30,1365.05
"152",2010-01-12 21:02:31,1583.6
"153",2010-01-12 21:02:32,1604.75
"154",2010-01-12 21:02:33,1221.575
"155",2010-01-12 21:02:34,986.275
"156",2010-01-12 21:02:35,1775.625
"157",2010-01-12 21:02:36,1352.825
"158",2010-01-12 21:02:37,1466.75
"159",2010-01-12 21:02:38,1079.225
"160",2010-01-12 21:02:39,1334.625
"161",2010-01-12 21:02:40,1581.375
"162",2010-01-12 21:02:41,1183.4
"163",2010-01-12 21:02:42,1373.725
"164",2010-01-12 21:02:43,1304.325
"165",2010-01-12 21:02:44,1382.025
"166",2010-01-12 21:02:45,1120.1
"167",2010-01-12 21:02:46,1332.025
"168",2010-01-12 21:02:47,1311.8
"169",2010-01-12 21:02:48,1020.575
"170",2010-01-12 21:02:49,1440.575
"171",2010-01-12 21:02:50,1303.3
"172",2010-01-12 21:02:51,1255.925
"173",2010-01-12 21:02:52,1034.75
"174",2010-01-12 21:02:53,992.525
"175",2010-01-12 21:02:54,1480.075
"176",2010-01-12 21:02:55,1208.325
"177",2010-01-12 21:02:56,968.225
"178",2010-01-12 21:02:57,1192.625
"179",2010-01-12 21:02:58,1274.875
"180",2010-01-12 21:02:59,1626.05
"181",2010-01-12 21:03:00,629.2
"182",2010-01-12 21:03:01,761.525
"183",2010-01-12 21:03:02,1346.275
"184",2010-01-12 21:03:03,1499.9
"185",2010-01-12 21:03:04,1086.775
"186",2010-01-12 21:03:05,677.35
"187",2010-01-12 21:03:06,1268.1
"188",2010-01-12 21:03:07,1163.225
"189",2010-01-12 21:03:08,915
"190",2010-01-12 21:03:09,1071.85
"191",2010-01-12 21:03:10,836.7
"192",2010-01-12 21:03:11,943.9
"193",2010-01-12 21:03:12,1448.2
"194",2010-01-12 21:03:13,901.05
"195",2010-01-12 21:03:14,633
"196",2010-01-12 21:03:15,884.475
"197",2010-01-12 21:03:16,1409
"198",2010-01-12 21:03:17,1105
"199",2010-01-12 21:03:18,503.275
"200",2010-01-12 21:03:19,981.7
"201",2010-01-12 21:03:20,1127.675
"202",2010-01-12 21:03:21,1042.4
"203",2010-01-12 21:03:22,918.875
"204",2010-01-12 21:03:23,618.8
"205",2010-01-12 21:03:24,1063.35
"206",2010-01-12 21:03:25,955.05
"207",2010-01-12 21:03:26,449.1
"208",2010-01-12 21:03:27,889.075
"209",2010-01-12 21:03:28,1339.875
"210",2010-01-12 21:03:29,987.7
"211",2010-01-12 21:03:30,615.625
"212",2010-01-12 21:03:31,477.375
"213",2010-01-12 21:03:32,1161.425
"214",2010-01-12 21:03:33,837.975
"215",2010-01-12 21:03:34,654
"216",2010-01-12 21:03:35,939.575
"217",2010-01-12 21:03:36,778.3
"218",2010-01-12 21:03:37,872.15
"219",2010-01-12 21:03:38,506.8
"220",2010-01-12 21:03:39,919.625
"221",2010-01-12 21:03:40,1053.275
"222",2010-01-12 21:03:41,668.45
"223",2010-01-12 21:03:42,763.075
"224",2010-01-12 21:03:43,612.525
"225",2010-01-12 21:03:44,1032.375
"226",2010-01-12 21:03:45,660.85
"227",2010-01-12 21:03:46,795.325
"228",2010-01-12 21:03:47,536.825
"229",2010-01-12 21:03:48,709.375
"230",2010-01-12 21:03:49,1139.75
"231",2010-01-12 21:03:50,746.25
"232",2010-01-12 21:03:51,274.45
"233",2010-01-12 21:03:52,804.225
"234",2010-01-12 21:03:53,1036.625
"235",2010-01-12 21:03:54,789.25
"236",2010-01-12 21:03:55,126.075
"237",2010-01-12 21:03:56,815.2
"238",2010-01-12 21:03:57,1074.5
"239",2010-01-12 21:03:58,446.4
"240",2010-01-12 21:03:59,570.8
"241",2010-01-12 21:04:00,723.6
"242",2010-01-12 21:04:01,818.35
"243",2010-01-12 21:04:02,484.575
"244",2010-01-12 21:04:03,386.15
"245",2010-01-12 21:04:04,1007
"246",2010-01-12 21:04:05,793.8
"247",2010-01-12 21:04:06,457.15
"248",2010-01-12 21:04:07,290.375
"249",2010-01-12 21:04:08,648.4
"250",2010-01-12 21:04:09,1215.225
"251",2010-01-12 21:04:10,502.975
"252",2010-01-12 21:04:11,112.9
"253",2010-01-12 21:04:12,537.175
"254",2010-01-12 21:04:13,870.975
"255",2010-01-12 21:04:14,821.35
"256",2010-01-12 21:04:15,641.95
"257",2010-01-12 21:04:16,485.925
"258",2010-01-12 21:04:17,260.85
"259",2010-01-12 21:04:18,459.6
"260",2010-01-12 21:04:19,983.375
"261",2010-01-12 21:04:20,651.4
"262",2010-01-12 21:04:21,285.55
"263",2010-01-12 21:04:22,512.575
"264",2010-01-12 21:04:23,838.975
"265",2010-01-12 21:04:24,634.4
"266",2010-01-12 21:04:25,218.625
"267",2010-01-12 21:04:26,553.575
"268",2010-01-12 21:04:27,711.775
"269",2010-01-12 21:04:28,582.575
"270",2010-01-12 21:04:29,606.6
"271",2010-01-12 21:04:30,545.975
"272",2010-01-12 21:04:31,-49.05
"273",2010-01-12 21:04:32,970.85
"274",2010-01-12 21:04:33,1094.25
"275",2010-01-12 21:04:34,-159.425
"276",2010-01-12 21:04:35,287.475
"277",2010-01-12 21:04:36,792.9
"278",2010-01-12 21:04:37,822.575
"279",2010-01-12 21:04:38,165.125
"280",2010-01-12 21:04:39,325.25
"281",2010-01-12 21:04:40,793.125
"282",2010-01-12 21:04:41,307.025
"283",2010-01-12 21:04:42,560.95
"284",2010-01-12 21:04:43,413.875
"285",2010-01-12 21:04:44,826.125
"286",2010-01-12 21:04:45,359.25
"287",2010-01-12 21:04:46,122.125
"288",2010-01-12 21:04:47,540.325
"289",2010-01-12 21:04:48,381.125
"290",2010-01-12 21:04:49,955.55
"291",2010-01-12 21:04:50,249.05
"292",2010-01-12 21:04:51,166.85
"293",2010-01-12 21:04:52,372.875
"294",2010-01-12 21:04:53,595.075
"295",2010-01-12 21:04:54,397.975
"296",2010-01-12 21:04:55,497.45
"297",2010-01-12 21:04:56,339.625
"298",2010-01-12 21:04:57,505.15
"299",2010-01-12 21:04:58,374.6
"300",2010-01-12 21:04:59,423
"301",2010-01-12 21:05:00,606.675
"302",2010-01-12 21:05:01,84.65
"303",2010-01-12 21:05:02,-12.225
"304",2010-01-12 21:05:03,622.95
"305",2010-01-12 21:05:04,977.625
"306",2010-01-12 21:05:05,467.55
"307",2010-01-12 21:05:06,-125.375
"308",2010-01-12 21:05:07,155.8
"309",2010-01-12 21:05:08,489.425
"310",2010-01-12 21:05:09,587.65
"311",2010-01-12 21:05:10,181.7
"312",2010-01-12 21:05:11,234.2
"313",2010-01-12 21:05:12,530.5
"314",2010-01-12 21:05:13,362.65
"315",2010-01-12 21:05:14,631.25
"316",2010-01-12 21:05:15,386.45
"317",2010-01-12 21:05:16,-255.275
"318",2010-01-12 21:05:17,342.075
"319",2010-01-12 21:05:18,690.375
"320",2010-01-12 21:05:19,199.875
"321",2010-01-12 21:05:20,510.6
"322",2010-01-12 21:05:21,465.775
"323",2010-01-12 21:05:22,347.975
"324",2010-01-12 21:05:23,-252.475
"325",2010-01-12 21:05:24,345.475
"326",2010-01-12 21:05:25,865.425
"327",2010-01-12 21:05:26,14.9
"328",2010-01-12 21:05:27,174.85
"329",2010-01-12 21:05:28,564.475
"330",2010-01-12 21:05:29,581.75
"331",2010-01-12 21:05:30,-255.525
"332",2010-01-12 21:05:31,371.55
"333",2010-01-12 21:05:32,396.85
"334",2010-01-12 21:05:33,454.475
"335",2010-01-12 21:05:34,-15.975
"336",2010-01-12 21:05:35,626.55
"337",2010-01-12 21:05:36,595.85
"338",2010-01-12 21:05:37,-73.075
"339",2010-01-12 21:05:38,-22
"340",2010-01-12 21:05:39,254.425
"341",2010-01-12 21:05:40,1193.775
"342",2010-01-12 21:05:41,-18.625
"343",2010-01-12 21:05:42,-488.8
"344",2010-01-12 21:05:43,538.825
"345",2010-01-12 21:05:44,973.175
"346",2010-01-12 21:05:45,288.875
"347",2010-01-12 21:05:46,-430.075
"348",2010-01-12 21:05:47,24.525
"349",2010-01-12 21:05:48,1023.45
"350",2010-01-12 21:05:49,555.65
"351",2010-01-12 21:05:50,-307.6
"352",2010-01-12 21:05:51,56.625
"353",2010-01-12 21:05:52,461.425
"354",2010-01-12 21:05:53,835.75
"355",2010-01-12 21:05:54,-125.175
"356",2010-01-12 21:05:55,99.525
"357",2010-01-12 21:05:56,407.975
"358",2010-01-12 21:05:57,363.7
"359",2010-01-12 21:05:58,123.5
"360",2010-01-12 21:05:59,382.075
"361",2010-01-12 21:06:00,531.575
"362",2010-01-12 21:06:01,414.05
"363",2010-01-12 21:06:02,-284.15
"364",2010-01-12 21:06:03,284.075
"365",2010-01-12 21:06:04,469.475
"366",2010-01-12 21:06:05,278.65
"367",2010-01-12 21:06:06,385.375
"368",2010-01-12 21:06:07,74.575
"369",2010-01-12 21:06:08,298.075
"370",2010-01-12 21:06:09,312.625
"371",2010-01-12 21:06:10,566.35
"372",2010-01-12 21:06:11,-62.7
"373",2010-01-12 21:06:12,-166.975
"374",2010-01-12 21:06:13,692.35
"375",2010-01-12 21:06:14,726.975
"376",2010-01-12 21:06:15,231.05
"377",2010-01-12 21:06:16,-162.625
"378",2010-01-12 21:06:17,261.4
"379",2010-01-12 21:06:18,486.775
"380",2010-01-12 21:06:19,557.75
