"","DateTime","PR.AOPR..BHZ.M"
"1",2010-01-12 21:00:00,-442.81
"2",2010-01-12 21:00:10,-550.11
"3",2010-01-12 21:00:20,-365.05
"4",2010-01-12 21:00:30,-585.225
"5",2010-01-12 21:00:40,-452.475
"6",2010-01-12 21:00:50,-345.93
"7",2010-01-12 21:01:00,-490.365
"8",2010-01-12 21:01:10,-542.13
"9",2010-01-12 21:01:20,-588.91
"10",2010-01-12 21:01:30,-449.865
"11",2010-01-12 21:01:40,-423.415
"12",2010-01-12 21:01:50,-515.565
"13",2010-01-12 21:02:00,-542.24
"14",2010-01-12 21:02:10,-448.5
"15",2010-01-12 21:02:20,-337.69
"16",2010-01-12 21:02:30,-433.895
"17",2010-01-12 21:02:40,-452.485
"18",2010-01-12 21:02:50,-708.555
"19",2010-01-12 21:03:00,-465.185
"20",2010-01-12 21:03:10,-468.65
"21",2010-01-12 21:03:20,-518.28
"22",2010-01-12 21:03:30,-325.56
"23",2010-01-12 21:03:40,-440.93
"24",2010-01-12 21:03:50,-512.31
"25",2010-01-12 21:04:00,-545.96
"26",2010-01-12 21:04:10,-445.1
"27",2010-01-12 21:04:20,-326.595
"28",2010-01-12 21:04:30,-588.355
"29",2010-01-12 21:04:40,-539.22
"30",2010-01-12 21:04:50,-408.145
"31",2010-01-12 21:05:00,-330.125
"32",2010-01-12 21:05:10,-571.31
"33",2010-01-12 21:05:20,-591.275
"34",2010-01-12 21:05:30,-314.69
"35",2010-01-12 21:05:40,-500.735
"36",2010-01-12 21:05:50,-709.8
"37",2010-01-12 21:06:00,-442.75
"38",2010-01-12 21:06:10,-485.43
"39",2010-01-12 21:06:20,-409.89
"40",2010-01-12 21:06:30,-542.03
"41",2010-01-12 21:06:40,-431.26
"42",2010-01-12 21:06:50,-512.845
"43",2010-01-12 21:07:00,-631.47
"44",2010-01-12 21:07:10,-472.45
"45",2010-01-12 21:07:20,-440.355
"46",2010-01-12 21:07:30,-376.015
"47",2010-01-12 21:07:40,-447.91
"48",2010-01-12 21:07:50,-611.35
"49",2010-01-12 21:08:00,-694.565
"50",2010-01-12 21:08:10,-501.83
"51",2010-01-12 21:08:20,-637.36
"52",2010-01-12 21:08:30,-517.265
"53",2010-01-12 21:08:40,-422.435
"54",2010-01-12 21:08:50,-472.285
"55",2010-01-12 21:09:00,-530.59
"56",2010-01-12 21:09:10,-577.78
"57",2010-01-12 21:09:20,-381.735
"58",2010-01-12 21:09:30,-469.245
"59",2010-01-12 21:09:40,-567.855721393035
"60",2010-01-12 21:09:50,-489.47
"61",2010-01-12 21:10:00,-628.355
"62",2010-01-12 21:10:10,-520.19
"63",2010-01-12 21:10:20,-586.36
"64",2010-01-12 21:10:30,-426.015
"65",2010-01-12 21:10:40,-637
"66",2010-01-12 21:10:50,-342.355
"67",2010-01-12 21:11:00,-460.635
"68",2010-01-12 21:11:10,-592.755
"69",2010-01-12 21:11:20,-590.27
"70",2010-01-12 21:11:30,-520.669172932331
